time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]; bias1[Hz]; bias2[Hz]
518401.302001; 95.2885; 11.8994; 3.40384; -17.294; 0; 0; 0
518401.452001; 35.2182; 31.7269; 3.40392; -23.1721; 0; 0; 0
518401.602001; 69.5354; 19.2714; 3.40403; -26.5392; 0; 0; 0
518401.752001; 49.2625; 49.0771; 3.40411; 13.3087; 0; 0; 0
518401.902001; 96.5413; 37.6911; 3.40419; 21.2251; 0; 0; 0
518402.052001; 17.2338; 14.7244; 3.4043; 43.7785; 0; 0; 0
518402.202001; 116.409; 52.087; 3.40442; -23.2989; 0; 0; 0
518402.352001; 148.903; 13.6038; 3.40452; -24.0645; 0; 0; 0
518402.502001; 79.0289; 34.0671; 3.40458; -24.0555; 0; 0; 0
518402.652001; 31.6527; 25.1189; 3.40469; -31.6441; 0; 0; 0
518402.802001; 81.9557; 51.9354; 3.4048; 11.3679; 0; 0; 0
518402.952001; 47.2214; 45.1186; 3.40488; -24.1981; 0; 0; 0
518403.102001; 13.5371; 13.341; 3.40498; -10.3194; 0; 0; 0
518403.252001; 73.7143; 11.5751; 3.40506; -6.59002; 0; 0; 0
518403.402001; 56.9508; 28.8649; 3.40517; -20.5451; 0; 0; 0
518403.552001; 113.205; 15.6126; 3.40524; -15.7876; 0; 0; 0
518403.702001; 36.2926; 35.7533; 3.40536; -19.5278; 0; 0; 0
518403.852001; 156.1; 27.0258; 3.40543; -24.4338; 0; 0; 0
518404.002001; 15.0492; 13.523; 3.40555; 30.4347; 0; 0; 0
518404.152001; 52.5302; 49.3936; 3.40565; 5.56468; 0; 0; 0
518404.302001; 20.7433; 20.0179; 3.40575; 36.0917; 0; 0; 0
518404.452001; 45.2722; 43.3357; 3.40584; 9.20603; 0; 0; 0
518404.602001; 26.4711; 3.82439; 3.40593; 39.6809; 0; 0; 0
518404.752001; 25.6779; 25.3603; 3.40603; 15.8933; 0; 0; 0
518404.902001; 32.4452; 12.1304; 3.40612; -12.0231; 0; 0; 0
518405.052001; 15.2398; 6.53449; 3.40622; 6.98744; 0; 0; 0
518405.202001; 116.214; 8.86643; 3.40634; -27.6312; 0; 0; 0
518405.352001; 109.283; 25.3035; 3.4064; -16.5832; 0; 0; 0
518405.502001; 24.739; 21.572; 3.40651; -35.3168; 0; 0; 0
518405.652001; 89.914; 29.667; 3.40659; -15.8001; 0; 0; 0
518405.802001; 29.4658; 27.1024; 3.4067; 30.2623; 0; 0; 0
518405.952001; 25.1776; 24.7812; 3.4068; 5.48301; 0; 0; 0
518406.102001; 91.1088; 13.1482; 3.40688; 30.2308; 0; 0; 0
518406.252001; 127.559; 21.1635; 3.40697; 38.0142; 0; 0; 0
518406.402001; 130.614; 21.6326; 3.40707; 33.5605; 0; 0; 0
518406.552001; 101.988; 19.5291; 3.40717; 24.3582; 0; 0; 0
518406.702001; 63.9433; 17.4793; 3.40727; 16.1252; 0; 0; 0
518406.852001; 15.7392; 13.1581; 3.40738; 13.722; 0; 0; 0
518407.002001; 16.1792; 15.3244; 3.40748; 7.79131; 0; 0; 0
518407.152001; 30.2257; 16.9384; 3.40758; 12.6278; 0; 0; 0
518407.302001; 31.8376; 14.5054; 3.40768; -12.3101; 0; 0; 0
518407.452001; 18.0845; 5.83062; 3.40777; 2.13835; 0; 0; 0
518407.602001; 12.2623; 5.56292; 3.40786; 2.31353; 0; 0; 0
518407.752001; 8.33435; 7.08203; 3.40796; 4.58187; 0; 0; 0
518407.902001; 10.557; 9.76713; 3.40805; 6.54292; 0; 0; 0
518408.052001; 16.929; 11.829; 3.40815; 9.9409; 0; 0; 0
518408.202001; 23.5524; 14.7301; 3.40824; 13.0001; 0; 0; 0
518408.352001; 29.6023; 17.2848; 3.40834; 15.0878; 0; 0; 0
518408.502001; 33.7335; 21.1748; 3.40843; 16.7376; 0; 0; 0
518408.652001; 35.9173; 23.8533; 3.40853; 19.3713; 0; 0; 0
518408.802001; 34.2384; 23.5328; 3.40863; 17.9851; 0; 0; 0
518408.952001; 32.1082; 21.7529; 3.40872; 16.3332; 0; 0; 0
518409.102001; 30.7193; 20.3954; 3.40882; 15.195; 0; 0; 0
518409.252001; 29.2884; 19.7927; 3.40891; 13.5255; 0; 0; 0
518409.402001; 28.3334; 18.6203; 3.40901; 12.2941; 0; 0; 0
518409.552001; 27.2955; 17.5569; 3.40911; 11.0702; 0; 0; 0
518409.702001; 24.9707; 17.1129; 3.4092; 9.52663; 0; 0; 0
518409.852001; 24.9073; 15.6486; 3.4093; -8.60962; 0; 0; 0
518410.002001; 21.8202; 14.0752; 3.4094; -7.45831; 0; 0; 0
518410.152001; 19.8688; 13.008; 3.40949; -5.89614; 0; 0; 0
518410.302001; 22.8749; 11.5176; 3.40959; -4.78251; 0; 0; 0
518410.452001; 18.3364; 12.4094; 3.40969; -3.84568; 0; 0; 0
518410.602001; 17.0334; 11.9791; 3.40978; -3.70661; 0; 0; 0
518410.752001; 15.4606; 13.1421; 3.40988; -4.03691; 0; 0; 0
518410.902001; 14.5617; 12.3405; 3.40998; -4.76284; 0; 0; 0
518411.052001; 16.423; 11.622; 3.41007; -5.54141; 0; 0; 0
518411.202001; 15.86; 12.1537; 3.41017; -6.23074; 0; 0; 0
518411.352001; 16.4694; 12.465; 3.41026; -6.74699; 0; 0; 0
518411.502001; 17.6261; 11.6139; 3.41036; -7.80863; 0; 0; 0
518411.652001; 15.4993; 12.7709; 3.41046; -8.15832; 0; 0; 0
518411.802001; 16.7959; 13.2492; 3.41055; -9.30418; 0; 0; 0
518411.952001; 16.3467; 14.185; 3.41065; -10.1334; 0; 0; 0
518412.102001; 17.0741; 15.1461; 3.41075; -11.1278; 0; 0; 0
518412.252001; 17.7168; 16.0799; 3.41084; -12.0911; 0; 0; 0
518412.402001; 18.6306; 16.3522; 3.41094; -13.4137; 0; 0; 0
518412.552001; 21.7336; 16.2217; 3.41103; -14.9945; 0; 0; 0
518412.702001; 20.8045; 17.9104; 3.41113; -15.2636; 0; 0; 0
518412.852001; 21.7498; 18.5867; 3.41123; -16.7629; 0; 0; 0
518413.002001; 22.4387; 19.8858; 3.41132; -18.0582; 0; 0; 0
518413.152001; 22.8277; 20.9076; 3.41142; -18.8379; 0; 0; 0
518413.302001; 23.9095; 22.2562; 3.41152; -19.745; 0; 0; 0
518413.452001; 24.5038; 23.3302; 3.41161; -20.6448; 0; 0; 0
518413.602001; 26.2069; 23.823; 3.41171; -21.8543; 0; 0; 0
518413.752001; 27.8905; 24.8759; 3.4118; -23.1106; 0; 0; 0
518413.902001; 30.3405; 25.8354; 3.4119; -24.1064; 0; 0; 0
518414.052001; 31.6821; 27.7285; 3.412; -25.0629; 0; 0; 0
518414.202001; 31.8885; 28.7426; 3.41209; -26.0981; 0; 0; 0
518414.352001; 32.2467; 29.6356; 3.41219; -26.6112; 0; 0; 0
518414.502001; 32; 30.9115; 3.41229; -27.1665; 0; 0; 0
518414.652001; 32.5061; 31.1965; 3.41238; -28.4104; 0; 0; 0
518414.802001; 48.1529; 32.3708; 3.41247; -16.6998; 0; 0; 0
518414.952001; 57.0507; 36.9402; 3.41257; -15.4054; 0; 0; 0
518415.102001; 65.7201; 42.5399; 3.41266; -13.4695; 0; 0; 0
518415.252001; 76.2103; 48.4917; 3.41276; -14.583; 0; 0; 0
518415.402001; 84.773; 54.2282; 3.41285; -20.1859; 0; 0; 0
518415.552001; 88.1416; 52.0845; 3.41295; -18.5666; 0; 0; 0
518415.702001; 85.2244; 51.0862; 3.41304; -17.5523; 0; 0; 0
518415.852001; 84.0488; 50.8685; 3.41314; -16.6476; 0; 0; 0
518416.002001; 81.2191; 51.0206; 3.41324; -15.4349; 0; 0; 0
518416.152001; 77.945; 51.5915; 3.41333; -14.8435; 0; 0; 0
518416.302001; 76.8873; 50.8996; 3.41343; -13.7195; 0; 0; 0
518416.452001; 77.9939; 49.1157; 3.41353; -14.7781; 0; 0; 0
518416.602001; 75.604; 49.6146; 3.41362; -15.5411; 0; 0; 0
518416.752001; 74.3409; 49.4573; 3.41372; -15.8272; 0; 0; 0
518416.902001; 78.6757; 47.2925; 3.41381; -17.6185; 0; 0; 0
518417.052001; 77.4886; 47.2927; 3.41391; -18.0684; 0; 0; 0
518417.202001; 74.7001; 47.7944; 3.41401; -18.9347; 0; 0; 0
518417.352001; 72.8734; 47.5735; 3.4141; -19.1998; 0; 0; 0
518417.502001; 69.9152; 48.1165; 3.4142; -19.611; 0; 0; 0
518417.652001; 67.9867; 48.4275; 3.4143; -19.7973; 0; 0; 0
518417.802001; 67.1873; 47.6756; 3.4144; -20.4571; 0; 0; 0
518417.952001; 68.343; 47.2298; 3.41449; -21.2669; 0; 0; 0
518418.102001; 67.3299; 46.726; 3.41459; -21.9968; 0; 0; 0
