tow; prn5; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg) 
518401.376; 25; -1502759.35059; -324.4091796875; 2162.72786256914; 2275.03; -112.299; 0; 0; -0; -0; 0; 2162.7; 1615; 0.0256886; 112.324
518401.526; 25; -1502836.28516; -648.8115234375; 2162.68229300944; 2695.29; -532.61; 0; 0; -0; -0; 0; 2162.65; 1614.97; 0.0296532; 532.64
518401.676; 25; -1502918.22168; -973.2099609375; 2162.65624798587; 2870.53; -707.873; 0; 0; -0; -0; 0; 2162.6; 1614.93; 0.0532783; 707.926
518401.826; 25; -1502986.41895; -1297.5966796875; 2162.57812634271; 2389.19; -226.616; 0; 0; -0; -0; 0; 2162.55; 1614.89; 0.0246015; 226.64
518401.976; 25; -1503062.45215; -1621.9765625; 2162.53255342601; 2663.71; -501.182; 0; 0; -0; -0; 0; 2162.5; 1614.86; 0.0286118; 501.211
518402.126; 25; -1503044.80566; -1946.353515625; 2162.51301881934; -618.219; 2780.73; 0; 0; -0; -0; 0; 2162.45; 1614.82; 0.0587281; -2780.67
518402.276; 25; -1503113.37402; -2270.7177734375; 2162.42838675928; 2402.19; -239.766; 0; 0; -0; -0; 0; 2162.4; 1614.78; 0.0235828; 239.79
518402.426; 25; -1503205.29785; -2595.0751953125; 2162.38281048612; 3220.42; -1058.04; 0; 0; -0; -0; 0; 2162.36; 1614.75; 0.0276365; 1058.06
518402.576; 25; -1503279.64844; -2919.427734375; 2162.35026175923; 2604.77; -442.416; 0; 0; -0; -0; 0; 2162.31; 1614.71; 0.0445695; 442.461
518402.726; 25; -1503352.08301; -3243.76953125; 2162.27864717585; 2537.64; -375.363; 0; 0; -0; -0; 0; 2162.26; 1614.67; 0.0225216; 375.385
518402.876; 25; -1503431.24512; -3568.1064453125; 2162.24609173625; 2773.33; -611.085; 0; 0; -0; -0; 0; 2162.21; 1614.63; 0.0396129; 611.125
518403.026; 25; -1503436.78223; -3892.43359375; 2162.18099092579; 193.985; 1968.2; 0; 0; -0; -0; 0; 2162.16; 1614.6; 0.0240156; -1968.17
518403.176; 25; -1503502.88184; -4216.75390625; 2162.13541465302; 2315.71; -153.57; 0; 0; -0; -0; 0; 2162.11; 1614.56; 0.027976; 153.598
518403.326; 25; -1503525.25293; -4541.072265625; 2162.12239717576; 783.739; 1378.38; 0; 0; -0; -0; 0; 2162.06; 1614.52; 0.0645305; -1378.32
518403.476; 25; -1503649.65137; -4865.3779296875; 2162.03776175904; 4358.12; -2196.08; 0; 0; -0; -0; 0; 2162.01; 1614.49; 0.029493; 2196.11
518403.626; 25; -1503668.08594; -5189.6748046875; 2161.97916465317; 645.829; 1516.15; 0; 0; -0; -0; 0; 2161.96; 1614.45; 0.0205454; -1516.13
518403.776; 25; -1503766.77832; -5513.96875; 2161.95963675899; 3457.55; -1295.59; 0; 0; -0; -0; 0; 2161.91; 1614.41; 0.0505026; 1295.64
518403.926; 25; -1503805.46973; -5838.2529296875; 2161.89452923658; 1355.5; 806.396; 0; 0; -0; -0; 0; 2161.86; 1614.38; 0.0349869; -806.361
518404.076; 25; -1503827.37793; -6162.5263671875; 2161.8229180089; 767.523; 1394.3; 0; 0; -0; -0; 0; 2161.81; 1614.34; 0.0129246; -1394.29
518404.226; 25; -1503943.35742; -6486.796875; 2161.80338675889; 4063.18; -1901.37; 0; 0; -0; -0; 0; 2161.76; 1614.3; 0.0429473; 1901.42
518404.376; 25; -1503963.83398; -6811.0576171875; 2161.73827923672; 717.367; 1444.37; 0; 0; -0; -0; 0; 2161.71; 1614.26; 0.0274361; -1444.34
518404.526; 25; -1504090.90723; -7135.314453125; 2161.7122409255; 4451.83; -2290.12; 0; 0; -0; -0; 0; 2161.66; 1614.23; 0.0509971; 2290.17
518404.676; 25; -1504098.78125; -7459.5615234375; 2161.64713340348; 275.855; 1885.79; 0; 0; -0; -0; 0; 2161.61; 1614.19; 0.0354089; -1885.76
518404.826; 25; -1504184.28711; -7783.8017578125; 2161.6015638421; 2995.58; -833.974; 0; 0; -0; -0; 0; 2161.56; 1614.15; 0.0394336; 834.013
518404.976; 25; -1504238.0332; -8108.0322265625; 2161.53645967539; 1882.92; 278.619; 0; 0; -0; -0; 0; 2161.51; 1614.12; 0.0239371; -278.595
518405.126; 25; -1504253.45215; -8432.2587890625; 2161.5104146536; 540.181; 1621.33; 0; 0; -0; -0; 0; 2161.46; 1614.08; 0.0475451; -1621.28
518405.276; 25; -1504384.27539; -8756.47265625; 2161.42578259199; 4583.21; -2421.78; 0; 0; -0; -0; 0; 2161.41; 1614.04; 0.0124028; 2421.79
518405.426; 25; -1504405.45508; -9080.68359375; 2161.40624798703; 742; 1419.41; 0; 0; -0; -0; 0; 2161.36; 1614.01; 0.0424478; -1419.36
518405.576; 25; -1504513.56348; -9404.88671875; 2161.35416800861; 3787.42; -1626.07; 0; 0; -0; -0; 0; 2161.31; 1613.97; 0.0399769; 1626.11
518405.726; 25; -1504543.06445; -9729.0810546875; 2161.29557425858; 1033.52; 1127.77; 0; 0; -0; -0; 0; 2161.26; 1613.93; 0.0309343; -1127.74
518405.876; 25; -1504600.37695; -10053.26953125; 2161.25650840384; 2007.86; 153.395; 0; 0; -0; -0; 0; 2161.21; 1613.89; 0.0415723; -153.353
518406.026; 25; -1504723.58105; -10377.44921875; 2161.19791800851; 4316.28; -2155.08; 0; 0; -0; -0; 0; 2161.17; 1613.86; 0.0325836; 2155.11
518406.176; 25; -1504810.31348; -10701.6220703125; 2161.15234173727; 3038.55; -877.394; 0; 0; -0; -0; 0; 2161.12; 1613.82; 0.0364819; 877.43
518406.326; 25; -1504871.04883; -11025.78515625; 2161.08724092511; 2127.78; 33.3111; 0; 0; -0; -0; 0; 2161.07; 1613.78; 0.0210432; -33.29
518406.476; 25; -1504916.07031; -11349.9462890625; 2161.07422009177; 1577.26; 583.811; 0; 0; -0; -0; 0; 2161.02; 1613.75; 0.0575297; -583.753
518406.626; 25; -1504957.17383; -11674.0947265625; 2160.98958132075; 1440; 720.987; 0; 0; -0; -0; 0; 2160.97; 1613.71; 0.0225851; -720.964
518406.776; 25; -1504988.33984; -11998.2373046875; 2160.95052217503; 1091.86; 1069.09; 0; 0; -0; -0; 0; 2160.92; 1613.67; 0.0331119; -1069.06
518406.926; 25; -1505043.45215; -12322.373046875; 2160.90494590417; 1930.78; 230.124; 0; 0; -0; -0; 0; 2160.87; 1613.64; 0.0371444; -230.087
518407.076; 25; -1505095.58984; -12646.5009765625; 2160.85286592497; 1826.57; 334.283; 0; 0; -0; -0; 0; 2160.82; 1613.6; 0.0346549; -334.249
518407.226; 25; -1505154.93652; -12970.62109375; 2160.8007825916; 2079.13; 81.6747; 0; 0; -0; -0; 0; 2160.77; 1613.56; 0.0320326; -81.6427
518407.376; 25; -1505216.98438; -13294.7333984375; 2160.74869590431; 2173.76; -13.009; 0; 0; -0; -0; 0; 2160.72; 1613.52; 0.0295624; 13.0386
518407.526; 25; -1505280.80762; -13618.83984375; 2160.70963675821; 2235.96; -75.2464; 0; 0; -0; -0; 0; 2160.67; 1613.49; 0.0400767; 75.2865
518407.676; 25; -1505344.10938; -13942.9384765625; 2160.65755007106; 2217.69; -57.029; 0; 0; -0; -0; 0; 2160.62; 1613.45; 0.0376659; 57.0667
518407.826; 25; -1505406.38281; -14267.0302734375; 2160.61198050815; 2181.66; -21.0488; 0; 0; -0; -0; 0; 2160.57; 1613.41; 0.0417355; 21.0906
518407.976; 25; -1505471.1543; -14591.1103515625; 2160.5338555081; 2269.18; -108.642; 0; 0; -0; -0; 0; 2160.52; 1613.38; 0.0130856; 108.656
518408.126; 25; -1505534.96875; -14915.189453125; 2160.52734173785; 2235.65; -75.1208; 0; 0; -0; -0; 0; 2160.47; 1613.34; 0.056157; 75.1769
518408.276; 25; -1505596.9375; -15239.2568359375; 2160.44922009138; 2170.99; -10.5373; 0; 0; -0; -0; 0; 2160.42; 1613.3; 0.0277555; 10.5651
518408.426; 25; -1505657.22656; -15563.3173828125; 2160.4036438213; 2112.14; 48.2626; 0; 0; -0; -0; 0; 2160.37; 1613.26; 0.0316719; -48.2309
518408.576; 25; -1505718.97559; -15887.37109375; 2160.35807425799; 2163.29; -2.93065; 0; 0; -0; -0; 0; 2160.32; 1613.23; 0.0356825; 2.96633
518408.726; 25; -1505780.54883; -16211.416015625; 2160.29948050796; 2157.13; 3.169; 0; 0; -0; -0; 0; 2160.27; 1613.19; 0.026718; -3.14228
518408.876; 25; -1505841.71191; -16535.455078125; 2160.26041465477; 2142.76; 17.4992; 0; 0; -0; -0; 0; 2160.22; 1613.15; 0.0373477; -17.4618
518409.026; 25; -1505903.71484; -16859.48828125; 2160.22135550791; 2172.18; -11.9626; 0; 0; -0; -0; 0; 2160.17; 1613.12; 0.0477923; 12.0104
518409.176; 25; -1505964.72949; -17183.5107421875; 2160.14973757154; 2137.56; 22.5888; 0; 0; -0; -0; 0; 2160.12; 1613.08; 0.0258238; -22.563
518409.326; 25; -1506026.96777; -17507.5263671875; 2160.10416800784; 2180.43; -20.325; 0; 0; -0; -0; 0; 2160.07; 1613.04; 0.0298217; 20.3548
518409.476; 25; -1506088.91895; -17831.537109375; 2160.07161592448; 2170.37; -10.2991; 0; 0; -0; -0; 0; 2160.02; 1613.01; 0.0468848; 10.346
518409.626; 25; -1506150.12891; -18155.5390625; 2160.01301882166; 2144.4; 15.6096; 0; 0; -0; -0; 0; 2159.98; 1612.97; 0.0378747; -15.5717
518409.776; 25; -1506212.92676; -18479.53125; 2159.94791800774; 2200.03; -40.085; 0; 0; -0; -0; 0; 2159.93; 1612.93; 0.0223572; 40.1074
518409.926; 25; -1506274.2793; -18803.5185546875; 2159.91536257176; 2149.4; 10.5169; 0; 0; -0; -0; 0; 2159.88; 1612.89; 0.0394135; -10.4775
518410.076; 25; -1506334.87988; -19127.498046875; 2159.86328259102; 2123.05; 36.8084; 0; 0; -0; -0; 0; 2159.83; 1612.86; 0.0370034; -36.7714
518410.226; 25; -1506397.20898; -19451.4697265625; 2159.81119925765; 2183.61; -23.7997; 0; 0; -0; -0; 0; 2159.78; 1612.82; 0.0345834; 23.8343
518410.376; 25; -1506458.49609; -19775.4345703125; 2159.76562298856; 2147.11; 12.6594; 0; 0; -0; -0; 0; 2159.73; 1612.78; 0.0385266; -12.6209
518410.526; 25; -1506519.91504; -20099.3896484375; 2159.70052217425; 2151.72; 7.97561; 0; 0; -0; -0; 0; 2159.68; 1612.75; 0.0230968; -7.95252
518410.676; 25; -1506582.00293; -20423.33984375; 2159.66796673865; 2175.16; -15.4925; 0; 0; -0; -0; 0; 2159.63; 1612.71; 0.0400559; 15.5325
518410.826; 25; -1506643.45801; -20747.28125; 2159.60937634086; 2152.99; 6.61861; 0; 0; -0; -0; 0; 2159.58; 1612.67; 0.0311375; -6.58747
518410.976; 25; -1506705.29883; -21071.2158203125; 2159.56380342417; 2166.5; -6.94089; 0; 0; -0; -0; 0; 2159.53; 1612.64; 0.035144; 6.97604
518411.126; 25; -1506766.50781; -21395.142578125; 2159.5117167388; 2144.37; 15.1425; 0; 0; -0; -0; 0; 2159.48; 1612.6; 0.0326594; -15.1098
518411.276; 25; -1506828.11133; -21719.0634765625; 2159.47265759078; 2158.19; 1.28159; 0; 0; -0; -0; 0; 2159.43; 1612.56; 0.0432294; -1.23836
518411.426; 25; -1506889.86426; -22042.9765625; 2159.42057090555; 2163.43; -4.005; 0; 0; -0; -0; 0; 2159.38; 1612.52; 0.040781; 4.04578
518411.576; 25; -1506951.44824; -22366.87890625; 2159.34895967403; 2157.51; 1.84214; 0; 0; -0; -0; 0; 2159.33; 1612.49; 0.0188575; -1.82329
518411.726; 25; -1507013.25; -22690.77734375; 2159.32291800735; 2165.14; -5.81328; 0; 0; -0; -0; 0; 2159.28; 1612.45; 0.0424268; 5.85571
518411.876; 25; -1507074.88672; -23014.6669921875; 2159.2643209057; 2159.35; -0.0899651; 0; 0; -0; -0; 0; 2159.23; 1612.41; 0.0333431; 0.123308
518412.026; 25; -1507136.45312; -23338.5498046875; 2159.21875134062; 2156.89; 2.32776; 0; 0; -0; -0; 0; 2159.18; 1612.38; 0.0373842; -2.29038
518412.176; 25; -1507198.35156; -23662.423828125; 2159.16015423913; 2168.52; -9.36307; 0; 0; -0; -0; 0; 2159.13; 1612.34; 0.0283982; 9.39147
518412.326; 25; -1507259.80566; -23986.291015625; 2159.11458467389; 2152.96; 6.15803; 0; 0; -0; -0; 0; 2159.08; 1612.3; 0.032456; -6.12557
518412.476; 25; -1507321.39648; -24310.1533203125; 2159.08203259053; 2157.75; 1.33573; 0; 0; -0; -0; 0; 2159.03; 1612.26; 0.0495288; -1.2862
518412.626; 25; -1507383.27637; -24634.005859375; 2159.01692507259; 2167.87; -8.85627; 0; 0; -0; -0; 0; 2158.98; 1612.23; 0.034051; 8.89032
518412.776; 25; -1507444.51465; -24957.849609375; 2158.95833467379; 2145.4; 13.5627; 0; 0; -0; -0; 0; 2158.93; 1612.19; 0.0250823; -13.5377
518412.926; 25; -1507505.85059; -25281.6875; 2158.91926882268; 2148.82; 10.1024; 0; 0; -0; -0; 0; 2158.88; 1612.15; 0.0357096; -10.0667
518413.076; 25; -1507567.63965; -25605.51953125; 2158.88020967374; 2164.69; -5.81123; 0; 0; -0; -0; 0; 2158.83; 1612.12; 0.0462096; 5.85743
518413.226; 25; -1507629.41602; -25929.3408203125; 2158.80859509036; 2164.25; -5.43808; 0; 0; -0; -0; 0; 2158.78; 1612.08; 0.0242179; 5.4623
518413.376; 25; -1507690.94727; -26253.1572265625; 2158.77603965615; 2155.66; 3.1167; 0; 0; -0; -0; 0; 2158.73; 1612.04; 0.0413091; -3.07539
518413.526; 25; -1507752.3291; -26576.9638671875; 2158.7109388403; 2150.42; 8.2861; 0; 0; -0; -0; 0; 2158.69; 1612.01; 0.0258047; -8.2603
518413.676; 25; -1507814.02637; -26900.763671875; 2158.66536257292; 2161.48; -2.8101; 0; 0; -0; -0; 0; 2158.64; 1611.97; 0.029847; 2.83994
518413.826; 25; -1507876.2373; -27224.5595703125; 2158.63932425693; 2179.47; -20.8319; 0; 0; -0; -0; 0; 2158.59; 1611.93; 0.0534839; 20.8854
518413.976; 25; -1507937.61719; -27548.34375; 2158.56119925688; 2150.36; 8.20479; 0; 0; -0; -0; 0; 2158.54; 1611.89; 0.024995; -8.17979
518414.126; 25; -1507999.32715; -27872.1220703125; 2158.52213340639; 2161.92; -3.39809; 0; 0; -0; -0; 0; 2158.49; 1611.86; 0.0355478; 3.43364
518414.276; 25; -1508060.84863; -28195.8935546875; 2158.47656384016; 2155.32; 3.15935; 0; 0; -0; -0; 0; 2158.44; 1611.82; 0.0396684; -3.11968
518414.426; 25; -1508122.24414; -28519.6552734375; 2158.41145632316; 2150.9; 7.50765; 0; 0; -0; -0; 0; 2158.39; 1611.78; 0.0241379; -7.48351
518414.576; 25; -1508183.2627; -28843.41015625; 2158.36588675676; 2137.7; 20.6681; 0; 0; -0; -0; 0; 2158.34; 1611.75; 0.0281671; -20.6399
518414.726; 25; -1508245.94824; -29167.1591796875; 2158.32682425673; 2196.1; -37.7717; 0; 0; -0; -0; 0; 2158.29; 1611.71; 0.038721; 37.8104
518414.876; 25; -1508307.28125; -29490.9013671875; 2158.28124798994; 2148.71; 9.56704; 0; 0; -0; -0; 0; 2158.24; 1611.67; 0.0428046; -9.52424
518415.026; 25; -1508368.4541; -29814.6357421875; 2158.22916800667; 2143.1; 15.1258; 0; 0; -0; -0; 0; 2158.19; 1611.63; 0.040365; -15.0854
518415.176; 25; -1508429.96777; -30138.3603515625; 2158.16406049005; 2155.04; 3.12055; 0; 0; -0; -0; 0; 2158.14; 1611.6; 0.0249924; -3.09555
518415.326; 25; -1508491.80859; -30462.076171875; 2158.10547008993; 2166.5; -8.39923; 0; 0; -0; -0; 0; 2158.09; 1611.56; 0.015969; 8.41519
518415.476; 25; -1508553.55273; -30785.7919921875; 2158.10547008993; 2163.12; -5.01219; 0; 0; -0; -0; 0; 2158.04; 1611.52; 0.0656753; 5.07787
518415.626; 25; -1508614.96973; -31109.494140625; 2158.01432090686; 2151.66; 6.35784; 0; 0; -0; -0; 0; 2157.99; 1611.49; 0.0241095; -6.33373
518415.776; 25; -1508677.15625; -31433.1904296875; 2157.97526175651; 2178.62; -20.6406; 0; 0; -0; -0; 0; 2157.94; 1611.45; 0.0346705; 20.6753
518415.926; 25; -1508738.22852; -31756.87890625; 2157.92317507361; 2139.58; 18.3437; 0; 0; -0; -0; 0; 2157.89; 1611.41; 0.0322125; -18.3115
518416.076; 25; -1508800.05664; -32080.560546875; 2157.87760550645; 2166.06; -8.18233; 0; 0; -0; -0; 0; 2157.84; 1611.37; 0.0363453; 8.21867
518416.226; 25; -1508861.70703; -32404.2333984375; 2157.81901175642; 2159.83; -2.01425; 0; 0; -0; -0; 0; 2157.79; 1611.34; 0.0273379; 2.04159
518416.376; 25; -1508923.44434; -32727.900390625; 2157.77994590708; 2162.88; -5.09822; 0; 0; -0; -0; 0; 2157.74; 1611.3; 0.0379038; 5.13613
518416.526; 25; -1508984.4082; -33051.5615234375; 2157.74088675637; 2135.78; 21.959; 0; 0; -0; -0; 0; 2157.69; 1611.26; 0.0485875; -21.9104
518416.676; 25; -1509046.13574; -33375.2099609375; 2157.65624799053; 2162.54; -4.8798; 0; 0; -0; -0; 0; 2157.64; 1611.23; 0.0134975; 4.8933
518416.826; 25; -1509108.23438; -33698.857421875; 2157.64974092298; 2175.54; -17.887; 0; 0; -0; -0; 0; 2157.59; 1611.19; 0.0566569; 17.9437
518416.976; 25; -1509170.31152; -34022.4921875; 2157.56510550626; 2174.78; -17.219; 0; 0; -0; -0; 0; 2157.54; 1611.15; 0.0216823; 17.2407
518417.126; 25; -1509231.2373; -34346.1220703125; 2157.53255007397; 2134.45; 23.0849; 0; 0; -0; -0; 0; 2157.49; 1611.12; 0.0388376; -23.0461
518417.276; 25; -1509292.7998; -34669.7431640625; 2157.47395967287; 2156.75; 0.719818; 0; 0; -0; -0; 0; 2157.44; 1611.08; 0.029834; -0.689984
518417.426; 25; -1509354.12695; -34993.3583984375; 2157.43489382407; 2148.51; 8.92596; 0; 0; -0; -0; 0; 2157.39; 1611.04; 0.0403989; -8.88556
518417.576; 25; -1509415.48535; -35316.96484375; 2157.37630342281; 2149.6; 7.77257; 0; 0; -0; -0; 0; 2157.34; 1611; 0.0314331; -7.74114
518417.726; 25; -1509476.74023; -35640.5654296875; 2157.33724092278; 2145.98; 11.36; 0; 0; -0; -0; 0; 2157.3; 1610.97; 0.0420466; -11.318
518417.876; 25; -1509538.8877; -35964.15625; 2157.27213340755; 2177.25; -19.9753; 0; 0; -0; -0; 0; 2157.25; 1610.93; 0.0265628; 20.0018
518418.026; 25; -1509600.50293; -36287.7412109375; 2157.23307425605; 2158.6; -1.36854; 0; 0; -0; -0; 0; 2157.2; 1610.89; 0.0372806; 1.40582
518418.176; 25; -1509662.12793; -36611.3173828125; 2157.17447715764; 2158.94; -1.76926; 0; 0; -0; -0; 0; 2157.15; 1610.86; 0.0283251; 1.79758
518418.326; 25; -1509723.28125; -36934.8876953125; 2157.13541800599; 2142.42; 14.7163; 0; 0; -0; -0; 0; 2157.1; 1610.82; 0.0388508; -14.6775
518418.476; 25; -1509785.16406; -37258.4501953125; 2157.08333467263; 2167.98; -10.8925; 0; 0; -0; -0; 0; 2157.05; 1610.78; 0.03642; 10.9289
