map = [+1, +3, -1, -3]

00 1
01 3
10 -1
11 -3

I;Q
3; 3     
3; 3    0101 0101  55
1; 3    
1; 3    0001 0001  11
3; 3
3; 3    0101 0101  55 
1; 1
1; 1    0000 0000  00 
1; 1
1; -1   0000 0010  02
1; -1    
1; -1   0010 0010  22
1; -3
1; -3
1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -1
-1; -3
-1; -1
-1; -1
-1; -1
-1; -1
-1; -1
-1; -1
-1; -1
-1; -1
-1; -1
-1; -1
-1; -1
-1; -3
-1; -3
-1; -3
-1; -3
-3; -3
-1; -3
-1; -3
-3; -3
-3; -3
-3; -3
-3; -3
-3; -3
-3; -3
-3; -3
-3; -3
-3; -3
-3; -1
-3; -3
-3; -3
-3; -1
-3; -1
-1; -1
-1; -1
-1; -1
-1; -1
-1; 1
-1; -1
-1; 1
-1; 1
-1; 1
-1; 1
-3; 1
-1; 1
-1; 3
-1; 3
-1; 3
-1; 3
-1; 3
-1; 3
-1; 3
-1; 1
-1; 1
-1; -1
-1; -1
-1; -1
-1; -3
1; -3
1; -3
3; -3
1; -3
1; -3
1; -3
1; -1
1; -1
1; -1
1; -1
1; -1
1; -1
1; 1
1; 1
-1; 1
-1; 1
-1; 3
-1; 3
-3; 3
-3; 3
-3; 3
-3; 3
-3; 3
-3; 1
-3; 1
-3; 1
-3; 1
-3; 1
-3; 1
-1; 3
-1; 3
1; 3
1; 3
1; 3
3; 1
3; 3
1; 3
3; 3
1; 3
1; 3
3; 3
1; 3
1; 3
1; 3
1; 3
1; 3
1; 3
-1; 3
1; 3
1; 3
1; 3
1; 3
1; 3
1; 3
1; 1
1; 1
1; 1
1; 1
1; -1
1; -1
3; -1
1; -1
3; -1
3; -1
3; -1
1; -1
3; 1
3; 1
3; 1
3; 1
3; 1
3; -1
3; -1
3; -1
3; -1
1; -1
1; -3
1; -1
1; -1
-1; -1
-1; -1
-1; -1
-1; -1
-1; 1
-3; 1
-3; 1
-3; 1
-3; 1
-3; 1
-3; 1
-1; 3
-1; 3
-1; 3
-1; 3
-1; 3
-1; 3
1; 3
1; 3
3; 3
3; 3
3; 1
3; 1
1; -1
1; -1
1; -1
1; -1
-1; -3
1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -1
-1; -1
-1; -1
-1; -1
-1; -1
-1; -1
-1; -1
-1; -1
-1; 1
-1; 1
-1; 1
-1; 3
-1; 3
-1; 3
-1; 3
-1; 3
-1; 3
-1; 3
1; 3
1; 3
1; 3
1; 3
1; 3
1; 3
1; 3
1; 3
1; 3
1; 3
-1; 3
-1; 1
-1; 1
-1; 1
1; 1
1; 1
3; 1
1; 3
1; 3
1; 3
1; 3
3; 3
3; 3
1; 3
1; 3
1; 3
1; 3
1; 3
1; 3
1; 3
-1; 3
-1; 3
-3; 1
-3; 1
-3; 1
-3; -1
-3; -1
-3; -3
-3; -3
-3; -3
-3; -3
-3; -3
-3; -3
-3; -3
-3; -3
-1; -3
-1; -3
-1; -1
-1; -3
-1; -1
1; -1
1; -1
1; -1
3; -1
1; -1
1; -1
1; 1
1; 1
1; 1
-1; 3
-1; 3
-1; 3
-1; 1
-1; 1
-3; -1
-3; -1
-3; -1
-3; -1
-3; -3
-3; -3
-3; -3
-3; -3
-3; -3
-3; -3
-1; -3
-1; -3
1; -1
1; -1
1; -1
3; -1
3; 1
3; 1
3; 3
3; 1
3; 3
1; 3
1; 3
-1; 3
-1; 1
-1; 1
-1; 1
-1; 1
-3; 1
-3; 1
-3; 1
-3; 1
-3; 1
-1; 1
-3; 1
-3; -1
-1; -1
-1; -1
-1; -1
-1; -1
-1; -1
-1; -1
-1; -1
-1; -1
-3; -1
-3; -1
-3; -1
-3; -1
-3; -1
-3; -1
-3; -1
-3; -1
-3; 1
-3; 1
-3; 1
-3; 3
-3; 3
-3; 3
-3; 3
-3; 3
-1; 3
-1; 3
-3; 3
-1; 3
-1; 3
-1; 1
-1; 1
-1; 1
-1; 1
-1; 1
-1; 1
-1; 1
-1; -1
-1; -1
-1; 1
-1; 1
-1; 1
1; 1
1; 1
1; 1
3; 1
3; 3
1; 3
1; 3
1; 3
1; 3
1; 1
1; 1
1; 1
1; 1
1; -1
1; -1
1; -1
1; -1
1; -3
1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -1
-1; -1
-1; -1
-1; -1
-1; 1
-1; 1
-1; 1
-1; 1
-1; 3
1; 3
-1; 3
-1; 3
3; 3
1; 1
1; 1
1; -1
1; -3
1; -3
1; -3
1; -3
3; -3
3; -3
3; -3
3; -3
3; -3
3; -3
1; -1
1; -1
-1; -1
-1; -3
-1; -3
-1; -3
-1; -3
-3; -3
-3; -3
-3; -3
-3; -3
-3; -1
-3; -3
-3; -1
-3; -1
-3; -1
-3; -1
-3; -1
-1; -1
-1; -1
-1; -1
1; -1
1; -3
1; -1
3; -3
-1; -3
1; -3
-1; -3
-1; -3
1; -3
-1; -3
-1; -1
-1; -1
1; -1
-1; -1
-1; -1
1; 1
1; 1
-1; 1
-1; 1
1; 1
-1; 1
-1; 1
1; 1
3; 1
1; 1
1; 1
1; 1
1; -1
1; -1
1; -1
1; -1
1; -1
1; -1
1; -1
1; -1
1; -1
1; -1
3; 1
1; 1
1; 1
1; 3
1; 3
1; 3
1; 3
1; 3
-1; 3
-1; 3
1; 3
1; 3
1; 3
3; 3
3; 3
1; 1
3; 1
3; 1
3; -1
3; -1
3; -1
3; -1
3; -1
3; 1
3; 1
3; 1
3; 1
3; 1
3; 1
1; 1
1; 1
1; 1
1; 1
1; 1
1; 1
1; 1
1; 1
1; 1
1; 1
1; 1
1; 1
1; 1
1; 1
1; 1
1; 1
1; 1
1; 1
1; -1
1; -1
1; -1
3; -1
3; -1
3; -1
3; -1
3; -1
3; -1
3; -1
3; -1
3; 1
1; 1
1; 1
1; 1
1; 1
-1; 1
-1; 1
-3; 1
-3; 1
-3; 1
-3; 1
-3; 1
-3; 1
-3; 1
-3; 1
-3; 1
-3; 1
-1; 1
-1; 1
-1; 3
-1; 3
-1; 1
-1; 1
-1; 1
-1; 1
-1; 1
-1; 1
-1; 1
-1; 1
-1; 1
-1; 1
-1; 1
-1; 1
3; 3
3; 3
-1; 3
3; 3
3; 3
1; 3
-1; 1
1; 1
1; -1
1; -1
1; -1
1; -3
1; -3
1; -3
1; -3
1; -3
1; -3
1; -3
1; -3
1; -3
1; -1
1; -1
1; -1
1; 1
-1; 3
-1; 3
-1; 3
-3; 3
-3; 3
-3; 3
-3; 3
-3; 3
-3; 3
-1; 3
-1; 1
-1; 1
-1; 1
1; 1
3; -1
3; -1
3; -1
3; -1
3; -1
3; -1
3; -1
3; -1
3; -1
3; -1
3; -1
3; 1
3; 1
3; 1
3; 1
3; 1
3; 1
1; 1
-1; -1
-1; -1
-1; -1
-1; -1
-3; -1
-3; -3
-1; -1
-1; -1
-1; -1
-1; -1
-1; -1
-1; -1
1; 1
1; 1
1; 1
3; 1
3; 1
1; 1
1; 1
1; 3
1; 3
-1; 3
-1; 3
-1; 3
-3; 3
-3; 1
-3; 1
-3; 1
-3; 1
-3; 1
-3; 1
-1; 1
-1; 1
-1; 1
-1; 1
-1; -1
1; -1
1; -1
3; -1
3; -1
1; -1
1; -1
1; 1
1; 1
1; 1
-1; 1
-1; 1
-1; 3
-3; 1
-3; 1
-3; 1
-3; 1
-1; 1
-1; 1
-1; -1
-1; -1
-1; -1
-1; 1
1; -1
1; -1
1; 1
1; 1
1; 1
3; 1
1; 1
1; 1
1; 1
1; 1
1; 1
1; 1
-1; 1
-1; 1
-1; 1
-3; -1
-3; -1
-3; -1
-3; -3
-3; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-3; -3
-3; -3
-3; -3
-3; -3
-3; -3
-3; -3
-3; -3
-3; -3
-1; -1
-1; -1
-1; -1
-1; -1
1; -3
3; -3
1; -3
1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -3
-1; -3
1; -3
3; -1
3; -1
1; -1
1; -1
3; -1
3; -1
3; 1
3; -1
3; 1
3; 1
3; 1
3; 1
3; 1
3; 1
3; 1
1; -1
1; -1
1; -1
1; -1
1; -1
1; -3
1; -3
1; -3
-1; -3
-1; -1
-1; -1
-1; -1
-1; -1
-3; -1
-3; -1
-3; -1
-3; -1
-3; -1
-3; -1
-3; -3
-3; -3
-3; -3
-3; -3
-3; -3
-3; -3
-3; -3
-3; -3
-1; -1
1; -1
1; -1
1; -1
3; -1
3; -1
1; 1
1; 1
1; 1
1; 1
-1; 1
-1; 1
-3; 1
-3; 1
-3; 1
-3; 1
-3; 1
-3; 1
-3; 1
-3; -1
-3; -1
-3; 1
-3; -1
-3; -1
-3; -1
-3; -1
-1; -1
-1; -1
-1; -1
-1; -1
1; -1
3; 1
3; 1
1; 1
1; 1
1; 1
-1; 1
-1; 1
-1; 1
-1; 1
-1; -1
-1; -1
-1; -1
1; -1
1; -3
1; -3
3; -3
1; -3
1; -1
1; -1
-1; -1
-1; -1
-1; -1
1; 1
3; 1
3; 1
3; 3
3; 3
3; 3
3; 3
3; 3
3; 3
3; 3
3; 3
3; 3
3; 3
3; 1
3; 1
3; 1
3; 1
3; 1
3; 1
3; 1
3; 1
3; 1
3; 1
3; 1
3; 1
3; -1
1; -1
3; -1
1; -1
1; -1
1; -3
1; -3
1; -3
1; -3
-1; -3
-1; -3
-1; -3
1; -3
1; -3
1; -3
1; -1
1; -1
1; -1
1; 1
1; 1
1; 3
-1; 3
1; 3
1; 3
1; 3
1; 3
1; 1
-1; 1
-1; 1
-1; 1
-3; 1
-3; 1
-3; 1
-3; -1
-3; -1
-3; -1
-3; -1
-3; -1
-3; -1
-1; -1
-1; -1
-1; -1
1; 1
1; 1
3; 1
1; 1
1; 1
-1; 1
-1; 1
1; 1
-1; 1
-1; -1
3; 1
1; 1
3; -1
3; -1
3; -1
3; -1
3; -1
3; -1
1; -1
1; -1
1; -1
1; -3
1; -1
1; -1
1; -1
1; -1
1; -1
