time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]; bias1[Hz]; bias2[Hz]
518401.302001; 7.34088; 2.73862; 2.73252; -2.19844; 0; 0; 0
518401.452001; 18.2167; 9.15244; 2.73256; 4.50737; 0.00397171; 0; 0
518401.602001; 8.15119; 4.96403; 2.73261; -10.1798; 0.378409; 0; 0
518401.752001; 5.0415; 3.18935; 2.73265; -5.87066; 0.345939; 0; 0
518401.902001; 9.76255; 4.94609; 2.73269; 14.545; -0.864735; 0; 0
518402.052001; 7.80459; 4.67906; 2.73274; -5.03216; 0.355236; 0; 0
518402.202001; 7.43474; 4.32262; 2.73278; -2.92517; 0.0707965; 0; 0
518402.352001; 6.10867; 3.77587; 2.73283; -6.99663; 0.561286; 0; 0
518402.502001; 4.94893; 2.84489; 2.73287; -7.21732; 0.791415; 0; 0
518402.652001; 5.8641; 3.14277; 2.73291; 8.51294; 0.168595; 0; 0
518402.802001; 4.87207; 2.72548; 2.73296; -6.96641; 0.279528; 0; 0
518402.952001; 4.28817; 2.30229; 2.733; 4.49958; 0.127509; 0; 0
518403.102001; 3.42561; 1.75305; 2.73305; -10.3244; 0.588286; 0; 0
518403.252001; 3.56971; 1.62196; 2.73309; -2.14845; 0.0479856; 0; 0
518403.402001; 3.01553; 1.35031; 2.73314; -6.56267; 0.303042; 0; 0
518403.552001; 2.8013; 1.32789; 2.73318; -2.04769; 0.229149; 0; 0
518403.702001; 2.41032; 1.17862; 2.73323; -4.51301; 0.217804; 0; 0
518403.852001; 2.55781; 1.14754; 2.73327; -1.26095; 0.276348; 0; 0
518404.002001; 2.45394; 1.10232; 2.73331; -1.57784; 0.0535779; 0; 0
518404.152001; 1.9067; 0.925738; 2.73336; -9.19592; 0.255001; 0; 0
518404.302001; 1.92552; 0.889632; 2.7334; -0.993692; 0.00111793; 0; 0
518404.452001; 1.7045; 0.790371; 2.73345; -3.62864; -0.115138; 0; 0
518404.602001; 1.61534; 0.802889; 2.73349; 1.15555; -0.0655482; 0; 0
518404.752001; 1.46904; 0.828158; 2.73353; -2.51109; -0.0594347; 0; 0
518404.902001; 1.65387; 0.865713; 2.73358; 2.99349; -0.427421; 0; 0
518405.052001; 1.53635; 0.785805; 2.73362; -2.88912; 0.0230349; 0; 0
518405.202001; 1.44713; 0.715325; 2.73367; 1.96185; -0.135808; 0; 0
518405.352001; 1.68213; 0.778684; 2.73371; 4.79656; -0.385531; 0; 0
518405.502001; 1.46648; 0.683436; 2.73375; -4.29439; 0.345396; 0; 0
518405.652001; 1.39289; 0.634025; 2.7338; -1.98869; -0.101182; 0; 0
518405.802001; 1.18775; 0.554978; 2.73384; -5.52422; 0.184913; 0; 0
518405.952001; 1.10749; 0.492984; 2.73389; -3.02961; 0.141513; 0; 0
518406.102001; 0.849459; 0.410053; 2.73393; -7.13519; 0.287898; 0; 0
518406.252001; 0.565538; 0.332481; 2.73398; -8.03813; 0.321463; 0; 0
518406.402001; 0.344659; 0.297335; 2.73402; -7.03698; 0.349345; 0; 0
518406.552001; 0.281422; 0.277012; 2.73406; -6.06867; 0.381058; 0; 0
518406.702001; 0.372949; 0.266804; 2.73411; -5.59645; 0.27863; 0; 0
518406.852001; 0.531847; 0.238382; 2.73415; -6.81142; 0.295497; 0; 0
518407.002001; 0.611192; 0.228165; 2.7342; -2.45662; 0.0988664; 0; 0
518407.152001; 0.678754; 0.227241; 2.73424; -2.33105; 0.0735188; 0; 0
518407.302001; 0.716547; 0.229883; 2.73428; -1.44734; 0.157112; 0; 0
518407.452001; 0.741581; 0.224716; 2.73433; -1.12277; 0.122267; 0; 0
518407.602001; 0.743014; 0.228946; 2.73437; -1.02219; 0.119584; 0; 0
518407.752001; 0.762854; 0.243245; 2.73442; -0.691446; 0.0670488; 0; 0
518407.902001; 0.735917; 0.255915; 2.73446; 0.964658; -0.016062; 0; 0
518408.052001; 0.706652; 0.256862; 2.7345; 1.38591; 0.0394101; 0; 0
518408.202001; 0.663373; 0.255966; 2.73455; 1.4357; -0.0187447; 0; 0
518408.352001; 0.573035; 0.256997; 2.73459; 1.39054; -0.0191625; 0; 0
518408.502001; 0.486293; 0.246687; 2.73464; 2.48197; -0.163187; 0; 0
518408.652001; 0.46784; 0.246763; 2.73468; 0.619861; 0.0303174; 0; 0
518408.802001; 0.468325; 0.243723; 2.73472; -0.671526; 0.184991; 0; 0
518408.952001; 0.452922; 0.238177; 2.73477; 1.1599; 0.0203614; 0; 0
518409.102001; 0.447331; 0.23148; 2.73481; 0.690288; 0.00985208; 0; 0
518409.252001; 0.433955; 0.221797; 2.73486; -0.642631; -0.00649348; 0; 0
518409.402001; 0.418943; 0.214735; 2.7349; -0.565949; 0.00956772; 0; 0
518409.552001; 0.404236; 0.212255; 2.73494; 0.626088; 0.0379851; 0; 0
518409.702001; 0.409117; 0.207407; 2.73499; -0.655147; 0.0659439; 0; 0
518409.852001; 0.404637; 0.204062; 2.73503; -0.872482; 0.141442; 0; 0
518410.002001; 0.406401; 0.204129; 2.73508; -0.608415; 0.126216; 0; 0
518410.152001; 0.410385; 0.201368; 2.73512; -0.664029; 0.0923627; 0; 0
518410.302001; 0.394234; 0.199363; 2.73517; 1.10683; 0.0589362; 0; 0
518410.452001; 0.407166; 0.196992; 2.73521; -0.838859; 0.143407; 0; 0
518410.602001; 0.423689; 0.193489; 2.73525; -1.20381; 0.185027; 0; 0
518410.752001; 0.46173; 0.191365; 2.7353; -1.96491; 0.225187; 0; 0
518410.902001; 0.502815; 0.191604; 2.73534; -1.8389; 0.232469; 0; 0
518411.052001; 0.528263; 0.192444; 2.73539; -1.1696; 0.216845; 0; 0
518411.202001; 0.559803; 0.192887; 2.73543; -1.39724; 0.205242; 0; 0
518411.352001; 0.581745; 0.190466; 2.73547; -1.21458; 0.155613; 0; 0
