tow; prn2; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg) 
518401.376; 6; -268599.082031; -6.8671875; 45.7812499573629; 27.2673; 18.5139; 0; 0; -0; -0; 0; 45.7466; 34.1614; 0.03463; -18.4793
518401.526; 6; -268601.301758; -13.7265625; 45.7291666950591; 77.7649; -32.0358; 0; 0; -0; -0; 0; 45.6443; 34.085; 0.0848999; 32.1207
518401.676; 6; -268601.176758; -20.56640625; 45.598958290866; -4.3792; 49.9782; 0; 0; -0; -0; 0; 45.5419; 34.0086; 0.057026; -49.9211
518401.826; 6; -268605.674805; -27.392578125; 45.507812528255; 157.583; -112.075; 0; 0; -0; -0; 0; 45.4395; 33.9321; 0.0682642; 112.143
518401.976; 6; -268606.09375; -34.2041015625; 45.4101562781943; 14.6771; 30.733; 0; 0; -0; -0; 0; 45.3372; 33.8557; 0.0729618; -30.66
518402.126; 6; -268607.038086; -40.990234375; 45.2408853745328; 33.0835; 12.1574; 0; 0; -0; -0; 0; 45.2349; 33.7793; 0.0060066; -12.1514
518402.276; 6; -268610.230469; -47.7744140625; 45.2278646114145; 111.841; -66.6127; 0; 0; -0; -0; 0; 45.1325; 33.7029; 0.0953409; 66.708
518402.426; 6; -268607.452148; -54.5361328125; 45.0781249580177; -97.3345; 142.413; 0; 0; -0; -0; 0; 45.0302; 33.6264; 0.0479453; -142.365
518402.576; 6; -268610.228516; -61.2822265625; 44.9739583612568; 97.2661; -52.2921; 0; 0; -0; -0; 0; 44.9278; 33.55; 0.0461249; 52.3382
518402.726; 6; -268611.234375; -68.0146484375; 44.8828125278669; 35.2388; 9.64397; 0; 0; -0; -0; 0; 44.8255; 33.4736; 0.0573004; -9.58667
518402.876; 6; -268611.53418; -74.734375; 44.7981770416118; 10.5032; 34.2949; 0; 0; -0; -0; 0; 44.7232; 33.3972; 0.0749986; -34.2199
518403.026; 6; -268612.581055; -81.4375; 44.6875000277456; 36.6758; 8.01173; 0; 0; -0; -0; 0; 44.6208; 33.3207; 0.0666919; -7.94504
518403.176; 6; -268614.788086; -88.123046875; 44.5703124584907; 77.3202; -32.7499; 0; 0; -0; -0; 0; 44.5185; 33.2443; 0.0518393; 32.8017
518403.326; 6; -268616.998047; -94.796875; 44.4921875276244; 77.4228; -32.9306; 0; 0; -0; -0; 0; 44.4162; 33.1679; 0.0760117; 33.0066
518403.476; 6; -268617.962891; -101.4501953125; 44.3554687775395; 33.8019; 10.5535; 0; 0; -0; -0; 0; 44.3138; 33.0915; 0.0416896; -10.5119
518403.626; 6; -268618.447266; -108.0888671875; 44.2578124587817; 16.9694; 27.2884; 0; 0; -0; -0; 0; 44.2114; 33.015; 0.0463789; -27.242
518403.776; 6; -268619.412109; -114.7158203125; 44.1796875274304; 33.8019; 10.3778; 0; 0; -0; -0; 0; 44.1091; 32.9386; 0.0706152; -10.3072
518403.926; 6; -268621.038086; -121.3251953125; 44.0624999589636; 56.9638; -12.9013; 0; 0; -0; -0; 0; 44.0067; 32.8622; 0.0557502; 12.957
518404.076; 6; -268623.180664; -127.921875; 43.9778646106384; 75.0622; -31.0843; 0; 0; -0; -0; 0; 43.9044; 32.7858; 0.0734287; 31.1577
518404.226; 6; -268624.037109; -134.49609375; 43.8281250272121; 30.0043; 13.8238; 0; 0; -0; -0; 0; 43.8021; 32.7093; 0.0260734; -13.7977
518404.376; 6; -268623.55957; -141.064453125; 43.7890624592183; -16.7299; 60.519; 0; 0; -0; -0; 0; 43.6997; 32.6329; 0.0893644; -60.4296
518404.526; 6; -268626.669922; -147.6083984375; 43.6263021104201; 108.967; -65.3404; 0; 0; -0; -0; 0; 43.5974; 32.5565; 0.0289402; 65.3694
518404.676; 6; -268629.146484; -154.1455078125; 43.5807291260789; 86.7628; -43.1821; 0; 0; -0; -0; 0; 43.495; 32.4801; 0.0857045; 43.2678
518404.826; 6; -268627.951172; -160.6630859375; 43.450520860311; -41.8761; 85.3266; 0; 0; -0; -0; 0; 43.3927; 32.4036; 0.0578326; -85.2688
518404.976; 6; -268627.918945; -167.16796875; 43.3658854435918; -1.12901; 44.4949; 0; 0; -0; -0; 0; 43.2903; 32.3272; 0.0755517; -44.4193
518405.126; 6; -268629.916992; -173.650390625; 43.2161457930852; 69.9987; -26.7826; 0; 0; -0; -0; 0; 43.1879; 32.2507; 0.0282668; 26.8108
518405.276; 6; -268632.09082; -180.12109375; 43.1380208601169; 76.157; -33.0189; 0; 0; -0; -0; 0; 43.0856; 32.1743; 0.0524235; 33.0714
518405.426; 6; -268632.229492; -186.5810546875; 43.0664062098913; 4.85817; 38.2082; 0; 0; -0; -0; 0; 42.9833; 32.0979; 0.0831538; -38.1251
518405.576; 6; -268634.125977; -193.01953125; 42.9231771099835; 66.4406; -23.5174; 0; 0; -0; -0; 0; 42.8809; 32.0215; 0.042253; 23.5597
518405.726; 6; -268635.910156; -199.4482421875; 42.8580729432765; 62.5062; -19.6481; 0; 0; -0; -0; 0; 42.7786; 31.9451; 0.0794651; 19.7276
518405.876; 6; -268635.90625; -205.857421875; 42.7278645435399; -0.13685; 42.8647; 0; 0; -0; -0; 0; 42.6762; 31.8686; 0.0516196; -42.8131
518406.026; 6; -268636.224609; -212.2490234375; 42.6106771097895; 11.1533; 31.4574; 0; 0; -0; -0; 0; 42.5739; 31.7922; 0.0368271; -31.4206
518406.176; 6; -268637.282227; -218.630859375; 42.545572877043; 37.0521; 5.49347; 0; 0; -0; -0; 0; 42.4715; 31.7158; 0.0740429; -5.41942
518406.326; 6; -268639.138672; -224.994140625; 42.421875026339; 65.0379; -22.616; 0; 0; -0; -0; 0; 42.3692; 31.6393; 0.052687; 22.6687
518406.476; 6; -268640.741211; -231.3447265625; 42.3372396096198; 56.1427; -13.8054; 0; 0; -0; -0; 0; 42.2668; 31.5629; 0.070419; 13.8758
518406.626; 6; -268643.088867; -237.6796875; 42.2330728773341; 82.2468; -40.0137; 0; 0; -0; -0; 0; 42.1645; 31.4865; 0.0685425; 40.0822
518406.776; 6; -268644.410156; -243.99609375; 42.1093750261449; 46.2895; -4.1801; 0; 0; -0; -0; 0; 42.0621; 31.41; 0.0472415; 4.22734
518406.926; 6; -268645.581055; -250.2978515625; 42.0117187108735; 41.0208; 0.990967; 0; 0; -0; -0; 0; 41.9598; 31.3336; 0.0518984; -0.939068
518407.076; 6; -268646.748047; -256.5869140625; 41.9270833593651; 40.8839; 1.04318; 0; 0; -0; -0; 0; 41.8575; 31.2572; 0.0696117; -0.973569
518407.226; 6; -268647.970703; -262.8583984375; 41.8098958592923; 42.834; -1.02412; 0; 0; -0; -0; 0; 41.7551; 31.1807; 0.0548223; 1.07894
518407.376; 6; -268648.694336; -269.115234375; 41.7122395444858; 25.3514; 16.3608; 0; 0; -0; -0; 0; 41.6528; 31.1043; 0.0594735; -16.3013
518407.526; 6; -268649.441406; -275.3564453125; 41.6080729425004; 26.1725; 15.4355; 0; 0; -0; -0; 0; 41.5503; 31.0279; 0.0577239; -15.3778
518407.676; 6; -268651.125977; -281.5830078125; 41.5104166280071; 59.0165; -17.5061; 0; 0; -0; -0; 0; 41.448; 30.9515; 0.0623689; 17.5685
518407.826; 6; -268652.056641; -287.79296875; 41.3997396090377; 32.6045; 8.79526; 0; 0; -0; -0; 0; 41.3457; 30.875; 0.0540633; -8.74119
518407.976; 6; -268652.383789; -293.98828125; 41.302083358977; 11.4612; 29.8409; 0; 0; -0; -0; 0; 41.2433; 30.7986; 0.0587451; -29.7822
518408.126; 6; -268653.424805; -300.169921875; 41.2109374616193; 36.4705; 4.74044; 0; 0; -0; -0; 0; 41.141; 30.7222; 0.0699166; -4.67053
