time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]; bias1[Hz]; bias2[Hz]
518401.302001; 9.92659; 2.6482; 2.73252; -1.80624; 0; 0; 0
518401.452001; 18.8332; 5.71659; 2.73256; 3.13732; 0.00277439; 0; 0
518401.602001; 8.53865; 4.55161; 2.73261; -7.92582; 0.496162; 0; 0
518401.752001; 5.05394; 3.0877; 2.73265; -6.26343; 0.464252; 0; 0
518401.902001; 9.04302; 4.96797; 2.73269; 15.0164; -0.665851; 0; 0
518402.052001; 7.32965; 4.53827; 2.73274; -4.42938; 0.409839; 0; 0
518402.202001; 7.09147; 3.97532; 2.73278; -6.52616; 0.119688; 0; 0
518402.352001; 5.50798; 3.38814; 2.73283; -8.6733; 0.456858; 0; 0
518402.502001; 4.45883; 2.48495; 2.73287; -7.88401; 1.05521; 0; 0
518402.652001; 5.37548; 2.61551; 2.73291; 7.0604; -0.0357669; 0; 0
518402.802001; 4.50678; 2.31769; 2.73296; -7.73918; -0.108544; 0; 0
518402.952001; 3.80943; 2.02493; 2.73301; 4.18995; 0.602396; 0; 0
518403.102001; 2.88164; 1.51454; 2.73305; -11.0421; 0.660689; 0; 0
518403.252001; 3.01612; 1.40645; 2.73309; -1.6457; -0.109443; 0; 0
518403.402001; 2.52717; 1.14063; 2.73314; -5.62664; 0.062842; 0; 0
518403.552001; 2.30699; 1.16417; 2.73318; -2.20309; 0.196392; 0; 0
518403.702001; 1.84296; 1.07119; 2.73323; -4.44556; 0.154548; 0; 0
518403.852001; 2.01665; 1.12444; 2.73327; 2.87932; 0.264324; 0; 0
518404.002001; 1.83785; 0.995546; 2.73331; -2.96069; 0.186453; 0; 0
518404.152001; 1.40534; 0.969186; 2.73336; -5.92468; 0.293086; 0; 0
518404.302001; 1.38898; 0.938699; 2.7334; 1.01063; -0.0284495; 0; 0
518404.452001; 1.2086; 0.900585; 2.73345; -2.71952; -0.164893; 0; 0
518404.602001; 1.17682; 0.918748; 2.73349; 1.29445; -0.142815; 0; 0
518404.752001; 1.07491; 0.825204; 2.73353; -3.32262; 0.020875; 0; 0
518404.902001; 1.307; 0.886478; 2.73358; 4.32867; -0.529787; 0; 0
518405.052001; 1.16058; 0.773173; 2.73362; -3.42696; 0.242542; 0; 0
518405.202001; 1.07564; 0.698424; 2.73367; -1.95327; -0.351022; 0; 0
518405.352001; 1.35375; 0.759333; 2.73371; 6.14937; -0.341749; 0; 0
518405.502001; 1.22691; 0.696841; 2.73375; -2.37806; 0.0660135; 0; 0
518405.652001; 1.13454; 0.698001; 2.7338; 1.4694; 0.0516056; 0; 0
518405.802001; 0.954664; 0.566695; 2.73384; -6.15341; 0.0279168; 0; 0
518405.952001; 0.896675; 0.50983; 2.73389; -2.39942; 0.250933; 0; 0
518406.102001; 0.645315; 0.440172; 2.73393; -6.32649; 0.393583; 0; 0
518406.252001; 0.423416; 0.388429; 2.73398; -6.56085; 0.364426; 0; 0
518406.402001; 0.385182; 0.36125; 2.73402; -6.08155; 0.404401; 0; 0
518406.552001; 0.499483; 0.34464; 2.73406; -5.07891; 0.42292; 0; 0
518406.702001; 0.655101; 0.326491; 2.73411; -4.95431; 0.302113; 0; 0
518406.852001; 0.849211; 0.290558; 2.73415; -6.06786; 0.295336; 0; 0
518407.002001; 0.959891; 0.294697; 2.7342; -1.71448; 0.111714; 0; 0
518407.152001; 1.02497; 0.277631; 2.73424; -2.22645; 0.0772486; 0; 0
518407.302001; 1.07318; 0.269675; 2.73428; -1.74558; 0.107003; 0; 0
518407.452001; 1.11644; 0.259219; 2.73433; -1.32309; 0.0554436; 0; 0
518407.602001; 1.14572; 0.252613; 2.73437; -1.32331; 0.0990664; 0; 0
518407.752001; 1.17389; 0.254785; 2.73442; -0.94281; 0.0395058; 0; 0
518407.902001; 1.14884; 0.256758; 2.73446; 0.905287; -0.0180429; 0; 0
518408.052001; 1.10979; 0.242675; 2.7345; 1.22871; -0.0240708; 0; 0
518408.202001; 1.04272; 0.230528; 2.73455; 1.36307; -0.106362; 0; 0
518408.352001; 0.94725; 0.218974; 2.73459; 1.63165; -0.0622593; 0; 0
518408.502001; 0.856749; 0.209915; 2.73464; 2.59275; -0.264721; 0; 0
518408.652001; 0.837663; 0.205875; 2.73468; 0.63046; -0.0661505; 0; 0
518408.802001; 0.832387; 0.192337; 2.73472; -0.72922; 0.0773932; 0; 0
518408.952001; 0.822365; 0.194979; 2.73477; 0.887443; -0.105599; 0; 0
518409.102001; 0.829076; 0.202821; 2.73481; -0.688027; -0.0661714; 0; 0
518409.252001; 0.821037; 0.20217; 2.73486; 0.488295; -0.118871; 0; 0
518409.402001; 0.811356; 0.201673; 2.7349; -0.382211; -0.0651072; 0; 0
518409.552001; 0.802777; 0.204005; 2.73495; -0.360699; 0.026141; 0; 0
518409.702001; 0.813379; 0.204998; 2.73499; -0.384347; 0.0259143; 0; 0
518409.852001; 0.810118; 0.20498; 2.73503; -0.459232; 0.0827389; 0; 0
518410.002001; 0.814992; 0.208784; 2.73508; 0.415055; 0.0411314; 0; 0
518410.152001; 0.821262; 0.210822; 2.73512; 0.271878; 0.0308503; 0; 0
518410.302001; 0.802933; 0.217072; 2.73517; 0.894022; -0.0253067; 0; 0
518410.452001; 0.809356; 0.213362; 2.73521; -0.920243; 0.037658; 0; 0
