prog start
hv ver: 3.4
F_SAMPLE = 222111
   idx;  inp_i;  inp_q;  out_i;  out_q;   ref_i; ref_q;     ok
     1;      3;      1;      7;     -1;      5;      5;      0 
     2;      3;      1;      5;      5;      5;      5;      1 
     3;      3;      1;      5;      5;      5;      5;      1 
     4;      3;      1;      5;      5;      5;      5;      1 
     5;      3;      1;      5;      5;      5;      5;      1 
     6;      3;      1;      5;      5;      5;      5;      1 
     7;      3;      1;      5;      5;      5;      5;      1 
     8;      3;      1;      5;      5;      5;      5;      1 
     9;      3;      1;      5;      5;      5;      5;      1 
    10;      3;      1;      5;      5;      5;      5;      1 
    11;      3;      1;      5;      5;      5;      5;      1 
    12;      3;      1;      5;      5;      5;      5;      1 
    13;      3;      1;      5;      5;      5;      5;      1 
    14;      3;      1;      5;      5;      5;      5;      1 
    15;      3;      1;      5;      5;      5;      5;      1 
    16;      3;      1;      5;      5;      5;      5;      1 
    17;      3;      1;      5;      5;      5;      5;      1 
    18;      3;      1;      5;      5;      5;      5;      1 
    19;      3;      1;      5;      5;      5;      5;      1 
    20;      3;      1;      5;      5;      5;      5;      1 
    21;      3;      1;      5;      5;      5;      5;      1 
    22;      3;      1;      5;      5;      5;      5;      1 
    23;      3;      1;      5;      5;      5;      5;      1 
    24;      3;      1;      5;      5;      5;      5;      1 
    25;      3;      1;      5;      5;      5;      5;      1 
    26;      3;      1;      5;      5;      5;      5;      1 
    27;      3;      1;      5;      5;      5;      5;      1 
    28;      3;      1;      5;      5;      5;      5;      1 
    29;      3;      1;      5;      5;      5;      5;      1 
    30;      3;      1;      5;      5;      5;      5;      1 
    31;      3;      1;      5;      5;      5;      5;      1 
    32;      3;      1;      5;      5;      5;      5;      1 
    33;      3;      1;      5;      5;      5;      5;      1 
    34;      3;      1;      5;      5;      5;      5;      1 
    35;      3;      1;      5;      5;      5;      5;      1 
    36;      3;      1;      5;      5;      5;      5;      1 
    37;      3;      1;      5;      5;      5;      5;      1 
    38;      3;      1;      5;      5;      5;      5;      1 
    39;      3;      1;      5;      5;      5;      5;      1 
    40;      3;      1;      5;      5;      5;      5;      1 
    41;      3;      1;      5;      5;      5;      5;      1 
    42;      3;      1;      5;      5;      5;      5;      1 
    43;      3;      1;      5;      5;      5;      5;      1 
    44;      3;      1;      5;      5;      5;      5;      1 
    45;      3;      1;      5;      5;      5;      5;      1 
    46;      3;      1;      5;      5;      5;      5;      1 
    47;      3;      1;      5;      5;      5;      5;      1 
    48;      3;      1;      5;      5;      5;      5;      1 
    49;      3;      1;      5;      5;      5;      5;      1 
    50;      3;      1;      5;      5;      5;      5;      1 
    51;      3;      1;      5;      5;      5;      5;      1 
    52;      3;      1;      5;      5;      5;      5;      1 
    53;      3;      1;      5;      5;      5;      5;      1 
    54;      3;      1;      5;      5;      5;      5;      1 
    55;      3;      1;      5;      5;      5;      5;      1 
