time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]
518401.302001; 7.987; 2.6634; 2.73252; -1.16423; 0
518401.452001; 14.5427; 5.96176; 2.73256; 2.99255; 0.00264134
518401.602001; 5.78534; 2.98475; 2.73261; -8.43927; 0.552747
518401.752001; 1.88903; 1.40716; 2.73265; -13.5451; 0.635041
518401.902001; 6.02938; 3.69225; 2.73269; 22.979; -1.07034
518402.052001; 4.73306; 3.40457; 2.73274; -3.98062; 0.194083
518402.202001; 4.58433; 3.36002; 2.73278; 1.35221; -0.104139
518402.352001; 2.93892; 2.61815; 2.73283; -11.0761; 0.452266
518402.502001; 2.66863; 2.2561; 2.73287; -2.12779; 0.148803
518402.652001; 3.98449; 2.74836; 2.73291; 12.338; -0.267137
518402.802001; 3.34809; 2.25967; 2.73296; -5.03495; 0.126976
518402.952001; 3.21414; 2.20138; 2.733; 4.20045; -0.0713852
518403.102001; 2.46697; 1.6029; 2.73305; -10.1613; 0.392988
518403.252001; 2.85204; 1.64604; 2.73309; 3.733; -0.108124
518403.402001; 2.18496; 1.3495; 2.73314; -7.49736; 0.125754
518403.552001; 2.15772; 1.38182; 2.73318; -1.43679; 0.167923
518403.702001; 1.85163; 1.24947; 2.73323; -3.94486; 0.288829
518403.852001; 2.16888; 1.37117; 2.73327; 4.64669; 0.142227
518404.002001; 1.95405; 1.23411; 2.73331; -2.82706; 0.224002
518404.152001; 1.6683; 1.17169; 2.73336; -4.02489; 0.198652
518404.302001; 1.58795; 1.13893; 2.7334; -1.43177; 0.152866
518404.452001; 1.49578; 1.05706; 2.73345; 1.4407; -0.173699
518404.602001; 1.3692; 1.01685; 2.73349; -1.92998; 0.0126171
518404.752001; 1.23785; 0.926597; 2.73353; -3.14857; 0.13057
518404.902001; 1.35335; 0.923365; 2.73358; 2.3095; -0.209999
518405.052001; 1.21529; 0.823376; 2.73362; -4.12506; 0.210781
518405.202001; 1.07983; 0.753192; 2.73367; -2.3044; -0.194435
518405.352001; 1.31171; 0.789496; 2.73371; 5.23825; -0.364227
518405.502001; 1.14703; 0.711901; 2.73375; -3.52962; 0.191409
