tow; prn2; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph) 
518401.376; 6; -268596.566406; -6.8642578125; 45.7617187073811; -10.5717; 56.3334; 0; 0; -0; -0; 0; 45.7466; 34.1614
518401.526; 6; -268602.419922; -13.724609375; 45.7356771117298; 205.07; -159.334; 0; 0; -0; -0; 0; 45.6443; 34.085
518401.676; 6; -268601.800781; -20.5634765625; 45.5924478742054; -21.6907; 67.2832; 0; 0; -0; -0; 0; 45.5419; 34.0086
518401.826; 6; -268605.624023; -27.389648437500003553; 45.507812528255; 133.942; -88.434; 0; 0; -0; -0; 0; 45.4395; 33.9321
518401.976; 6; -268605.999023; -34.2041015625; 45.4296875282064; 13.1376; 32.2921; 0; 0; -0; -0; 0; 45.3372; 33.8557
518402.126; 6; -268606.415039; -40.984375; 45.2018228745692; 14.5745; 30.6273; 0; 0; -0; -0; 0; 45.2349; 33.7793
518402.276; 6; -268608.543945; -47.775390625; 45.2734375281094; 74.5832; -29.3097; 0; 0; -0; -0; 0; 45.1326; 33.7029
518402.426; 6; -268608.915039; -54.533203125; 45.0520832913753; 13.0007; 32.0513; 0; 0; -0; -0; 0; 45.0302; 33.6264
518402.576; 6; -268609.646484; -61.27734375; 44.9609375279154; 25.6251; 19.3358; 0; 0; -0; -0; 0; 44.9279; 33.55
518402.726; 6; -268612.933594; -68.0185546875; 44.9414062779033; 115.159; -70.2178; 0; 0; -0; -0; 0; 44.8255; 33.4736
518402.876; 6; -268613.001953; -74.7333984375; 44.7656249583088; 2.39487; 42.3708; 0; 0; -0; -0; 0; 44.7232; 33.3972
518403.026; 6; -268612.154297; -81.43359375; 44.6679687777335; -29.6964; 74.3644; 0; 0; -0; -0; 0; 44.6208; 33.3207
518403.176; 6; -268614.375; -88.12109375; 44.5833332918119; 77.7992; -33.2158; 0; 0; -0; -0; 0; 44.5185; 33.2443
518403.326; 6; -268614.829102; -94.796875000000014211; 44.5052083609659; 15.9088; 28.5964; 0; 0; -0; -0; 0; 44.4162; 33.1679
518403.476; 6; -268617.780273; -101.44628906249998579; 44.3294271108565; 103.39; -59.0607; 0; 0; -0; -0; 0; 44.3138; 33.0915
518403.626; 6; -268620.219727; -108.08984375; 44.2903645420848; 85.4628; -41.1724; 0; 0; -0; -0; 0; 44.2114; 33.015
518403.776; 6; -268620.972656; -114.7099609375; 44.1341146107354; 26.3778; 17.7563; 0; 0; -0; -0; 0; 44.1091; 32.9386
518403.926; 6; -268621.196289; -121.326171875; 44.1080728755878; 7.83466; 36.2734; 0; 0; -0; -0; 0; 44.0068; 32.8622
518404.076; 6; -268624.433594; -127.916015625; 43.9322916939434; 113.414; -69.482; 0; 0; -0; -0; 0; 43.9044; 32.7857
518404.226; 6; -268623.668945; -134.4951171875; 43.8606771105656; -26.7884; 70.649; 0; 0; -0; -0; 0; 43.8021; 32.7093
518404.376; 6; -268623.861328; -141.0625; 43.7825520425577; 6.73986; 37.0427; 0; 0; -0; -0; 0; 43.6997; 32.6329
518404.526; 6; -268627.263672; -147.6044921875; 43.6132812770787; 119.196; -75.583; 0; 0; -0; -0; 0; 43.5974; 32.5565
518404.676; 6; -268627.703125; -154.1435546875; 43.5937499594002; 15.3956; 28.1981; 0; 0; -0; -0; 0; 43.495; 32.48
518404.826; 6; -268627.238281; -160.66015625; 43.4440104436403; -16.2851; 59.7291; 0; 0; -0; -0; 0; 43.3927; 32.4036
518404.976; 6; -268627.666992; -167.1640625; 43.359375026921; 15.0193; 28.3401; 0; 0; -0; -0; 0; 43.2903; 32.3272
518405.126; 6; -268628.720703; -173.6455078125; 43.2096353764246; 36.9153; 6.29438; 0; 0; -0; -0; 0; 43.188; 32.2508
518405.276; 6; -268631.495117; -180.119140625; 43.1575521101291; 97.1976; -54.0401; 0; 0; -0; -0; 0; 43.0857; 32.1744
518405.426; 6; -268632.975586; -186.58496093749997158; 43.1054687098547; 51.8661; -8.76064; 0; 0; -0; -0; 0; 42.9833; 32.0979
518405.576; 6; -268636.021484; -193.01855468749997158; 42.89062502663; 106.709; -63.8181; 0; 0; -0; -0; 0; 42.8809; 32.0215
518405.726; 6; -268634.689453; -199.4453125; 42.8450521099352; -46.6658; 89.5109; 0; 0; -0; -0; 0; 42.7786; 31.9451
518405.876; 6; -268635.410156; -205.861328125; 42.7734374601641; 25.2488; 17.5246; 0; 0; -0; -0; 0; 42.6762; 31.8686
518406.026; 6; -268637.34375; -212.248046875; 42.578125026436; 67.7407; -25.1626; 0; 0; -0; -0; 0; 42.5738; 31.7922
518406.176; 6; -268638.783203; -218.626953125; 42.5260416270612; 50.4292; -7.90314; 0; 0; -0; -0; 0; 42.4715; 31.7157
518406.326; 6; -268640.295898; -224.990234375; 42.421875026339; 52.9951; -10.5732; 0; 0; -0; -0; 0; 42.3692; 31.6393
