time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]; bias1[Hz]; bias2[Hz]
518887.260012; 7.45788; 2.39617; 4.30211; 3.76718; 0.0394247; 0; 0
518888.260012; 5.95699; 1.17886; 4.30292; -4.1299; 241.328; 0; 0
518889.260012; 7.8043; 1.37296; 4.30373; 3.51472; 484.688; 0; 0
518890.260012; 6.16274; 0.953921; 4.30453; -4.90676; 725.226; 0; 0
518891.260012; 5.32771; 1.00147; 4.30534; -2.84572; 968.729; 0; 0
518892.260012; 6.38028; 1.6066; 4.30615; 2.83823; 1211.99; 0; 0
518893.260012; 7.00135; 2.15763; 4.30696; 4.28808; 0.0448735; 0; 0
518894.260012; 5.45339; 1.63867; 4.30777; -4.23838; 241.539; 0; 0
518895.260012; 4.62213; 1.17773; 4.30858; -3.66583; 484.251; 0; 0
518896.260012; 5.25827; 1.73295; 4.30939; -2.60997; 727.513; 0; 0
518897.260012; 4.5418; 1.3473; 4.3102; 2.25951; 969.249; 0; 0
518898.260012; 4.48681; 1.52085; 4.31101; 3.24657; 1211.6; 0; 0
518899.260012; 4.53864; 1.79308; 4.31182; -3.43767; -0.0359765; 0; 0
518900.260012; 4.84384; 2.09833; 4.31263; -3.42628; 244.123; 0; 0
518901.260012; 5.32972; 2.39379; 4.31344; -2.48147; 485.549; 0; 0
518902.260012; 5.73983; 2.73178; 4.31425; 2.28476; 728.505; 0; 0
518903.260012; 5.64057; 2.45949; 4.31506; -5.16509; 970.691; 0; 0
518904.260012; 5.84878; 2.75086; 4.31587; -4.18377; 1212.7; 0; 0
518905.260012; 6.00517; 2.80962; 4.31668; 3.66909; 0.0383983; 0; 0
518906.260012; 5.75223; 2.83871; 4.31748; -2.86374; 242.545; 0; 0
518907.260012; 6.21646; 2.97726; 4.3183; -3.38489; 485.814; 0; 0
518908.260012; 6.12669; 2.84192; 4.3191; -4.72662; 726.965; 0; 0
518909.260012; 5.90247; 2.75459; 4.31991; 3.39262; 968.346; 0; 0
518910.260012; 6.24801; 2.92394; 4.32073; 3.6119; 1211.43; 0; 0
518911.260012; 6.6302; 3.19224; 4.32154; -2.33694; -0.0244552; 0; 0
518912.260012; 6.9836; 3.3314; 4.32235; -5.03746; 241.887; 0; 0
518913.260012; 7.63822; 3.62026; 4.32316; 4.49157; 485.786; 0; 0
518914.260012; 7.52101; 3.61262; 4.32396; -3.75253; 724.25; 0; 0
518915.260012; 7.45225; 3.56682; 4.32477; -2.6134; 967.859; 0; 0
518916.260013; 7.50227; 3.58648; 4.32558; -1.09314; 1210.35; 0; 0
518917.260013; 7.41978; 3.64301; 4.32639; -3.47227; -0.0363385; 0; 0
518918.260013; 7.51161; 3.62262; 4.32721; -3.88212; 242.913; 0; 0
518919.260013; 7.25876; 3.46194; 4.32801; -1.92695; 483.88; 0; 0
518920.260013; 7.42478; 3.46277; 4.32883; -2.59468; 726.495; 0; 0
518921.260013; 7.84858; 3.71947; 4.32964; 6.02044; 969.164; 0; 0
518922.260013; 7.79248; 3.69039; 4.33045; 2.41584; 1209.2; 0; 0
518923.260013; 7.84825; 3.68316; 4.33126; -3.07298; -0.0321596; 0; 0
518924.260013; 7.84862; 3.76603; 4.33207; -3.22476; 239.738; 0; 0
518925.260013; 8.14589; 3.91944; 4.33288; 4.30901; 483.779; 0; 0
518926.260013; 7.87463; 3.78855; 4.33368; 3.74419; 724.866; 0; 0
518927.260013; 8.00031; 3.87637; 4.3345; -2.71677; 966.842; 0; 0
518928.260013; 7.70057; 3.74271; 4.3353; 4.44881; 1209.18; 0; 0
518929.260013; 7.54411; 3.65886; 4.33612; 2.56499; 0.0268443; 0; 0
518930.260013; 7.54065; 3.69863; 4.33693; -3.14529; 242.852; 0; 0
518931.260013; 7.71913; 3.74408; 4.33774; -3.19109; 484.58; 0; 0
518932.260013; 7.88913; 3.85315; 4.33855; 4.58494; 725.443; 0; 0
518933.260013; 7.91806; 3.82737; 4.33936; -5.1804; 967.69; 0; 0
518934.260013; 7.87693; 3.83516; 4.34017; -2.23359; 1208.99; 0; 0
518935.260013; 7.90159; 3.84737; 4.34098; 2.55136; 0.0267008; 0; 0
518936.260013; 7.69035; 3.74492; 4.34179; 4.33207; 243.394; 0; 0
518937.260013; 7.6689; 3.69275; 4.3426; -3.8082; 484.72; 0; 0
518938.260013; 7.80636; 3.77129; 4.34342; 2.40151; 726.474; 0; 0
518939.260013; 7.77862; 3.749; 4.34422; -3.44398; 967.798; 0; 0
518940.260013; 7.6698; 3.6643; 4.34503; -4.40698; 1210.12; 0; 0
518941.260013; 7.5586; 3.57623; 4.34585; -4.00994; -0.0419657; 0; 0
518942.260013; 7.55289; 3.57209; 4.34666; 1.92066; 242.121; 0; 0
518943.260013; 7.47529; 3.54577; 4.34747; 3.30313; 483.536; 0; 0
518944.260013; 7.42644; 3.53499; 4.34828; 2.43253; 724.798; 0; 0
518945.260013; 7.59169; 3.60199; 4.34909; 3.85209; 965.589; 0; 0
518946.260013; 7.45776; 3.51317; 4.3499; -4.89794; 1208.3; 0; 0
518947.260013; 7.4315; 3.51632; 4.35071; -2.60216; -0.0272324; 0; 0
518948.260013; 7.53982; 3.56164; 4.35152; 3.0681; 242.316; 0; 0
518949.260013; 7.4235; 3.45571; 4.35233; -5.69157; 484.231; 0; 0
518950.260013; 7.40959; 3.46578; 4.35314; 1.60967; 725.015; 0; 0
518951.260013; 7.35396; 3.42907; 4.35395; 1.74533; 967.822; 0; 0
518952.260013; 7.33081; 3.37927; 4.35477; -3.89911; 1209.24; 0; 0
518953.260013; 7.16533; 3.25842; 4.35557; -6.29656; -0.065896; 0; 0
518954.260013; 7.20403; 3.27416; 4.35639; -2.56582; 243.065; 0; 0
518955.260013; 7.06121; 3.19575; 4.3572; 5.20153; 485.843; 0; 0
518956.260014; 7.10546; 3.1382; 4.35801; -6.35259; 727.509; 0; 0
518957.260014; 7.06056; 3.1508; 4.35882; -1.85627; 970.071; 0; 0
518958.260014; 7.00188; 3.09001; 4.35963; -4.16117; 1211.97; 0; 0
518959.260014; 7.03522; 3.10598; 4.36044; 2.81791; 0.0294903; 0; 0
518960.260014; 7.09238; 3.11462; 4.36126; 2.09841; 242.677; 0; 0
518961.260014; 6.93599; 3.0354; 4.36206; 3.40089; 482.968; 0; 0
518962.260014; 6.93421; 3.06241; 4.36288; -2.95634; 725.148; 0; 0
518963.260014; 6.98692; 3.101; 4.36369; 3.94754; 967.78; 0; 0
518964.260014; 7.0185; 3.08659; 4.3645; -2.563; 1211.97; 0; 0
518965.260014; 7.18861; 3.24662; 4.36531; 4.44699; 0.0465394; 0; 0
518966.260014; 7.22913; 3.29049; 4.36612; -3.77217; 242.883; 0; 0
518967.260014; 7.29112; 3.35475; 4.36693; -3.92061; 485.147; 0; 0
518968.260014; 7.44004; 3.39548; 4.36775; 3.99185; 727.019; 0; 0
518969.260014; 7.30535; 3.36323; 4.36855; -3.35806; 969.248; 0; 0
518970.260014; 7.29486; 3.36895; 4.36936; -2.85664; 1211.49; 0; 0
518971.260014; 7.2525; 3.33803; 4.37018; 3.61303; 0.0378119; 0; 0
518972.260014; 7.22501; 3.34666; 4.37099; -4.28585; 241.505; 0; 0
518973.260014; 7.23945; 3.36493; 4.3718; -1.62029; 484.063; 0; 0
518974.260014; 7.19936; 3.30393; 4.37261; -5.13701; 726.207; 0; 0
518975.260014; 7.30477; 3.3424; 4.37342; -4.13224; 968.35; 0; 0
518976.260014; 7.24062; 3.31696; 4.37423; 2.83955; 1211.2; 0; 0
518977.260014; 7.21767; 3.30116; 4.37504; -2.27821; -0.0238422; 0; 0
518978.260014; 7.23815; 3.29138; 4.37585; -3.66283; 240.909; 0; 0
518979.260014; 7.23198; 3.30038; 4.37666; -2.43744; 482.646; 0; 0
518980.260014; 7.27272; 3.33244; 4.37748; -2.37427; 724.715; 0; 0
518981.260014; 7.25854; 3.3293; 4.37829; 2.74391; 967.238; 0; 0
518982.260014; 7.09792; 3.22844; 4.37909; 6.23115; 1208.95; 0; 0
518983.260014; 7.18866; 3.25544; 4.37991; 2.92866; 0.0306492; 0; 0
518984.260014; 7.12995; 3.22321; 4.38072; -3.36085; 241.108; 0; 0
518985.260014; 7.19373; 3.23199; 4.38153; -4.18639; 485.129; 0; 0
518986.260014; 7.2198; 3.245; 4.38234; 1.0455; 726.911; 0; 0
518987.260014; 7.25564; 3.27736; 4.38315; 3.39872; 967.324; 0; 0
518988.260014; 7.16709; 3.22606; 4.38396; 1.99163; 1211.91; 0; 0
518989.260014; 7.1487; 3.21497; 4.38477; -2.62526; -0.0274742; 0; 0
518990.260014; 7.05894; 3.19044; 4.38558; -4.73558; 241.565; 0; 0
518991.260014; 7.01325; 3.17496; 4.38639; -3.18206; 484.978; 0; 0
518992.260014; 6.98084; 3.1603; 4.38721; 1.99806; 726.981; 0; 0
518993.260014; 7.11264; 3.2119; 4.38802; 5.50848; 969.645; 0; 0
518994.260014; 7.05492; 3.18799; 4.38883; -3.53661; 1210.9; 0; 0
518995.260014; 7.0188; 3.1772; 4.38964; 3.5355; 0.0370002; 0; 0
518996.260015; 7.01229; 3.1677; 4.39045; 3.36553; 242.737; 0; 0
518997.260015; 6.88647; 3.0926; 4.39126; 4.00568; 482.944; 0; 0
518998.260015; 6.86434; 3.08703; 4.39207; 3.46976; 725.669; 0; 0
518999.260015; 6.88124; 3.09374; 4.39288; 2.63551; 967.399; 0; 0
519000.260015; 6.86542; 3.10197; 4.39369; -2.52387; 1210.14; 0; 0
519001.260015; 6.93876; 3.15924; 4.39451; -2.7897; -0.0291956; 0; 0
519002.260015; 6.90956; 3.14699; 4.39531; 2.41616; 242.283; 0; 0
519003.260015; 6.92967; 3.1333; 4.39613; -6.723; 485.012; 0; 0
519004.260015; 6.90626; 3.1039; 4.39693; -4.21264; 728.065; 0; 0
519005.260015; 6.78597; 3.0653; 4.39774; -2.82625; 967.981; 0; 0
519006.260015; 6.81155; 3.05348; 4.39856; -3.05176; 1211.27; 0; 0
519007.260015; 6.85493; 3.07505; 4.39937; 3.21795; 0.0336768; 0; 0
519008.260015; 6.92825; 3.10234; 4.40018; 5.93903; 241.386; 0; 0
519009.260015; 6.93817; 3.12324; 4.40099; -2.87691; 484.101; 0; 0
519010.260015; 6.76689; 3.04831; 4.40179; 5.09162; 725.739; 0; 0
519011.260015; 6.76171; 3.05424; 4.40261; 1.08114; 968.026; 0; 0
519012.260015; 6.7518; 3.05855; 4.40342; -1.99251; 1210.05; 0; 0
519013.260015; 6.67252; 3.05486; 4.40423; 3.80417; 0.0398117; 0; 0
519014.260015; 6.60304; 3.01228; 4.40504; -4.27075; 242.956; 0; 0
519015.260015; 6.58972; 2.9911; 4.40585; -5.35677; 486.39; 0; 0
519016.260015; 6.64088; 3.01038; 4.40666; 2.20735; 727.962; 0; 0
519017.260015; 6.71529; 3.04325; 4.40747; 2.14976; 970.002; 0; 0
519018.260015; 6.62428; 3.00834; 4.40828; -3.51067; 1211.12; 0; 0
519019.260015; 6.57566; 2.98731; 4.40909; -2.82823; -0.0295982; 0; 0
519020.260015; 6.58698; 3.00853; 4.4099; -2.92904; 240.654; 0; 0
519021.260015; 6.5443; 2.99244; 4.41071; -2.69037; 485.313; 0; 0
519022.260015; 6.51172; 2.95125; 4.41152; -4.79154; 726.923; 0; 0
519023.260015; 6.59259; 2.97216; 4.41233; -2.9716; 969.407; 0; 0
519024.260015; 6.54614; 2.94981; 4.41314; -3.68967; 1210.98; 0; 0
519025.260015; 6.5234; 2.95485; 4.41395; 3.99281; 0.041786; 0; 0
519026.260015; 6.50901; 2.94743; 4.41476; 4.317; 242.553; 0; 0
519027.260015; 6.4631; 2.94397; 4.41557; -3.22819; 485.228; 0; 0
519028.260015; 6.51722; 2.98781; 4.41638; -2.30777; 726.652; 0; 0
519029.260015; 6.48749; 2.97687; 4.41719; 3.98668; 968.608; 0; 0
519030.260015; 6.46766; 2.97537; 4.418; 1.80379; 1210.79; 0; 0
519031.260015; 6.48724; 3.01102; 4.41881; -3.02616; -0.0316697; 0; 0
519032.260015; 6.4664; 2.98228; 4.41962; -4.58989; 240.927; 0; 0
519033.260015; 6.48739; 2.99132; 4.42043; 4.51822; 485.187; 0; 0
519034.260015; 6.52178; 3.00916; 4.42124; -4.30549; 725.291; 0; 0
519035.260015; 6.51498; 3.01921; 4.42205; -4.13986; 967.246; 0; 0
519036.260016; 6.50892; 3.01077; 4.42286; -2.17017; 1210.82; 0; 0
519037.260016; 6.48605; 3.03521; 4.42366; -3.97301; -0.0415788; 0; 0
519038.260016; 6.53466; 3.05556; 4.42448; 3.29616; 242.843; 0; 0
519039.260016; 6.53934; 3.03894; 4.42528; -5.60743; 484.346; 0; 0
519040.260016; 6.55061; 3.05355; 4.42609; -1.94372; 725.969; 0; 0
519041.260016; 6.603; 3.09044; 4.4269; 3.49948; 967.868; 0; 0
519042.260016; 6.58951; 3.08637; 4.42771; 2.47642; 1209.51; 0; 0
519043.260016; 6.63956; 3.10265; 4.42852; 3.24089; 0.0339168; 0; 0
519044.260016; 6.70593; 3.12362; 4.42933; 3.47964; 240.183; 0; 0
519045.260016; 6.71526; 3.14478; 4.43014; -4.12261; 482.047; 0; 0
519046.260016; 6.66596; 3.14202; 4.43094; -4.68233; 722.495; 0; 0
519047.260016; 6.76558; 3.18112; 4.43176; 4.37625; 965.981; 0; 0
519048.260016; 6.75146; 3.17397; 4.43256; -1.11179; 1207.65; 0; 0
519049.260016; 6.74043; 3.19214; 4.43337; -4.5575; -0.0476957; 0; 0
519050.260016; 6.76892; 3.21073; 4.43418; -2.90526; 242.594; 0; 0
519051.260016; 6.77664; 3.21948; 4.43499; -0.764543; 482.078; 0; 0
519052.260016; 6.79867; 3.22029; 4.4358; -3.24278; 725.513; 0; 0
519053.260016; 6.78006; 3.20529; 4.43661; 2.05784; 966.891; 0; 0
519054.260016; 6.76271; 3.17772; 4.43741; -5.12193; 1207.97; 0; 0
519055.260016; 6.70595; 3.14309; 4.43822; 3.88436; 0.0406509; 0; 0
519056.260016; 6.67395; 3.13431; 4.43903; 2.01792; 241.768; 0; 0
519057.260016; 6.69913; 3.1523; 4.43984; -1.50108; 484.288; 0; 0
519058.260016; 6.65612; 3.11619; 4.44064; -3.18908; 724.64; 0; 0
519059.260016; 6.62196; 3.10567; 4.44145; -2.84179; 967.068; 0; 0
519060.260016; 6.64048; 3.09454; 4.44226; -3.87953; 1208.57; 0; 0
519061.260016; 6.68982; 3.13352; 4.44307; 2.22594; 0.0232952; 0; 0
519062.260016; 6.71842; 3.15197; 4.44388; 4.37522; 242.81; 0; 0
519063.260016; 6.73479; 3.16352; 4.44469; 2.11795; 483.839; 0; 0
519064.260016; 6.74186; 3.17052; 4.44549; 2.37997; 724.115; 0; 0
519065.260016; 6.70146; 3.14613; 4.4463; 5.08302; 965.204; 0; 0
519066.260016; 6.67124; 3.12024; 4.44711; -4.57943; 1207.57; 0; 0
519067.260016; 6.68715; 3.1311; 4.44792; -2.04563; -0.0214081; 0; 0
519068.260016; 6.7374; 3.16503; 4.44873; 3.37707; 239.579; 0; 0
519069.260016; 6.73235; 3.14002; 4.44953; -6.99243; 483.142; 0; 0
519070.260016; 6.72003; 3.11037; 4.45034; -6.01095; 725.751; 0; 0
519071.260016; 6.6897; 3.09407; 4.45114; 2.66083; 964.558; 0; 0
519072.260016; 6.7608; 3.12453; 4.45195; 4.42845; 1207.45; 0; 0
519073.260016; 6.73676; 3.12661; 4.45276; -2.79546; -0.0292553; 0; 0
519074.260016; 6.74439; 3.14059; 4.45356; -3.2536; 240.257; 0; 0
519075.260016; 6.72038; 3.13026; 4.45437; 2.21425; 481.844; 0; 0
519076.260017; 6.64756; 3.09458; 4.45517; 5.48666; 724.144; 0; 0
519077.260017; 6.65187; 3.13018; 4.45598; -5.56812; 965.847; 0; 0
519078.260017; 6.64939; 3.15269; 4.45679; 4.24355; 1207.18; 0; 0
519079.260017; 6.70757; 3.18643; 4.4576; 3.58114; 0.0374778; 0; 0
519080.260017; 6.66121; 3.15776; 4.4584; 5.1382; 242.446; 0; 0
519081.260017; 6.70705; 3.18828; 4.45921; 5.89003; 483.301; 0; 0
519082.260017; 6.71091; 3.1987; 4.46002; 2.90415; 725.219; 0; 0
519083.260017; 6.69105; 3.18594; 4.46082; 1.70141; 966.866; 0; 0
519084.260017; 6.67659; 3.17342; 4.46163; 2.54015; 1209.51; 0; 0
519085.260017; 6.67513; 3.16495; 4.46243; 2.91915; 0.0305498; 0; 0
519086.260017; 6.60824; 3.13853; 4.46323; 3.23606; 239.947; 0; 0
519087.260017; 6.58747; 3.11643; 4.46404; -3.84311; 482.936; 0; 0
519088.260017; 6.57288; 3.093; 4.46485; -6.29047; 725.518; 0; 0
519089.260017; 6.58763; 3.10534; 4.46566; -2.95544; 966.687; 0; 0
519090.260017; 6.56663; 3.08409; 4.46646; -3.78769; 1207.52; 0; 0
519091.260017; 6.63869; 3.12164; 4.46727; 2.62498; 0.0274714; 0; 0
519092.260017; 6.68483; 3.15118; 4.46807; 4.92233; 242.946; 0; 0
519093.260017; 6.66427; 3.14566; 4.46887; -2.28941; 483.356; 0; 0
519094.260017; 6.67658; 3.15844; 4.46968; -1.55262; 725.367; 0; 0
519095.260017; 6.69991; 3.16602; 4.47049; 2.04272; 966.779; 0; 0
519096.260017; 6.7031; 3.1773; 4.47129; -2.28733; 1209.62; 0; 0
519097.260017; 6.74674; 3.19645; 4.4721; 2.84927; 0.0298186; 0; 0
519098.260017; 6.7613; 3.21624; 4.4729; 3.3386; 239.389; 0; 0
519099.260017; 6.80643; 3.24889; 4.47371; 2.45281; 482.569; 0; 0
519100.260017; 6.85347; 3.26438; 4.47451; -3.16496; 726.317; 0; 0
519101.260017; 6.88188; 3.29262; 4.47531; 2.44036; 966.771; 0; 0
519102.260017; 6.88454; 3.3011; 4.47612; 2.93933; 1209.42; 0; 0
519103.260017; 6.92126; 3.32456; 4.47692; 3.45935; 0.0362031; 0; 0
519104.260017; 6.91209; 3.29953; 4.47772; -7.27188; 240.645; 0; 0
519105.260017; 6.93721; 3.32105; 4.47853; -2.56968; 483.867; 0; 0
519106.260017; 6.95451; 3.33606; 4.47933; -4.09633; 725.579; 0; 0
519107.260017; 6.938; 3.32751; 4.48013; -3.28601; 966.343; 0; 0
519108.260017; 6.95644; 3.33786; 4.48094; 2.44684; 1208.41; 0; 0
519109.260017; 6.91686; 3.30849; 4.48174; -3.37872; -0.0353595; 0; 0
519110.260017; 6.93808; 3.32773; 4.48255; 4.50958; 241.022; 0; 0
519111.260017; 6.93961; 3.33111; 4.48335; 1.48313; 483.85; 0; 0
519112.260017; 6.91265; 3.32111; 4.48415; -3.14249; 724.56; 0; 0
519113.260017; 6.89625; 3.3093; 4.48495; -2.95103; 968.406; 0; 0
519114.260017; 6.91292; 3.32289; 4.48576; -2.45976; 1209.75; 0; 0
519115.260017; 6.95077; 3.32699; 4.48656; 5.39016; 0.0564097; 0; 0
519116.260018; 6.91457; 3.31994; 4.48736; -2.60097; 240.767; 0; 0
519117.260018; 6.937; 3.3366; 4.48816; -3.71828; 482.928; 0; 0
519118.260018; 6.90608; 3.30818; 4.48896; -6.38089; 725.479; 0; 0
519119.260018; 6.92677; 3.31352; 4.48977; -2.64872; 966.443; 0; 0
519120.260018; 6.97478; 3.33764; 4.49057; -2.78093; 1207.76; 0; 0
519121.260018; 6.98366; 3.36151; 4.49137; -3.83394; -0.0401235; 0; 0
519122.260018; 6.97315; 3.3716; 4.49217; -3.67509; 240.373; 0; 0
519123.260018; 6.95103; 3.35837; 4.49297; -2.80911; 483.315; 0; 0
519124.260018; 6.97252; 3.35899; 4.49378; -3.47532; 725.521; 0; 0
519125.260018; 6.99803; 3.36791; 4.49458; 2.77573; 967.495; 0; 0
519126.260018; 7.03715; 3.37701; 4.49538; -3.36859; 1208.45; 0; 0
519127.260018; 7.00974; 3.36653; 4.49618; -2.46246; -0.0257704; 0; 0
519128.260018; 6.96294; 3.34841; 4.49698; 3.16285; 240.999; 0; 0
519129.260018; 6.91298; 3.33124; 4.49778; -3.81968; 482.223; 0; 0
519130.260018; 6.91913; 3.33406; 4.49858; -1.19828; 726.092; 0; 0
519131.260018; 6.95211; 3.3512; 4.49938; 3.38142; 966.913; 0; 0
519132.260018; 6.97666; 3.36193; 4.50018; 4.11438; 1209.77; 0; 0
519133.260018; 6.89479; 3.31419; 4.50098; 5.47069; 0.0572529; 0; 0
519134.260018; 6.87061; 3.30836; 4.50178; -2.66706; 242.361; 0; 0
519135.260018; 6.92945; 3.34318; 4.50259; -6.1695; 485.015; 0; 0
519136.260018; 6.95154; 3.36435; 4.50338; 2.84701; 725.163; 0; 0
519137.260018; 6.91394; 3.35338; 4.50418; -1.4784; 967.572; 0; 0
519138.260018; 6.89597; 3.33194; 4.50498; -5.27489; 1210.99; 0; 0
519139.260018; 6.88028; 3.32902; 4.50578; -2.13792; -0.022374; 0; 0
