tow; prn8; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg) 
518419.26000015; 12; 1498701036.32; 3092.2578125; -515.376289183829; -1.31285e+09; 1.31285e+09; 0; 0; -0; -0; 0; -325.259; -242.888; -190.117; -1.31285e+09
518415.26; 12; -260958.69043; 6183.5771484375; 0; 0; 0; 0; 0; 0; 0; 0; -325.707; -243.223; 325.707; 325.707
518416.260000025; 12; -260610.193359; 9276.69140625; -3093.11418003395; -1831.36; -1261.75; 0; 0; -0; -0; 0; -326.155; -243.557; -2766.96; -1505.21
518417.26000005; 12; -260264.863281; 12371.0185546875; -3094.3270713489; -1814.72; -1279.61; 0; 0; -0; -0; 0; -326.602; -243.891; -2767.72; -1488.12
518418.260000075; 12; -259921.93457; 15465.9375; -3094.91886748857; -1802.1; -1292.82; 0; 0; -0; -0; 0; -327.05; -244.225; -2767.87; -1475.05
518419.2600001; 12; -259575.201172; 18561.181640625; -3095.24406351356; -1822.1; -1273.15; 0; 0; -0; -0; 0; -327.497; -244.56; -2767.75; -1494.6
518420.260000125; 12; -259231.493164; 21659.515625; -3098.33390718658; -1806.2; -1292.14; 0; 0; -0; -0; 0; -327.945; -244.894; -2770.39; -1478.25
518421.26000015; 12; -258879.255859; 24757.537109375; -3098.02140647305; -1851.02; -1247; 0; 0; -0; -0; 0; -328.393; -245.228; -2769.63; -1522.63
518422.260000175; 12; -258531.938477; 27857.46484375; -3099.92765714688; -1825.17; -1274.76; 0; 0; -0; -0; 0; -328.84; -245.562; -2771.09; -1496.33
518423.2600002; 12; -258185.108398; 30959.5556640625; -3102.09074303049; -1822.6; -1279.49; 0; 0; -0; -0; 0; -329.288; -245.897; -2772.8; -1493.32
518424.260000225; 12; -257836.893555; 34058.380859375; -3098.82511739034; -1829.88; -1268.94; 0; 0; -0; -0; 0; -329.735; -246.231; -2769.09; -1500.15
518425.26000025; 12; -257488.015625; 37158.6064453125; -3100.22550870196; -1833.37; -1266.86; 0; 0; -0; -0; 0; -330.183; -246.565; -2770.04; -1503.18
518426.260000275; 12; -257144.337891; 40260.095703125; -3101.48917982335; -1806.04; -1295.45; 0; 0; -0; -0; 0; -330.63; -246.899; -2770.86; -1475.41
518427.2600003; 12; -256797.013672; 43359.869140625; -3099.77336027572; -1825.2; -1274.57; 0; 0; -0; -0; 0; -331.078; -247.233; -2768.7; -1494.12
518428.260000325; 12; -256447.192383; 46460.791015625; -3100.92179774711; -1838.32; -1262.6; 0; 0; -0; -0; 0; -331.525; -247.568; -2769.4; -1506.8
518429.26000035; 12; -256102.842773; 49561.423828125; -3100.63273453239; -1809.57; -1291.06; 0; 0; -0; -0; 0; -331.973; -247.902; -2768.66; -1477.6
518430.260000375; 12; -255754.551758; 52664.478515625; -3103.05461019398; -1830.28; -1272.77; 0; 0; -0; -0; 0; -332.42; -248.236; -2770.63; -1497.86
518431.2600004; 12; -255406.81543; 55767.537109375; -3103.05851644388; -1827.37; -1275.69; 0; 0; -0; -0; 0; -332.868; -248.57; -2770.19; -1494.5
518432.260000425; 12; -255059.164062; 58870.65234375; -3103.11515634497; -1826.92; -1276.19; 0; 0; -0; -0; 0; -333.315; -248.904; -2769.8; -1493.61
518433.26000045; 12; -254711.779297; 61975.1591796875; -3104.5067585953; -1825.52; -1278.99; 0; 0; -0; -0; 0; -333.763; -249.238; -2770.74; -1491.76
518434.260000475; 12; -254362.134766; 65081.1484375; -3105.9891797102; -1837.39; -1268.59; 0; 0; -0; -0; 0; -334.21; -249.572; -2771.78; -1503.18
518435.2600005; 12; -254012.607422; 68188.6513671875; -3107.50285227066; -1836.78; -1270.72; 0; 0; -0; -0; 0; -334.657; -249.907; -2772.85; -1502.12
518436.260000525; 12; -253664.688477; 71294.9287109375; -3106.27726636369; -1828.33; -1277.95; 0; 0; -0; -0; 0; -335.105; -250.241; -2771.17; -1493.22
518437.26000055; 12; -253314.03418; 74403.7900390625; -3108.86124995048; -1842.7; -1266.16; 0; 0; -0; -0; 0; -335.552; -250.575; -2773.31; -1507.15
518438.260000575; 12; -252963.655273; 77513.529296875; -3109.73918033994; -1841.25; -1268.49; 0; 0; -0; -0; 0; -336; -250.909; -2773.74; -1505.25
518439.2600006; 12; -252614.700195; 80622.693359375; -3109.16398504177; -1833.77; -1275.39; 0; 0; -0; -0; 0; -336.447; -251.243; -2772.72; -1497.32
518440.260000625; 12; -252264.652344; 83731.8291015625; -3109.13566400608; -1839.51; -1269.62; 0; 0; -0; -0; 0; -336.894; -251.577; -2772.24; -1502.62
518441.26000065; 12; -251918.920898; 86841.560546875; -3109.73136784014; -1816.83; -1292.9; 0; 0; -0; -0; 0; -337.342; -251.911; -2772.39; -1479.49
518442.260000675; 12; -251567.628906; 89953.5634765625; -3112.00285143398; -1846.05; -1265.95; 0; 0; -0; -0; 0; -337.789; -252.245; -2774.21; -1508.26
518443.2600007; 12; -251216.994141; 93067.5849609375; -3114.02140679576; -1842.6; -1271.42; 0; 0; -0; -0; 0; -338.237; -252.579; -2775.78; -1504.36
518444.260000725; 12; -250869.085938; 96178.99609375; -3111.41105529829; -1828.27; -1283.14; 0; 0; -0; -0; 0; -338.684; -252.913; -2772.73; -1489.59
518445.26000075; 12; -250518.620117; 99291.8642578125; -3112.86808578722; -1841.71; -1271.16; 0; 0; -0; -0; 0; -339.131; -253.247; -2773.74; -1502.58
518446.260000775; 12; -250169.879883; 102406.515625; -3114.65128959257; -1832.64; -1282.01; 0; 0; -0; -0; 0; -339.579; -253.581; -2775.07; -1493.06
518447.2600008; 12; -249820.244141; 105519.671875; -3113.15617244232; -1837.35; -1275.81; 0; 0; -0; -0; 0; -340.026; -253.915; -2773.13; -1497.32
518448.260000825; 12; -249468.431641; 108632.037109375; -3112.36515611237; -1848.79; -1263.58; 0; 0; -0; -0; 0; -340.473; -254.249; -2771.89; -1508.31
518449.26000085; 12; -249120.529297; 111745.96875; -3113.931563048; -1828.24; -1285.69; 0; 0; -0; -0; 0; -340.921; -254.584; -2773.01; -1487.32
518450.260000875; 12; -248767.47168; 114860.8681640625; -3114.89933573615; -1855.33; -1259.57; 0; 0; -0; -0; 0; -341.368; -254.918; -2773.53; -1513.96
518451.2600009; 12; -248418.451172; 117976.2568359375; -3115.3885942617; -1834.12; -1281.27; 0; 0; -0; -0; 0; -341.815; -255.252; -2773.57; -1492.3
518452.260000925; 12; -248068.521484; 121092.5107421875; -3116.25382861515; -1838.89; -1277.36; 0; 0; -0; -0; 0; -342.262; -255.586; -2773.99; -1496.63
518453.26000095; 12; -247718.026367; 124208.1865234375; -3115.67570290412; -1841.86; -1273.81; 0; 0; -0; -0; 0; -342.71; -255.92; -2772.97; -1499.15
518454.260000975; 12; -247367.500977; 127322.5810546875; -3114.39445366147; -1842.02; -1272.37; 0; 0; -0; -0; 0; -343.157; -256.254; -2771.24; -1498.87
518455.260001; 12; -247017.418945; 130438.0009765625; -3115.41984426092; -1839.69; -1275.73; 0; 0; -0; -0; 0; -343.604; -256.587; -2771.82; -1496.09
518456.260001025; 12; -246667.532227; 133554.9052734375; -3116.90421849823; -1838.67; -1278.24; 0; 0; -0; -0; 0; -344.051; -256.921; -2772.85; -1494.62
518457.26000105; 12; -246315.680664; 136672.146484375; -3117.24113327805; -1848.99; -1268.25; 0; 0; -0; -0; 0; -344.499; -257.255; -2772.74; -1504.49
518458.260001075; 12; -245964.726562; 139790.1025390625; -3117.95597628428; -1844.28; -1273.68; 0; 0; -0; -0; 0; -344.946; -257.589; -2773.01; -1499.33
518459.2600011; 12; -245614.448242; 142904.8125; -3114.70988334111; -1840.72; -1273.98; 0; 0; -0; -0; 0; -345.393; -257.923; -2769.32; -1495.33
518460.260001125; 12; -245264.898438; 146020.0341796875; -3115.22160207836; -1836.9; -1278.33; 0; 0; -0; -0; 0; -345.84; -258.257; -2769.38; -1491.06
518461.26000115; 12; -244913.671875; 149137.1669921875; -3117.13273411749; -1845.71; -1271.42; 0; 0; -0; -0; 0; -346.287; -258.591; -2770.85; -1499.42
