tm; prn; seq_fract; phase
0; 12; 0.878346850863; 19250.9863281
7830; 12; 0.877233114094; 22340.1630859
8830; 12; 0.876120014582; 25430.8896484
9830; 12; 0.874993296107; 28522.4082031
10830; 12; 0.873846532311; 31612.78125
11830; 12; 0.87271148432; 34702.796875
12830; 12; 0.871598473517; 37795.0546875
12830; 24; 0.395585603081; 40698.6328125
13830; 12; 0.87046449678; 40886.3740234
13830; 24; 0.393066228833; 45997.0224609
14830; 12; 0.869327034801; 43979.4882812
14830; 24; 0.390522711445; 51297.1835938
15830; 12; 0.868200138677; 47073.8154297
15830; 24; 0.387979385909; 56598.5830078
16830; 12; 0.867081251694; 50168.734375
16830; 24; 0.385460736463; 61900.5332031
17830; 12; 0.86594967125; 53263.9785156
17830; 24; 0.382945402293; 67202.8427734
18830; 12; 0.864828184713; 56362.3125
18830; 24; 0.38041858119; 72508.2841797
19830; 12; 0.863678250462; 59460.3339844
19830; 24; 0.377889506286; 77813.3417969
20830; 12; 0.862544722855; 62560.2617188
20830; 24; 0.375338746933; 83120.3935547
21830; 12; 0.861412822269; 65662.3525391
21830; 24; 0.372821916826; 88429.5664062
22830; 12; 0.860276303487; 68761.1777344
22830; 24; 0.370275663445; 93735.4716797
23830; 12; 0.859137571417; 71861.4033203
23830; 24; 0.367751272861; 99042.7978516
24830; 12; 0.85801618523; 74962.8925781
24830; 24; 0.365212156437; 104351.386719
25830; 12; 0.856882638298; 78062.6660156
25830; 24; 0.362673565513; 109658.262695
26830; 12; 0.855740757892; 81163.5878906
26830; 24; 0.360144062666; 114966.292969
27830; 12; 0.85461713071; 84264.2207031
27830; 24; 0.357603694545; 120274.039062
28830; 12; 0.853480358375; 87367.2753906
28830; 24; 0.355062061921; 125584.214844
29830; 12; 0.85234543425; 90470.3339844
29830; 24; 0.352526111761; 130894.380859
30830; 12; 0.851210793713; 93573.4492188
30830; 24; 0.349988458445; 136204.62793
30830; 14; 0.469404459465; -1658.03710938
31830; 12; 0.850077042822; 96677.9560547
31830; 24; 0.3474415245; 141516.259766
31830; 14; 0.468432041816; 1202.50292969
32830; 12; 0.848935756134; 99783.9453125
32830; 24; 0.344921918819; 146829.374023
32830; 14; 0.467432487756; 4093.74511719
33830; 12; 0.847794856876; 102891.448242
33830; 24; 0.342378155561; 152144.017578
33830; 14; 0.466398468707; 6986.7578125
34830; 12; 0.84665932483; 105997.725586
34830; 24; 0.339832506608; 157457.43457
34830; 14; 0.465437925188; 9878.64160156
35830; 12; 0.845514666289; 109106.586914
35830; 24; 0.337285579648; 162773.4375
35830; 14; 0.464421681594; 12773.4335938
36830; 12; 0.84437092836; 112216.326172
36830; 24; 0.334757850273; 168090.322266
36830; 14; 0.463419097709; 15669.2285156
36830; 25; 0.954243135406; 136048.598633
37830; 12; 0.843231941806; 115325.490234
37830; 24; 0.332223126199; 173406.634766
37830; 14; 0.462449386716; 18564.6943359
37830; 25; 0.954707883066; 136671.232422
38830; 12; 0.842089307029; 118434.625977
38830; 24; 0.329669673694; 178722.919922
38830; 14; 0.461424244335; 21460.375
38830; 25; 0.955118194222; 137293.739258
39830; 12; 0.840961069334; 121544.357422
39830; 24; 0.327135347761; 184039.818359
39830; 14; 0.460423496319; 24356.8554688
39830; 25; 0.955533519387; 137916.724609
40830; 12; 0.839814286912; 124656.360352
40830; 24; 0.32459171745; 189358.969727
40830; 14; 0.459415902616; 27255.7607422
40830; 25; 0.95596958464; 138541.791016
41830; 12; 0.838669695891; 127770.381836
41830; 24; 0.322061222978; 194680.152344
41830; 14; 0.458389359061; 30156.9365234
41830; 25; 0.956415027846; 139168.8125
42830; 12; 0.837534199469; 130881.792969
42830; 24; 0.319505626336; 199998.728516
42830; 14; 0.45739146159; 33055.7041016
42830; 25; 0.956859089201; 139793.131836
43830; 12; 0.836390169803; 133994.661133
43830; 24; 0.316965295002; 205318.765625
43830; 14; 0.456390688661; 35956.1464844
43830; 25; 0.957295046654; 140418.759766
43830; 2; 0.0907555462327; 748.182617188
44830; 12; 0.835251898039; 137109.3125
44830; 24; 0.314428707818; 210640.589844
44830; 14; 0.455381264677; 38858.5761719
44830; 25; 0.957722919295; 141046.057617
44830; 2; 0.0912203774787; 1187.35351562
45830; 12; 0.834110638127; 140222.46875
45830; 24; 0.311876146821; 215960.919922
45830; 14; 0.454371909611; 41759.7265625
45830; 25; 0.958167434204; 141672.723633
45830; 2; 0.0916740139946; 1625.01757812
46830; 12; 0.832962118788; 143334.833984
46830; 24; 0.309327725321; 221280.46582
46830; 14; 0.453370264266; 44660.3007812
46830; 25; 0.958602179773; 142297.53125
46830; 2; 0.0921283825301; 2062.03613281
47830; 12; 0.831826639595; 146448.765625
47830; 24; 0.306791266426; 226601.572266
47830; 14; 0.452352753375; 47562.6542969
47830; 25; 0.95904546068; 142923.766602
47830; 2; 0.0925895923283; 2500.53125
48830; 12; 0.830673967255; 149563.665039
48830; 24; 0.304250212852; 231923.662109
48830; 14; 0.451354637044; 50466.171875
48830; 25; 0.959471938899; 143550.861328
49830; 12; 0.829534760676; 152679.053711
49830; 24; 0.301698045107; 237246.233398
49830; 14; 0.450342549477; 53370.3984375
49830; 25; 0.959915675456; 144178.324219
50830; 12; 0.828392521245; 155795.307617
50830; 24; 0.299153354019; 242569.680664
50830; 14; 0.449336331105; 56275.7060547
50830; 25; 0.960345268715; 144806.544922
51830; 12; 0.827248396352; 158910.983398
51830; 24; 0.29660875909; 247892.546875
51830; 14; 0.448319278192; 59180.6386719
51830; 25; 0.960781421512; 145434.064453
52830; 12; 0.826104167383; 162025.37793
52830; 24; 0.294075528858; 253214.134766
52830; 14; 0.447325234301; 62084.5039062
52830; 25; 0.961225078441; 146060.181641
53830; 12; 0.824961418752; 165140.797852
53830; 24; 0.29153337609; 258536.757812
53830; 14; 0.446306752739; 64989.6074219
53830; 25; 0.961652193218; 146687.223633
54830; 12; 0.823819323676; 168257.702148
54830; 24; 0.288984011626; 263860.855469
54830; 14; 0.445283123292; 67896.4013672
54830; 25; 0.962096595438; 147315.624023
55830; 12; 0.822670674417; 171374.943359
55830; 24; 0.286437152186; 269185.303711
55830; 14; 0.444283371326; 70803.7451172
55830; 25; 0.962527804775; 147944.257812
56830; 12; 0.821525015635; 174492.899414
56830; 24; 0.283888035221; 274510.458984
56830; 14; 0.443265761482; 73712.0273438
56830; 25; 0.962967788102; 148573.487305
57830; 12; 0.82038161275; 177607.609375
57830; 24; 0.281345111318; 279832.390625
57830; 14; 0.442251101136; 76617.2597656
57830; 25; 0.963406909024; 149199.359375
58830; 12; 0.819240641315; 180722.831055
58830; 24; 0.278788814787; 285154.810547
58830; 14; 0.44124317728; 79523.21875
58830; 25; 0.963836963754; 149825.616211
59830; 12; 0.818094074959; 183839.963867
59830; 24; 0.27626262093; 290479.15918
59830; 14; 0.440235323273; 82431.2998047
59830; 25; 0.964273306774; 150453.681641
60830; 12; 0.81694990187; 186957.664062
60830; 24; 0.273715597112; 295804.074219
60830; 14; 0.439230782678; 85340.1621094
60830; 25; 0.964705097489; 151082.196289
61830; 12; 0.815814757254; 190076.563477
61830; 24; 0.271156184841; 301130.188477
61830; 14; 0.438202792779; 88250.4238281
61830; 25; 0.965134475846; 151711.789062
62830; 12; 0.814662846504; 193195.651367
62830; 24; 0.268611538922; 306456.49707
62830; 14; 0.437197575811; 91161.1025391
62830; 25; 0.965573076392; 152341.466797
63830; 12; 0.81351363752; 196315.109375
63830; 24; 0.266069623176; 311783.176758
63830; 14; 0.436172125628; 94072.3427734
