time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]; bias1[Hz]; bias2[Hz]
248773.366; 0.941121; 0.668488; 5.33084; -2.82248; -0.00383289; 0; 0
248774.366; 2.9129; 1.90086; 5.33298; -1.00426; -0.103607; 0; 0
248775.366; 2.29944; 1.8213; 5.33511; -3.69221; 0.111872; 0; 0
248776.366; 3.01209; 2.83464; 5.33725; -5.1003; 0.569526; 0; 0
248777.366; 4.22099; 3.79352; 5.33938; -3.80609; 0.557262; 0; 0
248778.366; 4.76095; 4.23606; 5.34151; -3.15187; 0.771617; 0; 0
248779.366; 4.8584; 4.32971; 5.34364; -2.77816; 1.32744; 0; 0
248780.366; 5.32022; 4.99862; 5.34577; -6.97915; 0.970312; 0; 0
248781.366; 5.67931; 5.43589; 5.3479; -3.01642; 0.636842; 0; 0
248782.366; 6.03383; 5.7803; 5.35002; -2.824; 0.804413; 0; 0
248783.366; 6.70039; 6.38115; 5.35215; -6.12205; 1.16409; 0; 0
248784.366; 6.45064; 6.33751; 5.35427; -2.8749; 0.393564; 0; 0
248785.366; 6.27493; 6.25251; 5.35639; -3.42545; 0.378404; 0; 0
248786.366; 6.12372; 6.0228; 5.35851; -5.12541; -0.229952; 0; 0
248787.366; 6.22845; 5.5434; 5.36063; 4.66311; -0.607049; 0; 0
248788.366; 6.78778; 5.31554; 5.36275; 3.53594; -0.098298; 0; 0
248789.366; 7.76609; 5.00368; 5.36487; 5.67788; 0.118507; 0; 0
248790.366; 8.13194; 4.77121; 5.36699; 4.31802; 0.246431; 0; 0
248791.366; 8.35866; 4.5476; 5.36911; -2.86422; 0.789393; 0; 0
248792.366; 7.83721; 4.33241; 5.37123; -8.43844; 1.42535; 0; 0
248793.366; 7.26346; 4.29329; 5.37334; -6.5149; 1.42; 0; 0
248794.366; 6.04114; 4.3997; 5.37546; -7.90191; 1.86778; 0; 0
248795.366; 5.60999; 4.50061; 5.37757; -4.25472; 1.62215; 0; 0
248796.366; 5.37012; 4.54579; 5.37968; -4.35702; 2.03681; 0; 0
248797.366; 5.33033; 4.64136; 5.38179; -4.12694; 1.44732; 0; 0
248798.366; 5.36456; 4.84053; 5.38389; -4.15067; 1.4172; 0; 0
248799.366; 5.38685; 4.93973; 5.386; -2.23511; 0.998477; 0; 0
248800.366; 5.45652; 4.83123; 5.3881; 4.79111; 0.505058; 0; 0
248801.366; 5.83718; 4.67151; 5.3902; 4.46831; 0.0848657; 0; 0
248802.366; 6.1163; 4.51809; 5.3923; 4.26383; 0.748924; 0; 0
248803.366; 6.36595; 4.38963; 5.3944; 4.13719; 0.317315; 0; 0
248804.366; 6.42145; 4.32678; 5.39651; -3.52433; 0.498381; 0; 0
248805.366; 6.43864; 4.28271; 5.39861; -3.33208; 0.793245; 0; 0
248806.366; 6.28527; 4.43475; 5.40071; -3.97611; 0.895206; 0; 0
248807.366; 6.02477; 4.56859; 5.40281; -5.82464; 1.17502; 0; 0
248808.366; 5.79243; 4.69999; 5.4049; -4.3446; 1.34829; 0; 0
248809.366; 5.43085; 4.84733; 5.407; -6.30667; 0.855384; 0; 0
248810.366; 5.27934; 4.9316; 5.40909; -4.62767; 0.558911; 0; 0
248811.366; 5.12692; 4.86173; 5.41117; -5.314; 0.378699; 0; 0
248812.366; 5.07702; 4.86004; 5.41326; -4.12734; 0.846625; 0; 0
248813.366; 4.95415; 4.79627; 5.41535; -6.26357; 0.88378; 0; 0
248814.366; 4.8905; 4.69171; 5.41743; 3.20964; 0.104662; 0; 0
248815.366; 4.73889; 4.50457; 5.41951; 8.78757; 0.135873; 0; 0
248816.366; 4.62272; 4.37871; 5.4216; 6.13018; 0.296092; 0; 0
248817.366; 4.57768; 4.27132; 5.42368; 4.34009; -0.244096; 0; 0
248818.366; 4.59306; 4.18569; 5.42575; -6.71919; -0.333823; 0; 0
248819.366; 4.63345; 4.20473; 5.42784; -2.28932; -0.101977; 0; 0
248820.366; 4.62994; 4.20683; 5.42991; -6.93556; -0.227347; 0; 0
248821.366; 4.69511; 4.31802; 5.43199; -5.7111; 0.470447; 0; 0
248822.366; 4.69483; 4.37058; 5.43406; -3.51562; 0.0579813; 0; 0
248823.366; 4.75227; 4.42426; 5.43613; -4.43254; 0.268817; 0; 0
248824.366; 4.76422; 4.49275; 5.43821; -3.88353; 0.521778; 0; 0
248825.366; 4.75865; 4.55927; 5.44028; -2.43814; 0.609957; 0; 0
248826.366; 4.78217; 4.58494; 5.44234; -4.26467; 0.199998; 0; 0
248827.366; 4.71996; 4.4926; 5.44441; 3.3673; -0.0767448; 0; 0
248828.366; 4.73513; 4.4625; 5.44647; -5.1568; -0.516399; 0; 0
248829.366; 4.75134; 4.43858; 5.44853; -4.06753; -0.0361848; 0; 0
248830.366; 4.75655; 4.43851; 5.4506; -4.53116; 0.402383; 0; 0
248831.366; 4.73764; 4.54015; 5.45266; -4.70387; 0.670873; 0; 0
248832.366; 4.74134; 4.58232; 5.45472; 2.84437; 0.481916; 0; 0
248833.366; 4.79185; 4.71443; 5.45678; -5.20715; 0.626269; 0; 0
248834.366; 4.86869; 4.81795; 5.45883; -3.94184; 0.355086; 0; 0
248835.366; 4.95152; 4.92935; 5.46088; -5.81816; 0.317534; 0; 0
248836.366; 5.04305; 5.03893; 5.46293; -5.75414; 0.0413352; 0; 0
248837.366; 5.13058; 5.12998; 5.46498; -6.70306; 0.0870952; 0; 0
248838.366; 5.26046; 5.24039; 5.46703; -7.03876; -0.14449; 0; 0
248839.366; 5.26834; 5.23425; 5.46908; -2.12634; 0.40439; 0; 0
248840.366; 5.33945; 5.2755; 5.47112; -8.2053; 0.36163; 0; 0
248841.366; 5.4455; 5.34829; 5.47316; -5.1865; 0.143223; 0; 0
248842.366; 5.47337; 5.34923; 5.4752; -9.42091; 0.236325; 0; 0
248843.366; 5.50175; 5.33328; 5.47724; -5.80758; 0.283712; 0; 0
248844.366; 5.56938; 5.35205; 5.47928; -3.88301; 0.376555; 0; 0
248845.366; 5.57252; 5.32845; 5.48132; -3.9406; -0.168849; 0; 0
248846.366; 5.65995; 5.34139; 5.48335; 4.20378; -0.191255; 0; 0
248847.366; 5.7419; 5.36576; 5.48538; -5.79962; -0.354798; 0; 0
248848.366; 5.76617; 5.35753; 5.48741; 4.48953; -0.597575; 0; 0
248849.366; 5.93285; 5.40366; 5.48945; 7.50988; -0.146101; 0; 0
248850.366; 6.05896; 5.42359; 5.49147; 7.08518; 0.209259; 0; 0
248851.366; 6.30092; 5.50832; 5.4935; -6.39143; 0.598816; 0; 0
248852.366; 6.39836; 5.50859; 5.49552; 4.47622; 0.333789; 0; 0
248853.366; 6.53159; 5.53833; 5.49754; -3.26284; 0.389053; 0; 0
248854.366; 6.4997; 5.49683; 5.49955; 2.6068; -0.555105; 0; 0
248855.366; 6.52358; 5.47059; 5.50157; 4.02671; -0.482367; 0; 0
248856.366; 6.44424; 5.42288; 5.50359; -4.57204; -0.0507233; 0; 0
248857.366; 6.34386; 5.3604; 5.5056; 4.84882; -0.528252; 0; 0
248858.366; 6.35061; 5.33924; 5.50761; -6.78522; -0.2418; 0; 0
248859.366; 6.25554; 5.26592; 5.50962; 7.59855; 0.0418862; 0; 0
248860.366; 6.42692; 5.33069; 5.51164; -6.51985; 0.811336; 0; 0
248861.366; 6.49953; 5.31719; 5.51364; -6.91515; -0.432416; 0; 0
248862.366; 6.63916; 5.3417; 5.51565; -8.99665; -0.167972; 0; 0
248863.366; 6.81031; 5.36461; 5.51765; -8.60195; -0.438774; 0; 0
248864.366; 6.79967; 5.353; 5.51964; 5.08963; 0.0615566; 0; 0
248865.366; 6.91173; 5.37643; 5.52165; -6.48988; -0.0396851; 0; 0
248866.366; 7.03317; 5.38969; 5.52364; -4.71877; 0.191427; 0; 0
248867.366; 7.02659; 5.36943; 5.52563; -8.14319; 0.216958; 0; 0
248868.366; 7.02753; 5.36003; 5.52762; 5.57975; -0.597626; 0; 0
