tow; prn10; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg) 
248545.366; 17; 1280568.3457; -6361.2919921875; 6361.2919921875; -6.72943e+06; 6.73579e+06; 0; 0; -0; -0; 0; 1161.57; 867.403; 5199.73; -6.73059e+06
248546.366; 17; 1280359.60938; -7461.8740234375; 1100.58203125; 1096.92; 3.66522; 0; 0; -0; -0; 0; 1160.98; 866.966; -60.3986; -64.0638
248547.366; 17; 1280154.31445; -8561.79296875; 1099.9189453125; 1078.83; 21.0868; 0; 0; -0; -0; 0; 1160.4; 866.529; -60.4762; -81.563
248548.366; 17; 1279945.75195; -9661.1630859375; 1099.3701171875; 1096; 3.36678; 0; 0; -0; -0; 0; 1159.81; 866.092; -60.4395; -63.8063
248549.366; 17; 1279736.81543; -10759.908203125; 1098.7451171875; 1097.97; 0.776276; 0; 0; -0; -0; 0; 1159.22; 865.654; -60.4789; -61.2552
248550.366; 17; 1279527.2832; -11858.1552734375; 1098.2470703125; 1101.1; -2.85221; 0; 0; -0; -0; 0; 1158.64; 865.217; -60.3914; -57.5392
248551.366; 17; 1279319.36133; -12956.005859375; 1097.8505859375; 1092.64; 5.21376; 0; 0; -0; -0; 0; 1158.05; 864.78; -60.2023; -65.416
248552.366; 17; 1279113.5791; -14053.2685546875; 1097.2626953125; 1081.39; 15.8698; 0; 0; -0; -0; 0; 1157.47; 864.342; -60.2044; -76.0742
248553.366; 17; 1278900.40918; -15149.94921875; 1096.6806640625; 1120.22; -23.5348; 0; 0; -0; -0; 0; 1156.88; 863.905; -60.2008; -36.6659
248554.366; 17; 1278689.38574; -16245.9599609375; 1096.0107421875; 1108.94; -12.9249; 0; 0; -0; -0; 0; 1156.3; 863.468; -60.2849; -47.36
248555.366; 17; 1278480.125; -17341.375; 1095.4150390625; 1099.67; -4.25758; 0; 0; -0; -0; 0; 1155.71; 863.03; -60.2948; -56.0372
248556.366; 17; 1278271.03711; -18436.3125; 1094.9375; 1098.76; -3.82678; 0; 0; -0; -0; 0; 1155.12; 862.593; -60.1865; -56.3597
248557.366; 17; 1278062.59863; -19530.5419921875; 1094.2294921875; 1095.35; -1.1221; 0; 0; -0; -0; 0; 1154.54; 862.155; -60.3086; -59.1865
248558.366; 17; 1277853.66797; -20624.3017578125; 1093.759765625; 1097.94; -4.17828; 0; 0; -0; -0; 0; 1153.95; 861.718; -60.1924; -56.0141
248559.366; 17; 1277648.95215; -21717.4619140625; 1093.16015625; 1075.79; 17.3713; 0; 0; -0; -0; 0; 1153.37; 861.28; -60.206; -77.5773
248560.366; 17; 1277437.19043; -22810.04296875; 1092.5810546875; 1112.82; -20.2343; 0; 0; -0; -0; 0; 1152.78; 860.842; -60.1991; -39.9648
248561.366; 17; 1277229.98926; -23902.1572265625; 1092.1142578125; 1088.85; 3.26475; 0; 0; -0; -0; 0; 1152.19; 860.405; -60.0797; -63.3444
248562.366; 17; 1277020.89941; -24993.6259765625; 1091.46875; 1098.77; -7.3058; 0; 0; -0; -0; 0; 1151.61; 859.967; -60.1392; -52.8334
248563.366; 17; 1276815.02441; -26084.73828125; 1091.1123046875; 1081.88; 9.23188; 0; 0; -0; -0; 0; 1151.02; 859.529; -59.9093; -69.1412
248564.366; 17; 1276607.36816; -27175.107421875; 1090.369140625; 1091.24; -0.871818; 0; 0; -0; -0; 0; 1150.44; 859.091; -60.0663; -59.1945
248565.366; 17; 1276400.18457; -28264.5771484375; 1089.4697265625; 1088.76; 0.712593; 0; 0; -0; -0; 0; 1149.85; 858.654; -60.3795; -61.0921
248566.366; 17; 1276191.16406; -29353.361328125; 1088.7841796875; 1098.41; -9.626; 0; 0; -0; -0; 0; 1149.26; 858.216; -60.4787; -50.8527
248567.366; 17; 1275984.99805; -30441.47265625; 1088.111328125; 1083.41; 4.7016; 0; 0; -0; -0; 0; 1148.68; 857.778; -60.5652; -65.2669
248568.366; 17; 1275779.12109; -31528.9736328125; 1087.5009765625; 1081.89; 5.61029; 0; 0; -0; -0; 0; 1148.09; 857.34; -60.5892; -66.1995
248569.366; 17; 1275568.55957; -32616.0517578125; 1087.078125; 1106.51; -19.4301; 0; 0; -0; -0; 0; 1147.5; 856.902; -60.4256; -40.9954
248570.366; 17; 1275362.1084; -33702.478515625; 1086.4267578125; 1084.91; 1.51853; 0; 0; -0; -0; 0; 1146.92; 856.464; -60.4904; -62.009
248571.366; 17; 1275153.76367; -34788.40234375; 1085.923828125; 1094.86; -8.9351; 0; 0; -0; -0; 0; 1146.33; 856.026; -60.4068; -51.4717
248572.366; 17; 1274946.56152; -35873.6904296875; 1085.2880859375; 1088.85; -3.56655; 0; 0; -0; -0; 0; 1145.74; 855.588; -60.456; -56.8894
248573.366; 17; 1274739.30273; -36958.427734375; 1084.7373046875; 1089.15; -4.41498; 0; 0; -0; -0; 0; 1145.16; 855.15; -60.4202; -56.0052
248574.366; 17; 1274531.6084; -38042.513671875; 1084.0859375; 1091.44; -7.35516; 0; 0; -0; -0; 0; 1144.57; 854.712; -60.4849; -53.1297
248575.366; 17; 1274323.7334; -39126.2001953125; 1083.6865234375; 1092.39; -8.70397; 0; 0; -0; -0; 0; 1143.98; 854.274; -60.2975; -51.5936
248576.366; 17; 1274116.84668; -40209.453125; 1083.2529296875; 1087.2; -3.94412; 0; 0; -0; -0; 0; 1143.4; 853.836; -60.1443; -56.2002
248577.366; 17; 1273912.70312; -41292.1455078125; 1082.6923828125; 1072.78; 9.91076; 0; 0; -0; -0; 0; 1142.81; 853.397; -60.1181; -70.0288
248578.366; 17; 1273705.25781; -42374.1259765625; 1081.98046875; 1090.13; -8.15201; 0; 0; -0; -0; 0; 1142.22; 852.959; -60.2431; -52.0911
248579.366; 17; 1273500.87207; -43455.4921875; 1081.3662109375; 1074.05; 7.31189; 0; 0; -0; -0; 0; 1141.64; 852.521; -60.2705; -67.5824
248580.366; 17; 1273297.95508; -44536.2392578125; 1080.7470703125; 1066.34; 14.4111; 0; 0; -0; -0; 0; 1141.05; 852.083; -60.3028; -74.7138
248581.366; 17; 1273092.04883; -45616.4453125; 1080.2060546875; 1082.04; -1.83859; 0; 0; -0; -0; 0; 1140.46; 851.644; -60.2568; -58.4182
248582.366; 17; 1272886.00195; -46695.90625; 1079.4609375; 1082.78; -3.3227; 0; 0; -0; -0; 0; 1139.88; 851.206; -60.4148; -57.0921
248583.366; 17; 1272680.19141; -47774.751953125; 1078.845703125; 1081.54; -2.69602; 0; 0; -0; -0; 0; 1139.29; 850.768; -60.443; -57.747
248584.366; 17; 1272476.48926; -48852.935546875; 1078.18359375; 1070.46; 7.72158; 0; 0; -0; -0; 0; 1138.7; 850.329; -60.518; -68.2396
248585.366; 17; 1272272.06152; -49930.61328125; 1077.677734375; 1074.27; 3.40274; 0; 0; -0; -0; 0; 1138.11; 849.891; -60.4367; -63.8394
248586.366; 17; 1272067.18945; -51007.6689453125; 1077.0556640625; 1076.61; 0.445668; 0; 0; -0; -0; 0; 1137.53; 849.452; -60.4715; -60.9172
248587.366; 17; 1271862.87988; -52084.2333984375; 1076.564453125; 1073.65; 2.91041; 0; 0; -0; -0; 0; 1136.94; 849.014; -60.3755; -63.2859
248588.366; 17; 1271657.91895; -53160.3291015625; 1076.095703125; 1077.08; -0.981293; 0; 0; -0; -0; 0; 1136.35; 848.575; -60.2569; -59.2756
248589.366; 17; 1271452.43262; -54235.8251953125; 1075.49609375; 1079.84; -4.34185; 0; 0; -0; -0; 0; 1135.77; 848.136; -60.2692; -55.9274
248590.366; 17; 1271247.75; -55310.5576171875; 1074.732421875; 1075.61; -0.881991; 0; 0; -0; -0; 0; 1135.18; 847.698; -60.4456; -59.5636
248591.366; 17; 1271043.37305; -56384.69921875; 1074.1416015625; 1074.01; 0.133464; 0; 0; -0; -0; 0; 1134.59; 847.259; -60.4489; -60.5823
248592.366; 17; 1270842.09766; -57458.4306640625; 1073.7314453125; 1057.71; 16.0221; 0; 0; -0; -0; 0; 1134; 846.82; -60.2716; -76.2937
248593.366; 17; 1270636.82129; -58531.716796875; 1073.2861328125; 1078.73; -5.44846; 0; 0; -0; -0; 0; 1133.42; 846.382; -60.1293; -54.6809
248594.366; 17; 1270433.70312; -59604.4072265625; 1072.6904296875; 1067.39; 5.29727; 0; 0; -0; -0; 0; 1132.83; 845.943; -60.1374; -65.4347
248595.366; 17; 1270229.65039; -60676.421875; 1072.0146484375; 1072.3; -0.289708; 0; 0; -0; -0; 0; 1132.24; 845.504; -60.2257; -59.936
248596.366; 17; 1270024.42871; -61747.8544921875; 1071.4326171875; 1078.45; -7.01459; 0; 0; -0; -0; 0; 1131.65; 845.065; -60.2201; -53.2055
248597.366; 17; 1269823.33105; -62818.763671875; 1070.9091796875; 1056.78; 14.1339; 0; 0; -0; -0; 0; 1131.06; 844.626; -60.1558; -74.2896
248598.366; 17; 1269617.64355; -63889.1533203125; 1070.3896484375; 1080.9; -10.5055; 0; 0; -0; -0; 0; 1130.48; 844.188; -60.0876; -49.5821
248599.366; 17; 1269414.32617; -64958.9833984375; 1069.830078125; 1068.44; 1.39002; 0; 0; -0; -0; 0; 1129.89; 843.749; -60.0594; -61.4494
248600.366; 17; 1269211.57617; -66028.3125; 1069.3291015625; 1065.46; 3.87066; 0; 0; -0; -0; 0; 1129.3; 843.31; -59.9725; -63.8432
248601.366; 17; 1269004.93652; -67096.8916015625; 1068.5791015625; 1085.9; -17.3196; 0; 0; -0; -0; 0; 1128.71; 842.871; -60.1347; -42.8151
248602.366; 17; 1268799.96582; -68165.11328125; 1068.2216796875; 1077.13; -8.90664; 0; 0; -0; -0; 0; 1128.13; 842.432; -59.9041; -50.9975
248603.366; 17; 1268597.69043; -69232.72265625; 1067.609375; 1062.96; 4.64502; 0; 0; -0; -0; 0; 1127.54; 841.993; -59.9285; -64.5735
248604.366; 17; 1268393.81836; -70299.7529296875; 1067.0302734375; 1071.35; -4.32469; 0; 0; -0; -0; 0; 1126.95; 841.553; -59.9196; -55.5949
248605.366; 17; 1268191.93945; -71366.3125; 1066.5595703125; 1060.88; 5.67876; 0; 0; -0; -0; 0; 1126.36; 841.114; -59.8022; -65.481
248606.366; 17; 1267991.68164; -72432.302734375; 1065.990234375; 1052.36; 13.6283; 0; 0; -0; -0; 0; 1125.77; 840.675; -59.7835; -73.4118
248607.366; 17; 1267787.49609; -73497.6787109375; 1065.3759765625; 1073; -7.62631; 0; 0; -0; -0; 0; 1125.19; 840.236; -59.8096; -52.1833
248608.366; 17; 1267586.00391; -74562.513671875; 1064.8349609375; 1058.85; 5.98637; 0; 0; -0; -0; 0; 1124.6; 839.797; -59.7624; -65.7488
248609.366; 17; 1267386.34863; -75626.337890625; 1063.82421875; 1049.2; 14.6287; 0; 0; -0; -0; 0; 1124.01; 839.357; -60.1849; -74.8136
248610.366; 17; 1267183.57812; -76689.1640625; 1062.826171875; 1065.57; -2.74004; 0; 0; -0; -0; 0; 1123.42; 838.918; -60.5947; -57.8547
248611.366; 17; 1266981.08398; -77751.30078125; 1062.13671875; 1064.11; -1.97717; 0; 0; -0; -0; 0; 1122.83; 838.479; -60.6958; -58.7186
248612.366; 17; 1266778.75; -78812.833984375; 1061.533203125; 1063.27; -1.73906; 0; 0; -0; -0; 0; 1122.24; 838.04; -60.711; -58.972
