time;bias-band1;bias-band2
248527.366;0;0
248528.366;-60.1385238336;0
248529.366;-60.0622830228;0
248530.366;-60.3190212331;0
248531.366;-60.1098743953;0
248532.366;-60.2553039644;0
248533.366;-60.1935565186;0
248534.366;-60.1396074092;0
248535.366;-60.2428691988;0
248536.366;-60.3442378648;0
248537.366;-60.4346894259;0
248538.366;-60.4568077787;0
248539.366;-60.5434128803;0
248540.366;-60.556648111;0
248541.366;-60.63438275;0
248542.366;-60.6368423843;0
248543.366;-60.5534454604;0
248544.366;-60.3917552078;0
248545.366;-60.4449162306;0
248546.366;-60.4278293543;0
248547.366;-60.5020064175;0
248548.366;-60.4686908359;0
248549.366;-60.5022273486;0
248550.366;-60.4210209164;0
248551.366;-60.2304006521;0
248552.366;-60.2374805103;0
248553.366;-60.2357802912;0
248554.366;-60.3184724156;0
248555.366;-60.326410827;0
248556.366;-60.2225266749;0
248557.366;-60.3426969705;0
248558.366;-60.2240725873;0
248559.366;-60.2353052033;0
248560.366;-60.2367042815;0
248561.366;-60.1194129227;0
248562.366;-60.1808977046;0
248563.366;-59.9448410821;0
248564.366;-60.1033613821;0
248565.366;-60.4054192838;0
248566.366;-60.5140039558;0
248567.366;-60.5952572964;0
248568.366;-60.6251930979;0
248569.366;-60.4656157522;0
248570.366;-60.5223353159;0
248571.366;-60.4550113544;0
248572.366;-60.4901572462;0
248573.366;-60.4579124633;0
248574.366;-60.5183733993;0
248575.366;-60.3420040424;0
248576.366;-60.1821743398;0
248577.366;-60.1629613348;0
248578.366;-60.2804190401;0
248579.366;-60.3060342912;0
248580.366;-60.3443696971;0
248581.366;-60.2991021101;0
248582.366;-60.4510362672;0
248583.366;-60.4887385372;0
248584.366;-60.5596221148;0
248585.366;-60.4722244837;0
248586.366;-60.5112994187;0
248587.366;-60.4199006869;0
248588.366;-60.2952781092;0
248589.366;-60.3078531983;0
248590.366;-60.4854700266;0
248591.366;-60.4871630847;0
248592.366;-60.3077336269;0
248593.366;-60.1722185315;0
248594.366;-60.1674469168;0
248595.366;-60.267741566;0
248596.366;-60.2571080845;0
248597.366;-60.1921949131;0
248598.366;-60.1341333904;0
248599.366;-60.1077529299;0
248600.366;-60.0129967328;0
248601.366;-60.1750484569;0
248602.366;-59.9527480215;0
248603.366;-59.9701790522;0
248604.366;-59.9636210148;0
248605.366;-59.8554933957;0
248606.366;-59.8313014555;0
248607.366;-59.8578517853;0
248608.366;-59.8013788491;0
248609.366;-60.2258075531;0
248610.366;-60.6429225468;0
248611.366;-60.7400783877;0
248612.366;-60.759897872;0
248613.366;-60.7743419925;0
248614.366;-60.853191432;0
248615.366;-60.8535030593;0
248616.366;-60.7392119784;0
248617.366;-60.5619954067;0
248618.366;-60.5429416239;0
248619.366;-60.400138381;0
248620.366;-60.5577495998;0
248621.366;-60.5052676291;0
248622.366;-60.4690363753;0
248623.366;-60.6247857842;0
248624.366;-60.5236456677;0
248625.366;-60.5741361273;0
248626.366;-60.6372738528;0
248627.366;-60.5431145968;0
248628.366;-60.3984339614;0
248629.366;-60.255666479;0
248630.366;-60.2430155249;0
248631.366;-60.3943807995;0
248632.366;-60.3685845537;0
248633.366;-60.2929340611;0
248634.366;-60.2618219002;0
248635.366;-60.184714418;0
248636.366;-60.1694499915;0
248637.366;-60.0541487124;0
248638.366;-60.1165421702;0
248639.366;-60.1905986582;0
248640.366;-60.1441296157;0
248641.366;-60.1975301615;0
248642.366;-60.246666536;0
248643.366;-60.123162247;0
248644.366;-60.2538825423;0
248645.366;-60.2165719797;0
248646.366;-60.3490816125;0
248647.366;-60.2644249604;0
248648.366;-60.3121867876;0
248649.366;-60.1365823216;0
248650.366;-60.1503935148;0
248651.366;-60.0973914736;0
248652.366;-60.0329325318;0
248653.366;-60.052718033;0
248654.366;-59.9054719974;0
248655.366;-59.8746770037;0
248656.366;-59.8842019372;0
248657.366;-60.2165956728;0
248658.366;-60.4792285145;0
248659.366;-60.368806386;0
248660.366;-60.3217383345;0
248661.366;-60.2537814044;0
248662.366;-60.2971545621;0
248663.366;-60.4025627412;0
248664.366;-60.5170582896;0
248665.366;-60.6002581813;0
248666.366;-60.6163129902;0
248667.366;-60.5551656507;0
248668.366;-60.4711577911;0
248669.366;-60.4544955889;0
248670.366;-60.6213561695;0
248671.366;-60.4506081836;0
248672.366;-60.3875179884;0
248673.366;-60.4715096899;0
248674.366;-60.4366263507;0
248675.366;-60.3362417739;0
248676.366;-60.4350164958;0
248677.366;-60.2580532562;0
248678.366;-60.3358816066;0
248679.366;-60.4110267035;0
248680.366;-60.4913403809;0
248681.366;-60.4175875783;0
248682.366;-60.2845841965;0
248683.366;-60.2546849325;0
248684.366;-60.5365803251;0
248685.366;-60.493217268;0
248686.366;-60.5402635308;0
248687.366;-60.5257567195;0
248688.366;-60.5443975297;0
248689.366;-60.6944617322;0
248690.366;-60.5749059461;0
248691.366;-60.5907895434;0
248692.366;-60.6853096365;0
248693.366;-60.5838604467;0
248694.366;-60.4647168409;0
248695.366;-60.5275338733;0
248696.366;-60.518312174;0
248697.366;-60.4104197122;0
248698.366;-60.2034966775;0
248699.366;-60.1954058006;0
248700.366;-60.1638220038;0
248701.366;-60.1822868231;0
248702.366;-60.2664531799;0
248703.366;-60.1686283976;0
248704.366;-59.9633014438;0
248705.366;-60.0746263886;0
248706.366;-60.4176645373;0
248707.366;-60.1518963581;0
248708.366;-59.9235441351;0
248709.366;-59.6749602957;0
248710.366;-60.2827022846;0
248711.366;-60.644339755;0
248712.366;-60.7126268715;0
248713.366;-60.8166168547;0
248714.366;-60.7930716537;0
248715.366;-60.7118622793;0
248716.366;-60.7079615192;0
248717.366;-60.8494891612;0
248718.366;-60.8562026301;0
248719.366;-60.6426362441;0
248720.366;-60.8335571375;0
248721.366;-60.7072756139;0
248722.366;-60.8389522607;0
248723.366;-60.761841295;0
248724.366;-60.8043378258;0
248725.366;-60.6826604679;0
248726.366;-60.4283437098;0
248727.366;-60.2843544902;0
248728.366;-60.3094484363;0
248729.366;-60.3821358943;0
248730.366;-60.4207717818;0
248731.366;-60.3045793543;0
248732.366;-60.3787440889;0
248733.366;-60.3449177021;0
248734.366;-60.3599153748;0
248735.366;-60.192922001;0
248736.366;-60.1159360414;0
248737.366;-60.0364743567;0
248738.366;-60.0432885989;0
248739.366;-60.079651735;0
248740.366;-60.1770937165;0
248741.366;-60.2502499694;0
248742.366;-60.2079746495;0
248743.366;-60.2142402498;0
248744.366;-60.4288930163;0
248745.366;-60.4085213198;0
248746.366;-60.4175970052;0
248747.366;-60.3658838163;0
248748.366;-60.3754516755;0
248749.366;-60.3931649218;-1351.27483517
248750.366;-60.3766588073;-1351.20168407
248751.366;-60.4171393565;-1350.90670491
248752.366;-60.3128619007;-1350.61172082
248753.366;-60.1319381532;-1350.316689
248754.366;-60.194787597;-1350.02170087
248755.366;-60.3450486237;-1349.72660735
248756.366;-60.3368707243;-1349.431578
248757.366;-60.2522792918;-1349.13644114
248758.366;-60.1945885594;-1348.8413325
248759.366;-60.3725774085;-1348.5461883
248760.366;-60.4366725029;-1348.25101669
248761.366;-60.2979993981;-1347.95587053
248762.366;-60.2719618368;-1347.6606754
248763.366;-60.2988102034;-1347.36542319
248764.366;-60.4861655048;-1347.07020058
248765.366;-60.4347786745;-1346.77494341
248766.366;-60.3009618126;-1346.47963283
248767.366;-60.1059162669;-1346.18435488
248768.366;-60.1456336673;-1345.88902976
248769.366;-60.1848997756;-1345.59365037
248770.366;-60.0864045148;-1345.29830822
248771.366;-60.1820703116;-1345.00295048
248772.366;-60.153016836;-1344.7075146
248773.366;-60.3214135523;-1344.41209636
248774.366;-60.5198187797;-1344.1166325
248775.366;-60.3195396698;-1343.82120472
248776.366;-60.2040188835;-1343.52568071
248777.366;-60.2566142241;-1343.2301541
248778.366;-60.2698137946;-1342.93462992
248779.366;-60.2655659075;-1342.63906462
248780.366;-60.3155302867;-1342.34355879
248781.366;-60.1891452473;-1342.04794037
248782.366;-60.1736035459;-1341.75232175
248783.366;-60.2931062399;-1341.45666548
248784.366;-60.5337027031;-1341.16100714
248785.366;-60.4857019647;432.700480807
248786.366;-60.29753585;432.960542833
248787.366;-60.2875834066;433.220341576
248788.366;-60.3877744754;433.480147548
248789.366;-60.3246915003;762.032297847
248790.366;-60.1705923761;39.7555530382
248791.366;-60.1683394777;40.0432458825
248792.366;-59.9909383053;40.3309943741
248793.366;-60.0636800229;763.17602428
248794.366;-60.1897594902;435.03860599
248795.366;-60.2256740707;435.298267151
248796.366;-60.3367505126;435.557939769
248797.366;-60.231015168;435.817557134
248798.366;-60.2196442313;-1046.39222297
248799.366;-60.2608162749;-1046.02146325
248800.366;-60.2298624992;-1045.65088316
248801.366;-60.1665135478;-1045.28030207
248802.366;-60.1537525781;-1044.90962232
248803.366;-60.2158292288;-1335.53967796
248804.366;-60.298718062;-1335.24362278
248805.366;-60.2879985699;-1334.94755745
248806.366;-60.3394200737;-1334.65143357
248807.366;-60.4315349229;-1225.13212574
248808.366;-60.3330178729;-1224.76461148
248809.366;-60.3576727778;-1224.39738268
248810.366;-60.3735448142;-1224.03013788
248811.366;-60.3384077863;-78.4837343961
248812.366;-60.3608917265;439.709189964
248813.366;-60.6056900483;439.968461028
248814.366;-60.6395285163;440.227706761
248815.366;-60.2522755107;440.486920935
248816.366;-60.3063939297;-1331.68924357
248817.366;-60.2244215698;-1331.39293507
248818.366;-60.3170871076;-1331.0965931
248819.366;-60.4095575965;-1330.80021536
248820.366;-60.2616102174;-1330.503819
248821.366;-60.1699268396;-1330.20740397
248822.366;-60.1270862969;-1329.91096823
248823.366;-60.177638611;-1329.61449163
248824.366;-60.2286235693;-1329.31801748
248825.366;-60.4049515467;-1329.02152127
248826.366;-60.5851764742;-1328.72503208
248827.366;-60.5846709519;-1328.42849096
248828.366;-60.3764639249;-1328.13191448
248829.366;-60.4758630097;-1217.0483179
248830.366;-60.4115084437;-1216.67600039
248831.366;-60.241494859;-1216.30789908
248832.366;-60.1858749105;-1215.93973353
248833.366;-60.2050655761;-71.3921455512
248834.366;-60.090033504;445.408125132
248835.366;-60.0957170014;445.666888905
248836.366;-60.0878245043;445.92569373
248837.366;-60.192103957;446.184415571
248838.366;-60.1288454459;-1325.16525823
248839.366;-60.2146590633;-1324.86845745
248840.366;-60.2934807227;-1324.57171418
248841.366;-60.3999022709;-1324.27482784
248842.366;-60.4303272979;-1323.97799181
248843.366;-60.3441825602;-1323.68119209
248844.366;-60.2969239609;-1323.38428666
248845.366;-60.3152091123;-1323.08736826
248846.366;-60.2138564778;-1322.79043753
248847.366;-60.3214695148;-1322.49347958
248848.366;-60.0913169982;-1322.19651498
248849.366;-59.9021807215;-1321.89954337
248850.366;-60.0287576799;-1209.19449625
248851.366;-60.0868093564;-1208.9379995
248852.366;-60.1856682296;-1208.56910879
248853.366;-60.1133106816;-1208.20017668
248854.366;-60.2122773611;-1207.83120801
248855.366;-60.2718522596;-64.3706305213
248856.366;-60.3488240154;-64.0577098501
