time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]
604615.931993; 12.7212; 8.71384; 4.59306; -3.72529e-09; -3.72529e-09
604616.931993; 5.3404; 3.56707; 4.59404; -5.97248; 0.580855
604617.931993; 3.55052; 2.18241; 4.59501; -3.92497; 0.368488
604618.931992; 3.10179; 2.02467; 4.59598; -1.95073; 0.542226
604619.931992; 2.1; 1.50618; 4.59696; -3.23941; 0.339907
604620.931992; 1.54714; 1.24283; 4.59794; -2.23099; 0.430354
604621.931992; 1.245; 1.21794; 4.59891; 1.16238; 0.126005
604622.931992; 1.21279; 1.13519; 4.59989; -3.25808; 0.816015
604623.931991; 0.822229; 0.817587; 4.60087; -2.19529; 0.335343
604624.931991; 0.777934; 0.717456; 4.60184; 1.037; 0.128713
604625.931991; 0.381294; 0.370963; 4.60282; -2.71096; 0.166844
604626.931991; 0.432632; 0.35273; 4.6038; -1.57057; 0.0758691
604627.93199; 0.391924; 0.155418; 4.25765; 3.248; 0.212962
604628.93199; 0.357421; 0.194898; 4.25886; -3.02717; 0.677215
604629.93199; 0.703367; 0.523713; 4.26007; -2.74676; 0.336447
604630.93199; 0.835779; 0.644649; 4.26128; -2.90246; 0.312337
604631.93199; 0.571089; 0.461632; 4.2625; 1.83594; 0.212325
604632.931989; 0.596309; 0.484515; 4.26371; -1.51726; 0.411679
604633.931989; 0.484277; 0.35066; 4.2143; 1.93934; -0.92967
604634.931989; 0.615878; 0.503456; 4.21566; 3.20348; 0.503208
604635.931989; 0.682729; 0.624239; 4.21701; -3.45654; 0.273482
604636.931988; 0.467736; 0.421705; 4.21837; 3.06767; -0.519578
604637.931988; 0.448703; 0.351698; 4.21973; 4.84119; -0.382398
604638.931988; 0.433832; 0.366103; 4.22109; -3.42751; 0.423908
604639.931988; 0.581508; 0.496636; 4.22245; -2.34245; -0.191875
604640.931987; 0.689215; 0.557413; 4.22381; -2.67209; 0.301219
604641.931987; 0.667581; 0.519378; 4.22518; 0.997465; -0.19173
604642.931987; 0.742468; 0.605438; 4.22654; -3.34053; 0.260803
604643.931987; 0.881232; 0.705056; 4.2279; -1.96044; 0.346556
604644.931987; 0.560528; 0.489675; 4.22927; -2.5884; 0.123193
604645.931986; 0.545162; 0.454884; 4.23063; 1.4815; 0.0951562
604646.931986; 0.429911; 0.402553; 4.23199; -1.51784; 0.394379
604647.931986; 0.361613; 0.346536; 4.23336; -2.5816; -0.152348
604648.931986; 0.37018; 0.349642; 4.23472; 1.38588; -0.211416
604649.931985; 0.398768; 0.35165; 4.23609; -1.17524; 0.155675
604650.931985; 0.688832; 0.545548; 4.23745; 4.21248; -0.524318
604651.931985; 0.703643; 0.595724; 4.23882; -3.47999; 0.642453
604652.931985; 0.579252; 0.531501; 4.24019; -2.0498; 0.0911439
604653.931985; 0.542058; 0.505943; 4.24155; -1.22586; 0.113287
604654.931984; 0.569059; 0.520204; 4.24292; 3.58972; -0.3617
604655.931984; 0.472518; 0.464375; 4.24429; -1.68976; 0.226159
604656.931984; 0.562067; 0.560026; 4.24566; -4.88477; 0.639249
604657.931984; 0.528622; 0.528621; 4.24703; 0.772259; -0.117324
604658.931983; 0.385144; 0.384939; 4.2484; 5.28132; -0.490675
604659.931983; 0.179214; 0.17913; 4.24977; 7.93507; -1.08993
604660.931983; 0.369466; 0.32872; 4.25114; 3.76895; -0.441103
604661.931983; 0.371363; 0.293615; 4.25251; 2.78702; -0.951307
604662.931982; 0.281452; 0.245464; 4.25389; -2.88134; 0.298804
604663.931982; 0.1878; 0.13259; 4.25526; 5.00671; -0.482498
604664.931982; 0.181348; 0.116611; 4.25663; 2.44564; 0.198256
604665.931982; 0.128925; 0.0722851; 4.25801; 2.13843; 0.107425
604666.931982; 0.108821; 0.082472; 4.25938; -2.31601; 0.4171
604667.931981; 0.0739962; 0.0651703; 4.26076; -1.14956; 0.334806
604668.931981; 0.107488; 0.103254; 4.26213; 5.96329; -0.474228
604669.931981; 0.121173; 0.11844; 4.26351; -1.35466; 0.0293034
604670.931981; 0.131153; 0.113232; 4.26488; -3.33854; 0.118237
604671.93198; 0.212549; 0.116653; 4.26626; 3.43148; -0.400305
604672.93198; 0.313885; 0.162857; 4.26764; 3.94181; 0.0803883
604673.93198; 0.199251; 0.0760046; 4.26902; 2.51232; -0.323068
604674.93198; 0.245594; 0.108872; 4.2704; 4.21734; -0.239672
604675.93198; 0.305926; 0.142336; 4.27177; -2.07263; 0.1023
604676.931979; 0.378784; 0.188241; 4.27315; -1.44015; 0.148762
604677.931979; 0.3124; 0.145069; 4.27454; -1.61212; 0.0996745
604678.931979; 0.346482; 0.149696; 4.27591; 1.82865; -0.239881
