tow; prn12; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg) 
604633.931989091; 6; 896657.802734; 113835.9482421875; -113835.974110583; -4.71197e+06; 4.59813e+06; 0; 0; -0; -0; 0; 855.725; 639.015; -114692; -4.71283e+06
604634.931988864; 6; 896495.302734; 112980.5556640625; 855.39277250677; 853.943; 1.44931; 0; 0; -0; -0; 0; 855.063; 638.521; 0.329933; -1.11938
604635.931988636; 6; 896332.026367; 112125.810546875; 854.745311422139; 858.023; -3.27798; 0; 0; -0; -0; 0; 854.401; 638.027; 0.344365; 3.62235
604636.931988409; 6; 896166.681641; 111271.736328125; 854.074412832183; 868.893; -14.8182; 0; 0; -0; -0; 0; 853.739; 637.532; 0.335453; 15.1536
604637.931988182; 6; 896003.112305; 110418.3232421875; 853.413279869445; 859.563; -6.14958; 0; 0; -0; -0; 0; 853.077; 637.038; 0.336268; 6.48585
604638.931987955; 6; 895842.59082; 109565.5712890625; 852.752146906707; 843.546; 9.20586; 0; 0; -0; -0; 0; 852.415; 636.544; 0.337167; -8.86869
604639.931987727; 6; 895681.452148; 108713.4814453125; 852.09003757964; 846.79; 5.30041; 0; 0; -0; -0; 0; 851.753; 636.049; 0.337133; -4.96328
604640.9319875; 6; 895518.557617; 107862.0517578125; 851.429880981232; 856.017; -4.58685; 0; 0; -0; -0; 0; 851.091; 635.555; 0.339112; 4.92597
604641.931987273; 6; 895357.00293; 107011.287109375; 850.764841767607; 848.976; 1.78904; 0; 0; -0; -0; 0; 850.429; 635.06; 0.336211; -1.45282
604642.931987045; 6; 895193.926758; 106161.1826171875; 850.104685367591; 856.971; -6.86658; 0; 0; -0; -0; 0; 849.766; 634.566; 0.338236; 7.20481
604643.931986818; 6; 895032.927734; 105311.7412109375; 849.44159927941; 846.056; 3.38583; 0; 0; -0; -0; 0; 849.104; 634.071; 0.337406; -3.04842
