time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]; bias1[Hz]; bias2[Hz]
518473.654; 8.22712; 7.27103; 5.97165; 3.72529e-09; 4.19095e-09; 0; 0
518474.654; 6.76072; 6.14971; 5.97322; 0.528324; 0.0285296; 0; 0
518475.654; 6.59907; 6.03779; 5.97479; 0.154422; -0.0693776; 0; 0
518476.654; 6.12035; 5.60052; 5.97636; -0.643666; 0.162819; 0; 0
518477.654; 5.48956; 5.15327; 5.97793; -1.06709; 0.216569; 0; 0
518478.654; 5.18026; 4.89523; 5.9795; -0.535839; 0.129127; 0; 0
518479.654; 3.95663; 2.45061; 2.75551; -3.73101; 0.0661788; 0; 0
518480.654; 4.20657; 2.13232; 2.7558; -1.6537; 0.119789; 0; 0
518481.654; 3.65084; 1.90869; 2.75609; -1.13091; -0.132426; 0; 0
518482.654; 2.98652; 1.71911; 2.75639; -1.69739; -0.237254; 0; 0
518483.654; 2.62872; 1.54156; 2.75668; 1.65971; -0.129603; 0; 0
518484.654; 2.68657; 1.54275; 2.75697; -0.876505; 0.323449; 0; 0
518485.654; 2.55388; 1.56524; 2.75726; -1.37244; 0.11847; 0; 0
518486.654; 2.3703; 1.32419; 2.75755; -2.40271; -0.0951235; 0; 0
518487.654; 2.4413; 1.32719; 2.75785; -1.13628; 0.262913; 0; 0
518488.654; 2.24221; 1.25524; 2.75814; 1.52629; -0.154183; 0; 0
518489.654; 2.18213; 1.19158; 2.75843; -1.48579; 0.209209; 0; 0
518490.654; 2.15989; 1.21308; 2.75872; -1.54798; 0.0679361; 0; 0
518491.654; 2.02684; 1.10727; 2.75901; 1.29757; -0.110164; 0; 0
518492.654; 1.84667; 1.00207; 2.7593; 1.86276; -0.0931691; 0; 0
518493.654; 1.78297; 0.976328; 2.7596; -0.970193; -0.0578396; 0; 0
518494.654; 1.69573; 0.857412; 2.75989; 2.04416; -0.0301515; 0; 0
518495.654; 1.60186; 0.821051; 2.76018; 1.98496; -0.13857; 0; 0
518496.654; 1.46384; 0.776092; 2.76047; 1.804; -0.22365; 0; 0
518497.654; 1.51987; 0.736846; 2.76076; -2.29936; 0.0484463; 0; 0
518498.654; 1.38176; 0.705827; 2.76105; 1.06568; -0.242868; 0; 0
518499.654; 1.42907; 0.714285; 2.76135; 1.12791; 0.0526512; 0; 0
518500.654; 1.46321; 0.707403; 2.76164; 1.04226; 0.0820087; 0; 0
518501.654; 1.49083; 0.729722; 2.76193; 1.02031; -0.037186; 0; 0
518502.654; 1.47376; 0.697938; 2.76222; -0.932282; 0.0959644; 0; 0
518503.654; 1.49129; 0.723505; 2.76251; 1.0228; -0.169235; 0; 0
