tow; prn12; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
518473.654; 24; 1254724.29395; 110680.6796875; -110680.6796875; -6.59362e+06; 6.48294e+06; 0; 0; -0; -0; 0; -2559.06; -1910.99; -108122; -6.59106e+06; -3.72529e-09; -4.65661e-10
518474.654; 24; 1255237.22949; 113379.8046875; -2699.125; -2695.49; -3.63051; 0; 0; -0; -0; 0; -2559.51; -1911.32; -139.617; -135.986; -0.339828; 0.0285296
518475.654; 24; 1255751.25781; 116078.8544921875; -2699.0498046875; -2701.24; 2.18725; 0; 0; -0; -0; 0; -2559.96; -1911.66; -139.093; -141.28; -0.0364652; -0.066905
518476.654; 24; 1256263.91992; 118778.6884765625; -2699.833984375; -2694.06; -5.77642; 0; 0; -0; -0; 0; -2560.41; -1911.99; -139.428; -133.652; -0.643666; 0.162407
518477.654; 24; 1256776.99023; 121479.052734375; -2700.3642578125; -2696.2; -4.16157; 0; 0; -0; -0; 0; -2560.85; -1912.33; -139.51; -135.349; -1.06709; 0.21648
518478.654; 24; 1257291.42578; 124179.8662109375; -2700.8134765625; -2703.38; 2.56357; 0; 0; -0; -0; 0; -2561.3; -1912.66; -139.511; -142.075; -0.535839; 0.129127
518479.654; 24; 1257806.58496; 126881.65625; -2701.7900390625; -2707.18; 5.38972; 0; 0; -0; -0; 0; -2561.75; -1913; -140.039; -145.429; 1.14879; 0.0661788
518480.654; 24; 1258320.61523; 129584.6201171875; -2702.9638671875; -2701.25; -1.71655; 0; 0; -0; -0; 0; -2562.2; -1913.33; -140.765; -139.048; 0.986751; 0.119789
518481.654; 24; 1258835.03418; 132287.8935546875; -2703.2734375; -2703.29; 0.0163658; 0; 0; -0; -0; 0; -2562.65; -1913.67; -140.626; -140.642; 0.868852; -0.0790946
518482.654; 24; 1259348.99805; 134990.98828125; -2703.0947265625; -2700.9; -2.19637; 0; 0; -0; -0; 0; -2563.1; -1914; -139.999; -137.803; 0.349412; -0.218043
518483.654; 24; 1259863.47949; 137694.48046875; -2703.4921875; -2703.62; 0.126056; 0; 0; -0; -0; 0; -2563.54; -1914.33; -139.948; -140.074; 0.552816; -0.112994
518484.654; 24; 1260376.8916; 140398.9228515625; -2704.4423828125; -2698; -6.44354; 0; 0; -0; -0; 0; -2563.99; -1914.67; -140.45; -134.007; -0.168615; 0.323449
518485.654; 24; 1260892.63379; 143104.4306640625; -2705.5078125; -2710.24; 4.73568; 0; 0; -0; -0; 0; -2564.44; -1915; -141.068; -145.803; 0.544346; 0.11847
518486.654; 24; 1261408.00098; 145809.7529296875; -2705.322265625; -2708.27; 2.95058; 0; 0; -0; -0; 0; -2564.89; -1915.34; -140.434; -143.385; 1.01065; -0.051246
518487.654; 24; 1261921.83105; 148515.974609375; -2706.2216796875; -2700.2; -6.02639; 0; 0; -0; -0; 0; -2565.34; -1915.67; -140.886; -134.859; 0.20449; 0.262913
518488.654; 24; 1262438.125; 151223.111328125; -2707.13671875; -2713.14; 6.00628; 0; 0; -0; -0; 0; -2565.78; -1916.01; -141.353; -147.359; 0.989438; -0.111685
518489.654; 24; 1262952.93652; 153932.056640625; -2708.9453125; -2705.35; -3.5925; 0; 0; -0; -0; 0; -2566.23; -1916.34; -142.714; -139.121; 0.670825; 0.209209
518490.654; 24; 1263467.8418; 156640.8740234375; -2708.8173828125; -2705.85; -2.97191; 0; 0; -0; -0; 0; -2566.68; -1916.68; -142.138; -139.166; -0.0376533; 0.0679361
