time;bias-band1;bias-band2
518419.654;0;0
518420.654;-136.910240986;0
518421.654;-136.944139142;0
518422.654;-136.634251363;0
518423.654;-136.698400553;0
518424.654;-136.686433722;0
518425.654;-136.766213755;0
518426.654;-136.491092689;0
518427.654;-136.879721628;0
518428.654;-137.369813578;0
518429.654;-136.129769996;0
518430.654;-136.246431977;0
518431.654;-136.92427662;0
518432.654;-136.903217905;0
518433.654;-136.904222924;0
518434.654;-137.410758222;0
518435.654;-136.15578874;0
518436.654;-135.899845412;0
518437.654;-136.88056577;0
518438.654;-137.219900074;0
518439.654;-137.262995531;0
518440.654;-137.627990608;0
518441.654;-138.316841031;0
518442.654;-138.739125009;0
518443.654;-138.167122002;0
518444.654;-138.362710471;0
518445.654;-137.863920646;0
518446.654;-137.809158625;0
518447.654;-137.873459351;0
518448.654;-137.458530536;0
518449.654;-138.612610144;0
518450.654;-140.313492995;0
518451.654;-139.876679594;0
518452.654;-139.946298647;0
518453.654;-139.353482242;0
518454.654;-139.310393416;0
518455.654;-140.311881777;0
518456.654;-139.866112587;0
518457.654;-139.797210232;0
518458.654;-139.581137867;0
518459.654;-139.281728957;0
518460.654;-139.06097915;0
518461.654;-139.216285083;0
518462.654;-139.00463671;0
518463.654;-139.388275127;0
518464.654;-139.483814669;0
518465.654;-141.426703302;0
518466.654;-140.865949743;0
518467.654;-140.657716686;0
518468.654;-142.191626037;0
518469.654;-140.96764438;0
518470.654;-140.257340487;0
518471.654;-139.922277945;0
518472.654;-139.508130485;0
518473.654;-139.678858045;0
518474.654;-139.630691173;0
518475.654;-139.105059421;0
518476.654;-139.448500558;0
518477.654;-139.525901824;0
518478.654;-139.517513149;0
518479.654;-140.052087444;0
518480.654;-140.759887414;0
518481.654;-140.624423841;0
518482.654;-140.003730864;0
518483.654;-139.941793945;0
518484.654;-140.445096103;0
518485.654;-141.069525345;0
518486.654;-140.426028948;0
518487.654;-140.886423256;0
518488.654;-141.353993156;0
518489.654;-142.710750754;0
518490.654;-142.132762021;0
518491.654;-142.152743369;0
518492.654;-142.239494091;0
518493.654;-141.575651609;0
518494.654;-140.993439655;0
518495.654;-140.573711372;0
518496.654;-140.219011457;0
518497.654;-139.359070568;0
518498.654;-139.285054665;0
518499.654;-140.065464394;0
518500.654;-139.394043553;0
518501.654;-139.59755199;0
518502.654;-139.132817414;0
518503.654;-138.85777346;0
518504.654;-139.031082682;0
518505.654;-139.823432604;0
518506.654;-139.99228817;0
518507.654;-139.051198733;0
518508.654;-140.364778894;0
518509.654;-140.82265947;0
518510.654;-139.754690629;0
518511.654;-140.819503939;0
518512.654;-141.317920404;0
518513.654;-141.843961218;0
518514.654;-141.262691309;0
518515.654;-141.208441842;0
518516.654;-140.29190096;0
518517.654;-141.198286878;0
518518.654;-141.807934952;0
518519.654;-141.851157107;0
518520.654;-142.189552386;0
518521.654;-142.16760882;0
518522.654;-142.053710002;0
518523.654;-141.935418135;0
518524.654;-141.670248367;0
518525.654;-141.486428452;0
518526.654;-141.707408002;0
518527.654;-142.075438689;0
518528.654;-141.811554957;0
518529.654;-142.510063533;0
518530.654;-141.436604775;0
518531.654;-141.188788144;0
518532.654;-141.009473797;0
518533.654;-141.658428733;0
518534.654;-141.397192218;0
518535.654;-141.345226728;0
518536.654;-141.082232876;0
518537.654;-141.146059219;0
518538.654;-141.460255151;0
518539.654;-142.113187431;0
518540.654;-141.140016219;0
518541.654;-140.980789421;0
518542.654;-140.77521382;0
518543.654;-140.874648962;0
518544.654;-140.907702546;0
518545.654;-140.813147868;0
518546.654;-140.51916565;0
518547.654;-140.763845031;0
518548.654;-141.506593978;0
518549.654;-141.494674345;0
518550.654;-141.513767533;0
518551.654;-141.234375539;0
518552.654;-141.473816244;0
518553.654;-141.058578559;0
518554.654;-141.798936987;0
518555.654;-142.018202405;0
518556.654;-142.006871301;0
518557.654;-142.015825323;0
518558.654;65.7338301474;0
518559.654;66.3687477699;0
518560.654;65.685134617;0
518561.654;66.2396588242;0
518562.654;65.7283237651;0
518563.654;65.5420347392;0
