time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]; bias1[Hz]; bias2[Hz]
150325.679; 7.71718; 7.41212; 4.0645; 7.00607; 0.0209817; 0; 0
150326.679; 4.36283; 4.35038; 4.06415; -4.80694; -0.442025; 0; 0
150327.679; 3.3764; 3.30604; 4.0638; -5.2825; -0.242718; 0; 0
150328.679; 4.13985; 3.07908; 4.06345; 7.42691; -0.478242; 0; 0
150329.679; 3.65453; 3.36972; 4.0631; -3.70744; 0.456068; 0; 0
150330.679; 3.86089; 3.44387; 4.06275; -3.00446; 0.345669; 0; 0
150331.679; 3.91213; 3.60703; 4.0624; 3.17492; 0.662768; 0; 0
150332.679; 4.12716; 3.93713; 4.06205; 3.50134; 0.378858; 0; 0
150333.679; 3.76259; 3.73904; 4.06169; -4.51281; -0.128985; 0; 0
150334.679; 3.81535; 3.78781; 4.06133; 6.41641; 0.233815; 0; 0
150335.679; 4.13045; 3.99407; 4.06098; -6.85677; 0.83479; 0; 0
150336.679; 4.38552; 4.10109; 4.06062; 6.43701; -0.0895108; 0; 0
150337.679; 4.48342; 4.18409; 4.06026; 9.88203; -0.0496054; 0; 0
150338.679; 4.38169; 4.23277; 4.0599; 6.94686; -0.148061; 0; 0
150339.679; 4.32004; 4.13732; 4.05954; 6.054; -0.487021; 0; 0
150340.679; 4.50218; 4.22356; 4.05918; 8.75998; -0.0621402; 0; 0
150341.679; 4.79314; 4.28223; 4.05882; 8.50762; -0.0626816; 0; 0
150342.679; 5.2515; 4.38731; 4.05846; 7.39058; -0.41318; 0; 0
150343.679; 6.7519; 4.82461; 3.31921; 8.5145; -1.03449; 0; 0
150344.679; 7.63836; 4.98172; 3.31893; 4.46903; -1.37363; 0; 0
150345.679; 8.39998; 5.18069; 3.31864; 5.47445; -1.58547; 0; 0
150346.679; 9.0406; 5.21677; 3.31836; -5.62124; -0.961467; 0; 0
150347.679; 9.22041; 5.2884; 3.31808; 6.06868; -1.00774; 0; 0
150348.679; 9.48778; 5.2885; 3.31779; -3.88168; -0.461157; 0; 0
150349.679; 9.86627; 5.4127; 3.31751; 3.92705; -0.512003; 0; 0
150350.679; 9.93887; 5.39721; 3.31722; 4.90931; 0.454184; 0; 0
150351.679; 10.047; 5.35285; 3.31694; 5.20147; -0.393328; 0; 0
150352.679; 9.65006; 5.24978; 3.31665; 5.65193; 0.3518; 0; 0
150353.679; 9.38755; 5.18115; 3.31636; 7.40547; -0.643; 0; 0
150354.679; 9.12694; 5.11204; 3.31607; 6.98392; -0.65226; 0; 0
150355.679; 8.87941; 5.13676; 3.31579; 10.4953; -0.606515; 0; 0
150356.679; 8.50249; 5.11286; 3.3155; 8.17637; -0.36437; 0; 0
150357.679; 8.38637; 5.11019; 3.31521; 8.49175; -1.093; 0; 0
150358.679; 8.05621; 5.11062; 3.31492; 7.35387; -0.634137; 0; 0
150359.679; 7.91969; 5.11419; 3.31463; 6.35561; -0.614158; 0; 0
150360.679; 7.70822; 5.06912; 3.31434; 4.96786; -0.885093; 0; 0
150361.679; 7.54422; 4.99331; 3.31405; 4.79278; -0.500566; 0; 0
150362.679; 7.35353; 4.90555; 3.31376; 7.01853; -0.586144; 0; 0
150363.679; 7.34761; 4.8546; 3.31347; 5.41655; -1.06208; 0; 0
150364.679; 7.2891; 4.74222; 3.31318; 5.46191; -0.505251; 0; 0
150365.679; 7.30186; 4.65643; 3.31289; -3.04735; 0.268366; 0; 0
150366.679; 7.27358; 4.61649; 3.3126; 4.46594; -0.501042; 0; 0
150367.679; 7.25055; 4.55008; 3.3123; 2.9432; -0.437437; 0; 0
