tow; prn8; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg) 
150151.679; 19; 2288566.64941; -136062.3486328125; 136062.348632812; -1.20265e+07; 1.21626e+07; 0; 0; -0; -0; 0; -1517.98; -1133.56; 137580; -1.2025e+07
150152.679; 19; 2288871.28711; -134464.861328125; -1597.4873046875; -1600.88; 3.39459; 0; 0; -0; -0; 0; -1518.62; -1134.03; -78.8716; -82.2661
150153.679; 19; 2289176.1748; -132867.0732421875; -1597.7880859375; -1602.2; 4.40757; 0; 0; -0; -0; 0; -1519.25; -1134.51; -78.5347; -82.9422
150154.679; 19; 2289477.7627; -131268.4365234375; -1598.63671875; -1584.86; -13.7817; 0; 0; -0; -0; 0; -1519.89; -1134.98; -78.7457; -64.964
150155.679; 19; 2289781.53516; -129669.296875; -1599.1396484375; -1596.34; -2.80459; 0; 0; -0; -0; 0; -1520.53; -1135.46; -78.6111; -75.8065
150156.679; 19; 2290085.80566; -128069.7685546875; -1599.5283203125; -1598.95; -0.57601; 0; 0; -0; -0; 0; -1521.17; -1135.94; -78.3623; -77.7862
150157.679; 19; 2290392.70508; -126469.6376953125; -1600.130859375; -1612.77; 12.6364; 0; 0; -0; -0; 0; -1521.8; -1136.41; -78.3275; -90.9639
150158.679; 19; 2290696.50586; -124869.0927734375; -1600.544921875; -1596.48; -4.06104; 0; 0; -0; -0; 0; -1522.44; -1136.89; -78.1043; -74.0432
150159.679; 19; 2291000.69531; -123267.5751953125; -1601.517578125; -1598.53; -2.99121; 0; 0; -0; -0; 0; -1523.08; -1137.36; -78.4397; -75.4485
150160.679; 19; 2291307.06641; -121665.4912109375; -1602.083984375; -1609.99; 7.90698; 0; 0; -0; -0; 0; -1523.71; -1137.84; -78.369; -86.276
150161.679; 19; 2291614.19531; -120063.0625; -1602.4287109375; -1613.97; 11.5446; 0; 0; -0; -0; 0; -1524.35; -1138.31; -78.0767; -89.6213
150162.679; 19; 2291917.6582; -118459.91015625; -1603.15234375; -1594.71; -8.44409; 0; 0; -0; -0; 0; -1524.99; -1138.79; -78.1633; -69.7192
150163.679; 19; 2292221.49219; -116856.1416015625; -1603.7685546875; -1596.66; -7.11019; 0; 0; -0; -0; 0; -1525.63; -1139.27; -78.1427; -71.0325
150164.679; 19; 2292528.76562; -115251.1962890625; -1604.9453125; -1614.73; 9.7875; 0; 0; -0; -0; 0; -1526.26; -1139.74; -78.6826; -88.4701
150165.679; 19; 2292831.80273; -113645.3115234375; -1605.884765625; -1592.47; -13.414; 0; 0; -0; -0; 0; -1526.9; -1140.22; -78.9853; -65.5713
