tow; prn16; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
150343.679; 4; 96095.4355469; -86954.5732421875; 86954.5732421875; -504985; 591939; 0; 0; -0; -0; 0; 1322.93; 987.905; 85631.6; -506308; 6.521; 0.00657039
150344.679; 4; 95857.6542969; -88197.7275390625; 1243.154296875; 1249.55; -6.39461; 0; 0; -0; -0; 0; 1322.42; 987.52; -79.2644; -72.8698; 4.46903; -0.213742
150345.679; 4; 95622.2128906; -89440.5673828125; 1242.83984375; 1237.25; 5.5869; 0; 0; -0; -0; 0; 1321.9; 987.136; -79.0641; -84.651; 4.86918; -0.349995
150346.679; 4; 95384.9599609; -90683.0390625; 1242.4716796875; 1246.77; -4.30088; 0; 0; -0; -0; 0; 1321.39; 986.752; -78.9174; -74.6165; 4.37894; 0.148933
150347.679; 4; 95147.2666016; -91924.6376953125; 1241.5986328125; 1249.09; -7.4884; 0; 0; -0; -0; 0; 1320.87; 986.367; -79.2756; -71.7872; 2.72737; 0.0331568
150348.679; 4; 94909.6259766; -93166.1767578125; 1241.5390625; 1248.81; -7.27085; 0; 0; -0; -0; 0; 1320.36; 985.983; -78.8203; -71.5494; 1.7798; 0.454666
150349.679; 4; 94674.9228516; -94407.052734375; 1240.8759765625; 1233.37; 7.50273; 0; 0; -0; -0; 0; 1319.84; 985.598; -78.9684; -86.4711; 2.96938; 0.311687
150350.679; 4; 94437.1904297; -95647.4375; 1240.384765625; 1249.29; -8.90754; 0; 0; -0; -0; 0; 1319.33; 985.214; -78.9448; -70.0372; 1.47709; 0.454184
150351.679; 4; 94202.1943359; -96886.8798828125; 1239.4423828125; 1234.91; 4.52958; 0; 0; -0; -0; 0; 1318.81; 984.829; -79.3723; -83.9019; 2.18341; 0.292173
150352.679; 4; 93962.6894531; -98125.5546875; 1238.6748046875; 1258.61; -19.9318; 0; 0; -0; -0; 0; 1318.3; 984.445; -79.6249; -59.693; -1.38591; 0.3518
150353.679; 4; 93727.9462891; -99363.9052734375; 1238.3505859375; 1233.58; 4.76693; 0; 0; -0; -0; 0; 1317.78; 984.06; -79.4341; -84.2011; -0.779276; -0.0140766
150354.679; 4; 93492.7490234; -100602.1953125; 1238.2900390625; 1235.97; 2.32007; 0; 0; -0; -0; 0; 1317.27; 983.675; -78.9797; -81.2998; -0.307444; -0.0352052
150355.679; 4; 93258.7226562; -101840.0888671875; 1237.8935546875; 1229.82; 8.07669; 0; 0; -0; -0; 0; 1316.75; 983.291; -78.8612; -86.9379; 1.30485; -0.00597381
150356.679; 4; 93022.1904297; -103077.548828125; 1237.4599609375; 1242.99; -5.52528; 0; 0; -0; -0; 0; 1316.24; 982.906; -78.7798; -73.2546; 0.580989; 0.215665
150357.679; 4; 92790.1240234; -104314.6005859375; 1237.0517578125; 1219.52; 17.5346; 0; 0; -0; -0; 0; 1315.72; 982.522; -78.673; -96.2076; 3.15901; -0.505011
150358.679; 4; 92552.0810547; -105551.06640625; 1236.4658203125; 1250.92; -14.4584; 0; 0; -0; -0; 0; 1315.21; 982.137; -78.7439; -64.2855; 0.935841; -0.0525329
150359.679; 4; 92318.5126953; -106786.8642578125; 1235.7978515625; 1227.41; 8.38784; 0; 0; -0; -0; 0; 1314.69; 981.753; -78.8969; -87.2847; 2.56061; -0.0455362
150360.679; 4; 92082.7402344; -108022.3232421875; 1235.458984375; 1238.99; -3.53366; 0; 0; -0; -0; 0; 1314.18; 981.368; -78.7206; -75.187; 1.63954; -0.316745
150361.679; 4; 91847.4052734; -109257.2177734375; 1234.89453125; 1236.69; -1.79904; 0; 0; -0; -0; 0; 1313.66; 980.983; -78.7701; -76.971; 1.71231; 0.0568413
