tow; prn9; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
150146.679; 3; -20347.1621094; 1132.736328125; -1132.736328125; -1115.44; -17.2935; 0; 0; -0; -0; 0; -1054.28; -787.289; -78.4543; -61.1608; -2.65876e+07; 0
150147.679; 3; -20133.1962891; 2265.5263671875; -1132.7900390625; -1124.4; -8.39206; 0; 0; -0; -0; 0; -1054.74; -787.629; -78.0518; -69.6597; -2.65874e+07; 0
150148.679; 3; -19917.515625; 3398.9208984375; -1133.39453125; -1133.41; 0.0150083; 0; 0; -0; -0; 0; -1055.19; -787.97; -78.2001; -78.2151; -2.65872e+07; 0
150149.679; 3; -19701.4257812; 4533.298828125; -1134.3779296875; -1135.56; 1.18186; 0; 0; -0; -0; 0; -1055.65; -788.311; -78.7272; -79.9091; -2.6587e+07; 0
150150.679; 3; -19483.5273438; 5668.43359375; -1135.134765625; -1145.06; 9.92925; 0; 0; -0; -0; 0; -1056.11; -788.651; -79.0279; -88.9572; -2.65868e+07; 0
150151.679; 3; -19271.2597656; 6804.1328125; -1135.69921875; -1115.47; -20.2256; 0; 0; -0; -0; 0; -1056.56; -788.992; -79.1362; -58.9106; -2.65866e+07; 0
150152.679; 3; -19053.4990234; 7940.08984375; -1135.95703125; -1144.34; 8.38339; 0; 0; -0; -0; 0; -1057.02; -789.332; -78.9379; -87.3213; -2.65864e+07; 0
150153.679; 3; -18840.6523438; 9076.1396484375; -1136.0498046875; -1118.52; -17.533; 0; 0; -0; -0; 0; -1057.48; -789.673; -78.5745; -61.0415; -2.65862e+07; 0
150154.679; 3; -18623.3945312; 10212.8837890625; -1136.744140625; -1141.7; 4.95337; 0; 0; -0; -0; 0; -1057.93; -790.014; -78.8127; -83.7661; -2.6586e+07; 0
150155.679; 3; -18406.0078125; 11349.9453125; -1137.0615234375; -1142.37; 5.31339; 0; 0; -0; -0; 0; -1058.39; -790.354; -78.6739; -83.9873; -2.65858e+07; 0
150156.679; 3; -18187.4394531; 12487.1875; -1137.2421875; -1148.58; 11.3423; 0; 0; -0; -0; 0; -1058.84; -790.695; -78.3985; -89.7408; -2.65856e+07; 0
150157.679; 3; -17973.4296875; 13624.876953125; -1137.689453125; -1124.63; -13.0605; 0; 0; -0; -0; 0; -1059.3; -791.036; -78.3897; -65.3292; -2.65854e+07; 0
150158.679; 3; -17756.4570312; 14762.798828125; -1137.921875; -1140.2; 2.27713; 0; 0; -0; -0; 0; -1059.76; -791.376; -78.166; -80.4432; -2.65852e+07; 0
150159.679; 3; -17537.4550781; 15901.4970703125; -1138.6982421875; -1150.86; 12.1648; 0; 0; -0; -0; 0; -1060.21; -791.717; -78.4864; -90.6512; -2.6585e+07; 0
