tm; rg; carr
11127.6353;12150.6353;13173.6353;14196.6353;15219.6353;16242.6353;17265.6353;18288.6353;19311.6353;20334.6353;21357.6353;22380.6353;23403.6353;24426.6353;25449.6353;26472.6353;27495.6353;28518.6353;29541.6353;30564.6353;31587.6353;32610.6353;33633.6353;34656.6353;35679.6353;36702.6353;37725.6353;38748.6353;39771.6353;40794.6353;41817.6353;42840.6353;43863.6353;44886.6353;45909.6353;46932.6353;47955.6353;48978.6353;50001.6353;51024.6353;52047.6353;53070.6353;54093.6353;55116.6353;56139.6353;57162.6353;58185.6353;59208.6353;60231.6353;61254.6353;62277.6353;63300.6353;64323.6353;65346.6353;66369.6353;67392.6353;68415.6353;69438.6353;70461.6353;71484.6353;72507.6353;73530.6353;74553.6353;75576.6353;76599.6353;77622.6353;78645.6353;79668.6353;80691.6353;81714.6353;82737.6353;83760.6353;84783.6353;85806.6353;86829.6353;87852.6353;88875.6353;89898.6353;90921.6353;91944.6353;92967.6353;93990.6353;95013.6353;96036.6353;97059.6353;98082.6353;99105.6353;100128.6353;101151.6353;102174.6353;103197.6353;104220.6353;105243.6353;106266.6353;107289.6353;108312.6353;109335.6353;110358.6353;111381.6353;112404.6353;113427.6353;114450.6353;115473.6353;116496.6353;117519.6353;118542.6353;119565.6353;120588.6353;121611.6353;122634.6353;123657.6353;124680.6353;125703.6353;126726.6353;127749.6353;128772.6353;129795.6353;130818.6353;131841.6353;132864.6353;133887.6353;134910.6353;135933.6353;136956.6353;137979.6353;139002.6353;140025.6353;141048.6353;142071.6353;143094.6353;144117.6353;145140.6353;146163.6353;147186.6353;148209.6353;149232.6353;150255.6353;151278.6353;152301.6353;153324.6353;154347.6353;155370.6353;156393.6353;157416.6353;158439.6353;159462.6353;160485.6353;161508.6353;162531.6353;163554.6353;164577.6353;165600.6353;166623.6353;167646.6353;168669.6353;169692.6353;170715.6353;171738.6353;172761.6353;173784.6353;174807.6353;175830.6353;176853.6353;177876.6353;178899.6353;179922.6353;180945.6353;181968.6353;182991.6353;184014.6353;185037.6353;186060.6353;187083.6353;188106.6353;189129.6353;190152.6353;191175.6353;192198.6353;193221.6353;194244.6353;195267.6353;196290.6353;197313.6353;198336.6353;199359.6353;200382.6353;201405.6353;202428.6353;203451.6353;204474.6353;205497.6353;206520.6353;207543.6353;208566.6353;209589.6353;210612.6353;211635.6353;212658.6353;213681.6353;214704.6353;215727.6353;216750.6353;217773.6353;218796.6353;219819.6353;220842.6353;221865.6353;222888.6353;223911.6353;224934.6353;225957.6353;226980.6353;228003.6353;229026.6353;230049.6353;231072.6353;232095.6353;233118.6353;234141.6353;235164.6353;236187.6353;237210.6353;238233.6353;239256.6353;240279.6353;241302.6353;242325.6353;243348.6353;244371.6353;245394.6353;246417.6353;0.598438; 706.767
247440.6353;0.598714; 2408.621
248463.6353;0.598990; 4110.598
249486.6353;0.599258; 5812.558
250509.6353;0.599522; 7514.127
251532.6353;0.599791; 9215.479
252555.6353;0.600062; 10915.981
253578.6353;0.600333; 12615.652
254601.6353;0.600600; 14315.250
255624.6353;0.600871; 16014.387
256647.6353;0.601142; 17713.054
257670.6353;0.601413; 19411.561
258693.6353;0.601678; 21109.641
259716.6353;0.601943; 22807.503
260739.6353;0.602216; 24505.134
261762.6353;0.602486; 26201.958
262785.6353;0.602758; 27898.812
263808.6353;0.603024; 29595.232
264831.6353;0.603289; 31291.311
265854.6353;0.603561; 32987.146
266877.6353;0.603829; 34682.471
267900.6353;0.604097; 36377.474
268923.6353;0.604368; 38073.038
269946.6353;0.604640; 39767.686
270969.6353;0.604905; 41461.611
271992.6353;0.605176; 43155.456
273015.6353;0.605442; 44848.136
274038.6353;0.605712; 46540.603
275061.6353;0.605982; 48232.929
276084.6353;0.606250; 49924.958
277107.6353;0.606522; 51616.955
278130.6353;0.606788; 53308.275
279153.6353;0.607058; 54999.803
280176.6353;0.607326; 56690.898
281199.6353;0.607598; 58381.178
282222.6353;0.607857; 60071.181
283245.6353;0.608130; 61761.290
284268.6353;0.608398; 63450.565
285291.6353;0.608665; 65139.444
286314.6353;0.608929; 66828.126
287337.6353;0.609199; 68516.059
288360.6353;0.609464; 70204.216
289383.6353;0.609740; 71892.261
290406.6353;0.610002; 73579.390
291429.6353;0.610269; 75266.462
292452.6353;0.610540; 76953.077
293475.6353;0.610809; 78639.284
294498.6353;0.611074; 80325.210
295521.6353;0.611346; 82011.204
296544.6353;0.611613; 83696.950
297567.6353;0.611881; 85381.786
298590.6353;0.612151; 87065.795
299613.6353;0.612415; 88749.521
300636.6353;0.612682; 90433.146
301659.6353;0.612950; 92116.078
302682.6353;0.613221; 93799.450
303705.6353;0.613481; 95481.619
304728.6353;0.613753; 97163.648
305751.6353;0.614020; 98846.227
306774.6353;0.614280; 100527.170
307797.6353;0.614549; 102208.476
308820.6353;0.614816; 103889.609
309843.6353;0.615081; 105570.075
310866.6353;0.615344; 107250.189
311889.6353;0.615613; 108930.340
312912.6353;0.615877; 110609.981
313935.6353;0.616146; 112289.067
314958.6353;0.616412; 113967.681
315981.6353;0.616680; 115645.799
317004.6353;0.616947; 117323.550
318027.6353;0.617214; 119000.885
319050.6353;0.617481; 120677.830
320073.6353;0.617747; 122354.942
321096.6353;0.618016; 124031.305
322119.6353;0.618278; 125707.065
323142.6353;0.618545; 127382.491
324165.6353;0.618816; 129057.532
325188.6353;0.619078; 130732.384
326211.6353;0.619343; 132406.792
327234.6353;0.619612; 134080.805
328257.6353;0.619882; 135754.372
329280.6353;0.620142; 137427.872
330303.6353;0.620409; 139100.996
331326.6353;0.620674; 140773.679
332349.6353;0.620940; 142445.671
333372.6353;0.621208; 144117.431
334395.6353;0.621468; 145788.830
335418.6353;0.621737; 147459.616
336441.6353;0.622000; 149130.221
337464.6353;0.622264; 150800.384
338487.6353;0.622531; 152470.296
339510.6353;0.622792; 154139.512
340533.6353;0.623058; 155808.610
341556.6353;0.623324; 157476.928
342579.6353;0.623586; 159145.235
343602.6353;0.623850; 160812.859
344625.6353;0.624113; 162480.004
345648.6353;0.624382; 164147.060
346671.6353;0.624639; 165813.695
347694.6353;0.624903; 167479.981
348717.6353;0.625177; 169146.317
349740.6353;0.625435; 170812.069
350763.6353;0.625695; 172477.596
351786.6353;0.625961; 174142.848
352809.6353;0.626227; 175807.532
