time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]; bias1[Hz]; bias2[Hz]
557497.084; 10.7448; 10.7414; 3.88; -4.37529; 0.00598794; 0; 0
557498.084; 10.7038; 10.5128; 3.87944; 6.84614; 0.0746085; 0; 0
557499.084; 11.0116; 9.90578; 3.87889; -7.14047; -0.102811; 0; 0
557500.084; 10.2429; 9.89861; 3.87833; 6.93442; -0.434287; 0; 0
557501.084; 10.4525; 10.3175; 3.87778; -7.27954; -0.0474263; 0; 0
557502.084; 11.365; 11.3622; 3.87722; -7.2483; -0.0823353; 0; 0
557503.084; 10.5166; 10.5166; 3.87666; 9.14837; -0.491218; 0; 0
557504.084; 10.0623; 10.0549; 3.8761; 8.42723; -0.675587; 0; 0
557505.084; 10.275; 10.2197; 3.87555; 5.70642; -0.952186; 0; 0
557506.084; 10.3535; 10.2584; 3.87499; 5.94849; -0.0907138; 0; 0
557507.084; 10.4126; 10.2585; 3.87443; 4.47775; -0.0455012; 0; 0
557508.084; 10.5474; 10.2889; 3.87388; 6.00851; -1.04048; 0; 0
557509.084; 10.8017; 10.4607; 3.87332; 4.88304; -0.265965; 0; 0
557510.084; 11.2418; 10.7422; 3.87276; 3.63807; -0.777806; 0; 0
557511.084; 11.2559; 10.7263; 3.8722; 2.26121; -0.0645941; 0; 0
557512.084; 11.3802; 10.831; 3.87164; 2.19644; -0.765825; 0; 0
557513.084; 11.61; 10.9223; 3.87109; 3.91045; -0.975591; 0; 0
557514.084; 11.7113; 10.9363; 3.87053; 5.44434; -0.381534; 0; 0
557515.084; 11.3032; 10.5489; 3.86996; 5.6541; -1.01765; 0; 0
557516.084; 11.05; 10.2962; 3.86941; 4.29996; -0.998784; 0; 0
557517.084; 10.7896; 10.0107; 3.86885; 3.96428; -0.573725; 0; 0
557518.084; 10.6672; 9.81987; 3.86829; 4.84282; -1.08039; 0; 0
557519.084; 10.3809; 9.60025; 3.86773; 2.40455; -0.645186; 0; 0
557520.084; 9.93608; 9.20418; 3.86717; 6.86572; -0.485571; 0; 0
557521.084; 9.4359; 8.69411; 3.86661; -5.07763; -0.227226; 0; 0
557522.084; 9.1918; 8.44301; 3.86605; 4.06213; -0.793052; 0; 0
557523.084; 8.87764; 8.20597; 3.86549; -3.21916; 0.365755; 0; 0
557524.084; 8.37699; 7.78938; 3.86492; 7.29407; -0.210015; 0; 0
557525.084; 8.01407; 7.44603; 3.86436; -3.40863; -0.465527; 0; 0
557526.084; 7.7563; 7.2309; 3.8638; 4.43916; -0.0878299; 0; 0
557527.084; 7.17852; 6.78917; 3.86324; -6.60998; 0.132693; 0; 0
557528.084; 6.75865; 6.44652; 3.86268; 3.92017; -0.144927; 0; 0
557529.084; 6.38778; 6.16896; 3.86212; -5.08821; -0.071426; 0; 0
557530.084; 6.06813; 5.89226; 3.86156; 3.26337; -0.0683848; 0; 0
557531.084; 5.62363; 5.50399; 3.86099; 3.37986; -0.16431; 0; 0
557532.084; 5.36042; 5.28946; 3.86043; -5.3741; 0.550742; 0; 0
557533.084; 5.16404; 5.12563; 3.85987; -5.19642; 0.572237; 0; 0
557534.084; 4.97269; 4.94493; 3.85931; 3.2983; -0.156144; 0; 0
557535.084; 4.85381; 4.84028; 3.85875; 3.19566; -0.374684; 0; 0
557536.084; 4.69708; 4.6854; 3.85818; 3.78751; -0.205663; 0; 0
557537.084; 4.69031; 4.68169; 3.85762; 2.53114; 0.147999; 0; 0
557538.084; 4.52479; 4.52165; 3.85706; -2.34976; 0.244818; 0; 0
557539.084; 4.43079; 4.43074; 3.85649; -3.23432; -0.233077; 0; 0
557540.084; 4.22888; 4.22618; 3.85593; 3.42267; -0.314846; 0; 0
557541.084; 3.93949; 3.92568; 3.85537; -5.09535; -0.425686; 0; 0
557542.084; 3.67028; 3.56984; 3.8548; -8.78656; 0.564714; 0; 0
557543.084; 3.66379; 3.51952; 3.85424; 4.11236; -0.285103; 0; 0
557544.084; 3.60001; 3.36474; 3.85367; -4.1726; 0.698591; 0; 0
557545.084; 3.53863; 3.17943; 3.85311; -4.14506; 0.52478; 0; 0
557546.084; 3.56265; 2.92163; 3.85254; -10.0105; 0.868138; 0; 0
557547.084; 3.59475; 2.74733; 3.85198; -5.90955; 0.668337; 0; 0
557548.084; 3.75734; 2.64947; 3.85142; -6.99166; 1.09333; 0; 0
557549.084; 3.86091; 2.61093; 3.85085; -4.32245; 0.937144; 0; 0
557550.084; 4.0074; 2.5429; 3.85029; -6.16102; 0.582763; 0; 0
557551.084; 4.13676; 2.51383; 3.84972; -4.49422; 0.301391; 0; 0
557552.084; 4.35097; 2.39333; 3.84915; -7.02367; 0.516818; 0; 0
557553.084; 4.53427; 2.37019; 3.84859; -5.66206; 0.476796; 0; 0
557554.084; 4.61179; 2.35201; 3.84803; -3.17041; 0.655536; 0; 0
557555.084; 4.69796; 2.31872; 3.84746; 2.93677; -0.469857; 0; 0
557556.084; 4.72876; 2.33369; 3.8469; 1.42685; 0.049663; 0; 0
557557.084; 4.87101; 2.29365; 3.84633; -3.36097; 0.118117; 0; 0
557558.084; 4.99377; 2.27128; 3.84576; -3.26441; 0.355593; 0; 0
557559.084; 5.05192; 2.2403; 3.8452; 2.64125; 0.0250911; 0; 0
557560.084; 5.15889; 2.23558; 3.84463; -3.0432; 0.0808522; 0; 0
557561.084; 5.23683; 2.23033; 3.84406; 1.9605; -0.372938; 0; 0
557562.084; 5.13472; 2.24517; 3.8435; -4.17682; -0.15503; 0; 0
557563.084; 5.39136; 2.24465; 3.84293; -6.10373; 0.0786167; 0; 0
557564.084; 5.64248; 2.32043; 3.84236; -6.40807; -0.0297574; 0; 0
557565.084; 5.77055; 2.36723; 3.84179; -4.36033; 0.382497; 0; 0
557566.084; 5.97004; 2.38559; 3.84123; 5.779; 0.0803568; 0; 0
557567.084; 6.05811; 2.39969; 3.84066; 1.98928; -0.54171; 0; 0
557568.084; 6.19098; 2.43616; 3.84009; 4.9709; -0.705419; 0; 0
