tow; prn8; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); res-rg; res-carr 
557480.084; 83; -537040.920898; 600.873046875; -600.873046875; -605.776; 4.90322; 0; 0; -0; -0; 0; -535.347; -399.772; -65.5262; -70.4294; -3.01666e+07; 0
557481.084; 83; -536928.017578; 1202.7919921875; -601.9189453125; -593.311; -8.60799; 0; 0; -0; -0; 0; -535.845; -400.144; -66.0742; -57.4662; -3.01665e+07; 0
557482.084; 83; -536814.381836; 1804.431640625; -601.6396484375; -597.16; -4.47979; 0; 0; -0; -0; 0; -536.342; -400.515; -65.2973; -60.8175; -3.01664e+07; 0
557483.084; 83; -536699.628906; 2406.2587890625; -601.8271484375; -603.031; 1.20357; 0; 0; -0; -0; 0; -536.84; -400.887; -64.9868; -66.1904; -3.01663e+07; 0
557484.084; 83; -536581.456055; 3008.9501953125; -602.69140625; -621.003; 18.3111; 0; 0; -0; -0; 0; -537.338; -401.259; -65.3535; -83.6646; -3.01662e+07; 0
557485.084; 83; -536467.087891; 3612.1318359375; -603.181640625; -601.009; -2.17288; 0; 0; -0; -0; 0; -537.836; -401.631; -65.3459; -63.1731; -3.01661e+07; 0
557486.084; 83; -536351.532227; 4215.814453125; -603.6826171875; -607.249; 3.5665; 0; 0; -0; -0; 0; -538.333; -402.002; -65.3492; -68.9157; -3.01659e+07; 0
557487.084; 83; -536234.510742; 4820.4033203125; -604.5888671875; -614.952; 10.3632; 0; 0; -0; -0; 0; -538.831; -402.374; -65.7578; -76.1209; -3.01658e+07; 0
557488.084; 83; -536123.912109; 5425.4775390625; -605.07421875; -581.2; -23.8745; 0; 0; -0; -0; 0; -539.329; -402.746; -65.7453; -41.8708; -3.01657e+07; 0
557489.084; 83; -536008.146484; 6030.6328125; -605.1552734375; -608.352; 3.19719; 0; 0; -0; -0; 0; -539.826; -403.117; -65.3288; -68.526; -3.01656e+07; 0
557490.084; 83; -535891.09082; 6636.48046875; -605.84765625; -615.132; 9.28401; 0; 0; -0; -0; 0; -540.324; -403.489; -65.5234; -74.8074; -3.01655e+07; 0
557491.084; 83; -535777.838867; 7243.0078125; -606.52734375; -595.143; -11.3843; 0; 0; -0; -0; 0; -540.822; -403.86; -65.7056; -54.3212; -3.01654e+07; 0
557492.084; 83; -535661.271484; 7849.9814453125; -606.9736328125; -612.566; 5.5921; 0; 0; -0; -0; 0; -541.32; -404.232; -65.6541; -71.2462; -3.01653e+07; 0
557493.084; 83; -535546.624023; 8457.36328125; -607.3818359375; -602.476; -4.90536; 0; 0; -0; -0; 0; -541.817; -404.604; -65.5647; -60.6593; -3.01651e+07; 0
557494.084; 83; -535429.671875; 9065.9169921875; -608.5537109375; -614.588; 6.03398; 0; 0; -0; -0; 0; -542.315; -404.975; -66.2389; -72.2729; -3.0165e+07; 0
557495.084; 83; -535314.117188; 9674.8203125; -608.9033203125; -607.244; -1.65934; 0; 0; -0; -0; 0; -542.812; -405.347; -66.0909; -64.4316; -3.01649e+07; 0
557496.084; 83; -535199.049805; 10283.7001953125; -608.8798828125; -604.683; -4.1967; 0; 0; -0; -0; 0; -543.31; -405.718; -65.57; -61.3733; -3.01648e+07; 0
557497.084; 83; -535083.076172; 10892.9765625; -609.2763671875; -609.446; 0.169187; 0; 0; -0; -0; 0; -543.807; -406.09; -65.469; -65.6381; 4.25573; 0.00598794
557498.084; 83; -534964.240234; 11503.166015625; -610.189453125; -624.487; 14.2976; 0; 0; -0; -0; 0; -544.305; -406.461; -65.8845; -80.1822; 6.84614; 0.0746085
557499.084; 83; -534848.893555; 12114.341796875; -611.17578125; -606.151; -5.02489; 0; 0; -0; -0; 0; -544.802; -406.833; -66.3733; -61.3485; 5.81819; -0.0976789
557500.084; 83; -534730.720703; 12725.9189453125; -611.5771484375; -621.003; 9.42538; 0; 0; -0; -0; 0; -545.3; -407.205; -66.2771; -75.7025; 6.93442; -0.428197
557501.084; 83; -534614.572266; 13337.943359375; -612.0244140625; -610.364; -1.66026; 0; 0; -0; -0; 0; -545.797; -407.576; -66.2269; -64.5667; 7.05109; -0.0397873
557502.084; 83; -534500.587891; 13950.3427734375; -612.3994140625; -598.992; -13.4075; 0; 0; -0; -0; 0; -546.295; -407.948; -66.1044; -52.697; 4.79926; -0.0747632
557503.084; 83; -534378.680664; 14563.3916015625; -613.048828125; -640.627; 27.578; 0; 0; -0; -0; 0; -546.792; -408.319; -66.2564; -93.8344; 9.14837; -0.482719
557504.084; 83; -534262.182617; 15176.8623046875; -613.470703125; -612.201; -1.26933; 0; 0; -0; -0; 0; -547.29; -408.69; -66.1809; -64.9115; 8.42723; -0.668323
557505.084; 83; -534147.5; 15791.11328125; -614.2509765625; -602.661; -11.5898; 0; 0; -0; -0; 0; -547.787; -409.062; -66.4636; -54.8738; 5.70642; -0.943157
557506.084; 83; -534031.107422; 16405.58203125; -614.46875; -611.647; -2.82162; 0; 0; -0; -0; 0; -548.285; -409.433; -66.184; -63.3624; 5.94849; -0.0813853
557507.084; 83; -533915.551758; 17020.822265625; -615.240234375; -607.249; -7.99112; 0; 0; -0; -0; 0; -548.782; -409.805; -66.4581; -58.467; 4.47775; -0.0365372
557508.084; 83; -533795.703125; 17636.462890625; -615.640625; -629.809; 14.1682; 0; 0; -0; -0; 0; -549.28; -410.176; -66.361; -80.5292; 6.00851; -1.02923
