time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]; bias1[Hz]; bias2[Hz]
231299.468; 36.1257; 15.5941; 6.99963; 3.72529e-09; 3.84171e-09; 0; 0
231300.468; 35.8548; 14.2745; 6.99663; -0.641305; 0.0939358; 0; 0
231301.468; 34.3003; 15.297; 6.99364; -2.81986; 0.551889; 0; 0
231302.468; 35.4785; 16.1345; 6.99066; -1.77999; 0.283953; 0; 0
231303.468; 33.9349; 14.8471; 6.98767; 3.51002; -0.469312; 0; 0
231304.468; 34.2743; 14.3347; 6.9847; -2.94636; 0.785304; 0; 0
231305.468; 32.9773; 13.906; 6.98172; -2.4122; 0.536628; 0; 0
231306.468; 32.6812; 13.3642; 6.97875; 2.45589; -0.191569; 0; 0
231307.468; 33.1155; 13.9174; 6.97578; -3.14551; 0.862562; 0; 0
231308.468; 33.7072; 14.2257; 6.97282; -2.13933; 0.572199; 0; 0
231309.468; 34.1687; 14.7877; 6.96986; -2.42468; 0.493493; 0; 0
231310.468; 34.1064; 15.3536; 6.9669; -2.56592; -0.431501; 0; 0
231311.468; 33.7343; 15.8606; 6.96395; 3.0695; -0.026876; 0; 0
231312.468; 33.2516; 16.4305; 6.961; -3.44129; 1.01685; 0; 0
231313.468; 32.7617; 15.9991; 6.95806; 3.26763; -0.470934; 0; 0
231314.468; 32.2206; 16.4755; 6.95512; 3.6499; -0.770059; 0; 0
231315.468; 31.3512; 16.0453; 6.95219; -4.15214; -0.013197; 0; 0
231316.468; 31.0951; 16.1821; 6.94926; 2.41934; 0.0638049; 0; 0
231317.468; 30.8901; 16.5351; 6.94633; -2.14864; 0.289399; 0; 0
231318.468; 30.487; 16.4356; 6.94341; 2.71386; 0.154341; 0; 0
231319.468; 30.4593; 16.5155; 3.74941; -1.57974; 0.253608; 0; 0
231320.468; 30.3947; 16.5833; 3.7496; 1.09139; -0.303152; 0; 0
231321.468; 30.5551; 15.3697; 3.74979; -5.92097; 1.26578; 0; 0
231322.468; 30.4543; 14.8227; 3.74998; -2.6795; 0.863966; 0; 0
231323.468; 30.063; 14.4246; 3.75017; -2.67009; -0.231871; 0; 0
231324.468; 30.0119; 14.0642; 3.75036; -3.11937; 0.633006; 0; 0
231325.468; 29.8073; 14.045; 3.75055; 2.13921; 0.179596; 0; 0
231326.468; 29.413; 14.0169; 3.75074; -3.53097; 0.169033; 0; 0
231327.468; 29.1484; 13.7744; 3.75094; -2.78459; 0.726318; 0; 0
231328.468; 28.7825; 13.3959; 3.75113; 5.64905; -0.296156; 0; 0
231329.468; 28.5808; 13.5172; 3.75132; -4.61959; 0.847183; 0; 0
231330.468; 28.118; 13.1322; 3.75151; -3.66168; -0.233418; 0; 0
231331.468; 27.953; 12.9589; 3.7517; 2.20768; 0.224298; 0; 0
231332.468; 27.4801; 12.6718; 3.75189; -4.28879; -0.341184; 0; 0
231333.468; 26.9619; 12.5111; 3.75208; -5.03718; -0.524896; 0; 0
231334.468; 26.4346; 12.101; 3.75227; 4.86134; -0.684056; 0; 0
231335.468; 26.1197; 11.9866; 3.75247; -3.61528; 0.35158; 0; 0
231336.468; 25.6906; 11.8109; 3.75266; 4.62801; -0.104597; 0; 0
231337.468; 25.4711; 11.7628; 3.75285; -3.19381; 0.55911; 0; 0
231338.468; 24.9478; 11.4131; 3.75304; 6.78779; -0.41009; 0; 0
231339.468; 24.4808; 11.1764; 3.75323; 6.66449; -0.682028; 0; 0
231340.468; 24.251; 10.9005; 3.75343; 5.17312; -0.323792; 0; 0
231341.468; 24.1319; 10.7482; 3.75362; 5.22704; -0.680725; 0; 0
231342.468; 23.8851; 10.5833; 3.75381; 5.15795; -0.227319; 0; 0
231343.468; 23.6161; 10.4363; 3.75401; 3.77658; 0.155495; 0; 0
231344.468; 23.425; 10.2758; 3.7542; 5.17165; -0.73319; 0; 0
231345.468; 23.1664; 10.221; 3.75439; 5.76265; -0.809352; 0; 0
231346.468; 22.9114; 10.037; 3.75459; 6.46822; -0.504086; 0; 0
231347.468; 22.7607; 9.88053; 3.75478; -5.4549; -0.411155; 0; 0
231348.468; 22.6106; 9.85321; 3.75498; 3.31737; 0.311177; 0; 0
231349.468; 22.6966; 9.92006; 3.75517; -5.04202; 1.15373; 0; 0
231350.468; 22.5928; 9.79437; 3.75536; 3.37576; -0.0636559; 0; 0
