tow; prn8; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg) 
230986.468; 81; -870488.083008; -937.2431640625; 937.2431640625; 956.401; -19.1579; 0; 0; -0; -0; 0; 1013.62; 756.923; -76.375; -57.2171
230987.468; 81; -870662.786133; -1874.087890625; 936.8447265625; 918.071; 18.7736; 0; 0; -0; -0; 0; 1013.17; 756.586; -76.3228; -95.0964
230988.468; 81; -870841.423828; -2810.5830078125; 936.4951171875; 938.747; -2.25231; 0; 0; -0; -0; 0; 1012.72; 756.25; -76.2218; -73.9695
230989.468; 81; -871024.582031; -3746.8251953125; 936.2421875; 962.503; -26.2607; 0; 0; -0; -0; 0; 1012.27; 755.913; -76.0241; -49.7634
230990.468; 81; -871201.771484; -4682.2333984375; 935.408203125; 931.137; 4.27134; 0; 0; -0; -0; 0; 1011.82; 755.577; -76.4074; -80.6787
230991.468; 81; -871376.464844; -5616.9482421875; 934.71484375; 918.02; 16.695; 0; 0; -0; -0; 0; 1011.36; 755.24; -76.65; -93.345
230992.468; 81; -871557.119141; -6551.4208984375; 934.47265625; 949.345; -14.8721; 0; 0; -0; -0; 0; 1010.91; 754.903; -76.4415; -61.5694
230993.468; 81; -871735.389648; -7485.353515625; 933.9326171875; 936.818; -2.88522; 0; 0; -0; -0; 0; 1010.46; 754.567; -76.5307; -73.6455
230994.468; 81; -871913.931641; -8419.1533203125; 933.7998046875; 938.245; -4.4447; 0; 0; -0; -0; 0; 1010.01; 754.23; -76.2127; -71.768
230995.468; 81; -872088.748047; -9352.607421875; 933.4541015625; 918.666; 14.7877; 0; 0; -0; -0; 0; 1009.56; 753.893; -76.1074; -90.8951
230996.468; 81; -872266.950195; -10285.046875; 932.439453125; 936.459; -4.01916; 0; 0; -0; -0; 0; 1009.11; 753.557; -76.6712; -72.652
230997.468; 81; -872441.268555; -11217.228515625; 932.181640625; 916.049; 16.1325; 0; 0; -0; -0; 0; 1008.66; 753.22; -76.4781; -92.6105
230998.468; 81; -872619.636719; -12149.193359375; 931.96484375; 937.331; -5.36618; 0; 0; -0; -0; 0; 1008.21; 752.883; -76.2439; -70.8777
230999.468; 81; -872798.177734; -13080.7138671875; 931.5205078125; 938.239; -6.71886; 0; 0; -0; -0; 0; 1007.76; 752.546; -76.2372; -69.5183
231000.468; 81; -872973.579102; -14011.3916015625; 930.677734375; 921.74; 8.93733; 0; 0; -0; -0; 0; 1007.31; 752.209; -76.6289; -85.5662
231001.468; 81; -873151.012695; -14941.55078125; 930.1591796875; 932.42; -2.26065; 0; 0; -0; -0; 0; 1006.86; 751.873; -76.6963; -74.4357
231002.468; 81; -873328.428711; -15870.80078125; 929.25; 932.327; -3.07745; 0; 0; -0; -0; 0; 1006.4; 751.536; -77.1543; -74.0769
231003.468; 81; -873504.912109; -16799.9365234375; 929.1357421875; 927.427; 1.70922; 0; 0; -0; -0; 0; 1005.95; 751.199; -76.8175; -78.5267
231004.468; 81; -873685.731445; -17728.736328125; 928.7998046875; 950.212; -21.4122; 0; 0; -0; -0; 0; 1005.5; 750.862; -76.7022; -55.29
231005.468; 81; -873856.350586; -18657.107421875; 928.37109375; 896.61; 31.7615; 0; 0; -0; -0; 0; 1005.05; 750.525; -76.6797; -108.441
231006.468; 81; -874036.733398; -19585.09375; 927.986328125; 947.918; -19.9317; 0; 0; -0; -0; 0; 1004.6; 750.188; -76.6131; -56.6813
231007.468; 81; -874210.563477; -20512.6083984375; 927.5146484375; 913.483; 14.0314; 0; 0; -0; -0; 0; 1004.15; 749.851; -76.6334; -90.6648
231008.468; 81; -874388.669922; -21439.5859375; 926.9775390625; 935.956; -8.97815; 0; 0; -0; -0; 0; 1003.7; 749.514; -76.7192; -67.7411
231009.468; 81; -874563.957031; -22366.2412109375; 926.6552734375; 921.14; 5.5153; 0; 0; -0; -0; 0; 1003.25; 749.177; -76.5901; -82.1054
231010.468; 81; -874741.137695; -23292.5439453125; 926.302734375; 931.091; -4.78794; 0; 0; -0; -0; 0; 1002.79; 748.84; -76.4911; -71.7032
231011.468; 81; -874917.881836; -24218.27734375; 925.7333984375; 928.797; -3.06333; 0; 0; -0; -0; 0; 1002.34; 748.502; -76.609; -73.5457
231012.468; 81; -875092.314453; -25143.388671875; 925.111328125; 916.65; 8.46174; 0; 0; -0; -0; 0; 1001.89; 748.165; -76.7795; -85.2413
231013.468; 81; -875267.12207; -26067.8583984375; 924.4697265625; 918.62; 5.8495; 0; 0; -0; -0; 0; 1001.44; 747.828; -76.9695; -82.819
231014.468; 81; -875441.65918; -26992.1845703125; 924.326171875; 917.199; 7.12747; 0; 0; -0; -0; 0; 1000.99; 747.491; -76.6615; -83.789
231015.468; 81; -875619.276367; -27916.14453125; 923.9599609375; 933.385; -9.42466; 0; 0; -0; -0; 0; 1000.54; 747.154; -76.5761; -67.1515
231016.468; 81; -875795.785156; -28839.5673828125; 923.4228515625; 927.56; -4.1371; 0; 0; -0; -0; 0; 1000.08; 746.816; -76.6616; -72.5245
231017.468; 81; -875973.367188; -29762.6650390625; 923.09765625; 933.2; -10.1022; 0; 0; -0; -0; 0; 999.633; 746.479; -76.5351; -66.4329
231018.468; 81; -876146.75293; -30685.23828125; 922.5732421875; 911.148; 11.425; 0; 0; -0; -0; 0; 999.181; 746.142; -76.6077; -88.0328
231019.468; 81; -876319.22168; -31607.4521484375; 922.2138671875; 906.329; 15.8845; 0; 0; -0; -0; 0; 998.729; 745.804; -76.5153; -92.3997
231020.468; 81; -876495.294922; -32529.0791015625; 921.626953125; 925.271; -3.64418; 0; 0; -0; -0; 0; 998.277; 745.467; -76.6504; -73.0062
231021.468; 81; -876673.513672; -33450.2109375; 921.1318359375; 936.546; -15.414; 0; 0; -0; -0; 0; 997.825; 745.129; -76.6936; -61.2796
