time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]; bias1[Hz]; bias2[Hz]
519883.925; 11.124; 11.1238; 4.12654; -3.72529e-09; -4.19095e-09; 0; 0
519884.925; 10.3242; 9.41399; 4.12674; 2.21727; -0.151551; 0; 0
519885.925; 7.42091; 7.25261; 4.12695; -2.96557; 0.829366; 0; 0
519886.925; 6.17728; 6.15779; 4.12715; 3.81472; 0.0354462; 0; 0
519887.925; 5.29619; 5.19071; 4.12736; -1.90475; 0.371316; 0; 0
519888.925; 5.48323; 5.16264; 4.12756; 2.52185; -0.097007; 0; 0
519889.925; 4.84035; 3.44385; 3.73577; -4.27844; 0.145343; 0; 0
519890.925; 3.86288; 2.68645; 3.73567; -2.93196; 0.380393; 0; 0
519891.925; 2.92128; 1.87141; 3.73557; -4.05953; 0.534023; 0; 0
519892.925; 2.28931; 1.51379; 3.73547; -2.75302; 0.262066; 0; 0
519893.925; 2.44157; 1.70271; 3.73537; -1.93815; 0.227724; 0; 0
519894.925; 2.55366; 1.57711; 3.73526; 1.38794; -0.11318; 0; 0
519895.925; 2.36491; 1.38277; 3.73516; 3.40821; -0.445136; 0; 0
519896.925; 2.50373; 1.05331; 3.73506; 5.47; -0.289722; 0; 0
519897.925; 2.16862; 0.942533; 3.73496; -2.41514; 0.38758; 0; 0
519898.925; 2.60313; 0.946784; 3.73486; 2.53353; -0.594297; 0; 0
519899.925; 2.3599; 1.07056; 3.73476; -1.9436; 0.398751; 0; 0
519900.925; 2.14367; 1.03739; 3.73466; -2.85975; 0.464203; 0; 0
519901.925; 2.08137; 0.979962; 3.73456; -1.10155; 0.430351; 0; 0
519902.925; 1.83106; 0.894708; 3.73446; -1.90876; 0.344564; 0; 0
519903.925; 1.60454; 0.836369; 3.73437; -1.88721; 0.37781; 0; 0
519904.925; 1.75823; 0.85856; 3.73426; 1.01348; -0.160648; 0; 0
519905.925; 1.60085; 0.818947; 3.73417; -1.05745; 0.0580708; 0; 0
519906.925; 1.49326; 0.764911; 3.73407; -0.997429; 0.102213; 0; 0
519907.925; 1.44099; 0.738257; 3.73397; -0.443669; 0.0983419; 0; 0
519908.925; 1.41777; 0.780608; 3.73387; -1.0959; 0.466448; 0; 0
519909.925; 1.47923; 0.793344; 3.73377; 0.793253; -0.15454; 0; 0
519910.925; 1.27346; 0.689594; 3.73367; -2.21266; 0.489679; 0; 0
