tow; prn8; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); res-rg; res-carr 
519883.925; 6; 160653.094727; 4068.7509765625; -4068.7509765625; -844238; 840169; 0; 0; -0; -0; 0; -958.132; -715.488; -3110.62; -843280; 3.72529e-09; 4.36557e-10
519884.925; 6; 160834.952148; 5027.1923828125; -958.44140625; -955.667; -2.7742; 0; 0; -0; -0; 0; -958.792; -715.981; 0.3509; 3.1251; -0.385383; -0.140052
519885.925; 6; 161013.618164; 5986.3134765625; -959.12109375; -938.896; -20.2248; 0; 0; -0; -0; 0; -959.453; -716.475; 0.331875; 20.5567; -1.93307; 0.827822
519886.925; 6; 161194.106445; 6946.0810546875; -959.767578125; -948.472; -11.2953; 0; 0; -0; -0; 0; -960.114; -716.968; 0.346016; 11.6413; -3.66051; 0.0354462
519887.925; 6; 161377.725586; 7906.515625; -960.4345703125; -964.925; 4.49053; 0; 0; -0; -0; 0; -960.774; -717.461; 0.339577; -4.15095; -1.90475; 0.371316
519888.925; 6; 161562.499023; 8867.6171875; -961.1015625; -970.991; 9.88941; 0; 0; -0; -0; 0; -961.435; -717.954; 0.333078; -9.55633; -0.415574; -0.0888688
519889.925; 6; 161746.697266; 9829.3740234375; -961.7568359375; -967.968; 6.21146; 0; 0; -0; -0; 0; -962.095; -718.448; 0.338336; -5.87312; 1.07949; 0.144951
519890.925; 6; 161925.074219; 10791.7861328125; -962.412109375; -937.377; -25.0349; 0; 0; -0; -0; 0; -962.756; -718.941; 0.343517; 25.3784; -2.93196; 0.380017
519891.925; 6; 162106.453125; 11754.859375; -963.0732421875; -953.153; -9.92066; 0; 0; -0; -0; 0; -963.416; -719.434; 0.342784; 10.2634; -4.05953; 0.534023
519892.925; 6; 162291.086914; 12718.599609375; -963.740234375; -970.257; 6.51688; 0; 0; -0; -0; 0; -964.076; -719.927; 0.33616; -6.18072; -2.75302; 0.262066
519893.925; 6; 162478.113281; 13682.998046875; -964.3984375; -982.83; 18.4318; 0; 0; -0; -0; 0; -964.737; -720.42; 0.338314; -18.0934; 0.698304; 0.227724
519894.925; 6; 162660.923828; 14648.0595703125; -965.0615234375; -960.676; -4.38562; 0; 0; -0; -0; 0; -965.397; -720.913; 0.335548; 4.72116; -0.233273; 0.0930345
519895.925; 6; 162843.454102; 15613.7724609375; -965.712890625; -959.203; -6.50983; 0; 0; -0; -0; 0; -966.057; -721.406; 0.344476; 6.85431; -1.71138; -0.286475
519896.925; 6; 163026.338867; 16580.1533203125; -966.380859375; -961.066; -5.31493; 0; 0; -0; -0; 0; -966.718; -721.899; 0.336701; 5.65163; -2.42041; -0.162071
519897.925; 6; 163209.625977; 17547.19140625; -967.0380859375; -963.18; -3.85783; 0; 0; -0; -0; 0; -967.378; -722.393; 0.3397; 4.19753; -2.41514; 0.387577
519898.925; 6; 163398.819336; 18514.892578125; -967.701171875; -994.218; 26.5166; 0; 0; -0; -0; 0; -968.038; -722.885; 0.336748; -26.1799; 1.61625; -0.496838
519899.925; 6; 163579.259766; 19483.25390625; -968.361328125; -948.221; -20.1405; 0; 0; -0; -0; 0; -968.698; -723.378; 0.33669; 20.4772; -1.23421; 0.398751
519900.925; 6; 163764.405273; 20452.26953125; -969.015625; -972.946; 3.93059; 0; 0; -0; -0; 0; -969.358; -723.871; 0.342515; -3.58807; -0.382975; 0.463844
519901.925; 6; 163948.618164; 21421.9521484375; -969.6826171875; -968.045; -1.63734; 0; 0; -0; -0; 0; -970.018; -724.364; 0.335542; 1.97289; -0.657736; 0.429565
519902.925; 6; 164131.991211; 22392.29296875; -970.3408203125; -963.632; -6.70896; 0; 0; -0; -0; 0; -970.678; -724.857; 0.337354; 7.04631; -1.90876; 0.344564
519903.925; 6; 164316.638672; 23363.2900390625; -970.9970703125; -970.329; -0.668114; 0; 0; -0; -0; 0; -971.338; -725.35; 0.341089; 1.0092; -1.88721; 0.377382
519904.925; 6; 164504.916992; 24334.951171875; -971.6611328125; -989.409; 17.7481; 0; 0; -0; -0; 0; -971.998; -725.843; 0.336978; -17.4111; 1.01348; -0.0555791
519905.925; 6; 164687.71582; 25307.26953125; -972.318359375; -960.614; -11.704; 0; 0; -0; -0; 0; -972.658; -726.336; 0.339627; 12.0437; -1.05745; 0.0577369
519906.925; 6; 164872.833008; 26280.2529296875; -972.9833984375; -972.797; -0.186012; 0; 0; -0; -0; 0; -973.318; -726.828; 0.33443; 0.520442; -0.997429; 0.102213
519907.925; 6; 165058.925781; 27253.888671875; -973.6357421875; -977.924; 4.28838; 0; 0; -0; -0; 0; -973.978; -727.321; 0.341933; -3.94645; -0.172781; 0.0977021
519908.925; 6; 165243.543945; 28228.1875; -974.298828125; -970.175; -4.12383; 0; 0; -0; -0; 0; -974.637; -727.814; 0.338615; 4.46244; -0.54931; 0.465611
519909.925; 6; 165430.976562; 29203.150390625; -974.962890625; -984.965; 10.0022; 0; 0; -0; -0; 0; -975.297; -728.306; 0.334305; -9.66786; 0.793253; -0.0660256
519910.925; 6; 165612.96582; 30178.765625; -975.615234375; -956.36; -19.2552; 0; 0; -0; -0; 0; -975.957; -728.799; 0.341698; 19.5969; -2.21266; 0.489643
519911.925; 6; 165800.918945; 31155.041015625; -976.275390625; -987.7; 11.4249; 0; 0; -0; -0; 0; -976.617; -729.292; 0.341172; -11.0838; -0.117061; 0.391258
519912.925; 6; 165986.455078; 32131.9814453125; -976.9404296875; -974.999; -1.94147; 0; 0; -0; -0; 0; -977.276; -729.784; 0.335782; 2.27725; -0.787101; 0.0554948
519913.925; 6; 166171.865234; 33109.5771484375; -977.595703125; -974.337; -3.25876; 0; 0; -0; -0; 0; -977.936; -730.277; 0.340082; 3.59884; -1.06753; 0.344571
519914.925; 6; 166358.083984; 34087.8330078125; -978.255859375; -978.586; 0.330277; 0; 0; -0; -0; 0; -978.595; -730.769; 0.339519; 0.00924184; -1.16832; 0.13725
519915.925; 6; 166546.742188; 35066.7490234375; -978.916015625; -991.406; 12.4895; 0; 0; -0; -0; 0; -979.255; -731.262; 0.338869; -12.1507; 1.38413; 0.344719
519916.925; 6; 166732.811523; 36046.328125; -979.5791015625; -977.801; -1.77814; 0; 0; -0; -0; 0; -979.914; -731.754; 0.335251; 2.11339; 0.74749; 0.058666
519917.925; 6; 166919.019531; 37026.5654296875; -980.2373046875; -978.53; -1.70762; 0; 0; -0; -0; 0; -980.574; -732.247; 0.336498; 2.04412; 0.144972; -0.209737
519918.925; 6; 167104.526367; 38007.455078125; -980.8896484375; -974.845; -6.04465; 0; 0; -0; -0; 0; -981.233; -732.739; 0.343593; 6.38824; -0.562997; 0.211273
