time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]; bias1[Hz]; bias2[Hz]
567889.824; 1.97311; 1.7059; 3.51684; -0.34157; 0.00106501; 0; 0
567890.824; 2.20034; 1.1615; 3.5175; -1.00613; 0.167884; 0; 0
567891.824; 2.43264; 1.26691; 3.51816; 1.49006; -0.0548989; 0; 0
567892.824; 2.98474; 0.778552; 3.51882; -1.31733; -0.0164657; 0; 0
567893.824; 3.13341; 0.86326; 3.51948; 1.50509; -0.264119; 0; 0
567894.824; 3.24971; 1.20318; 3.52015; -1.39775; 0.15396; 0; 0
567895.824; 2.92139; 1.50017; 3.52081; -1.49516; 0.0255365; 0; 0
567896.824; 2.69174; 1.64117; 3.52147; -1.73791; 0.365418; 0; 0
567897.824; 2.76688; 1.67655; 3.52213; 1.40517; 0.0444699; 0; 0
567898.824; 2.61881; 1.51353; 3.52279; -4.23495; 0.465217; 0; 0
567899.824; 2.7372; 1.2898; 3.52345; 2.89973; 0.0436403; 0; 0
567900.824; 2.49512; 1.27081; 3.52412; -2.33487; 0.149176; 0; 0
567901.824; 2.59856; 1.36824; 3.52478; 3.08156; 0.305079; 0; 0
567902.824; 2.54628; 1.14515; 3.52544; -2.45965; 0.370675; 0; 0
567903.824; 2.73597; 1.01363; 3.5261; -2.51408; 0.686088; 0; 0
567904.824; 2.88815; 1.05298; 3.52676; 2.35613; 0.0741976; 0; 0
567905.824; 2.85912; 1.0593; 3.52743; 2.29073; 0.281757; 0; 0
567906.824; 2.82695; 1.01075; 3.52809; -1.57003; 0.215239; 0; 0
567907.824; 2.85188; 1.15688; 3.52875; -4.06477; 0.241881; 0; 0
567908.824; 2.69675; 1.17942; 3.52941; 2.79489; -0.255835; 0; 0
567909.824; 2.69793; 1.27604; 3.53008; -2.43546; -0.11891; 0; 0
567910.824; 2.78747; 1.29615; 3.53074; 1.33681; -0.148873; 0; 0
567911.824; 2.94669; 1.36605; 3.5314; 1.35836; -0.310341; 0; 0
567912.824; 2.96652; 1.44986; 3.53206; -2.96755; -0.28289; 0; 0
567913.824; 2.9977; 1.46089; 3.53273; 3.22519; -0.36858; 0; 0
567914.824; 2.94209; 1.42315; 3.53339; 1.80524; -0.474905; 0; 0
567915.824; 2.78835; 1.32607; 3.53405; 2.58756; -0.99655; 0; 0
567916.824; 2.68413; 1.23699; 3.53472; 2.88561; -0.368151; 0; 0
567917.824; 2.59678; 1.22641; 3.53538; 3.44463; -0.494236; 0; 0
567918.824; 2.52592; 1.17132; 3.53604; 2.19438; -0.583295; 0; 0
567919.824; 2.41274; 1.07904; 3.5367; -2.16974; -0.766742; 0; 0
567920.824; 2.31044; 1.05927; 3.53737; 2.95698; -0.693685; 0; 0
567921.824; 2.21877; 1.02652; 3.53803; 3.74579; -1.0377; 0; 0
567922.824; 2.19034; 1.01869; 3.53869; 1.29517; -0.991266; 0; 0
567923.824; 2.20581; 1.03464; 3.53936; 3.71103; -0.494414; 0; 0
567924.824; 2.16201; 1.00485; 3.54002; 2.94745; -0.685747; 0; 0
567925.824; 2.14023; 1.01113; 3.54069; 2.89013; -0.702376; 0; 0
567926.824; 2.11828; 1.04694; 3.54135; 2.33091; -0.632474; 0; 0
567927.824; 2.15082; 1.06683; 3.54201; 2.29267; -0.31135; 0; 0
567928.824; 2.16769; 1.04298; 3.54268; 2.02627; -0.664847; 0; 0
567929.824; 2.16831; 1.03413; 3.54334; 3.23247; -0.360399; 0; 0
567930.824; 2.30729; 1.1203; 3.544; -2.00145; -0.539849; 0; 0
567931.824; 2.374; 1.12656; 3.54467; -1.78879; -0.0366179; 0; 0
567932.824; 2.42885; 1.14701; 3.54533; -1.06883; 0.0895843; 0; 0
567933.824; 2.42322; 1.17885; 3.546; -1.78039; -0.324704; 0; 0
567934.824; 2.47362; 1.24557; 3.54666; -2.56593; -0.0249787; 0; 0
567935.824; 2.55577; 1.27195; 3.54732; -1.77376; -0.131955; 0; 0
