tm; rg; carr
11185.114175;12208.114175;0.576644; 920.825
13231.114175;0.576928; 2870.522
14254.114175;0.577387; 4857.251
15277.114175;0.577680; 6867.965
16300.114175;0.577973; 8879.126
17323.114175;0.578285; 10889.759
18346.114175;0.578579; 12899.122
19369.114175;0.578882; 14909.169
20392.114175;0.579181; 16917.681
21415.114175;0.579479; 18925.770
22438.114175;0.579785; 20935.621
23461.114175;0.580077; 22944.151
24484.114175;0.580374; 24951.300
25507.114175;0.580685; 26959.389
26530.114175;0.580974; 28966.922
27553.114175;0.581269; 30973.760
28576.114175;0.581575; 32980.105
29599.114175;0.581872; 34985.243
30622.114175;0.582167; 36991.050
31645.114175;0.582327; 38007.368
32668.114175;0.582640; 40011.173
33691.114175;0.582939; 42016.192
34714.114175;0.583238; 44020.787
35737.114175;0.583536; 46024.228
36760.114175;0.583832; 48028.080
37783.114175;0.584131; 50031.803
38806.114175;0.584428; 52035.148
39829.114175;0.584725; 54038.351
40852.114175;0.585023; 56041.281
41875.114175;0.585326; 58043.869
42898.114175;0.585620; 60045.849
43921.114175;0.585919; 62047.551
44944.114175;0.586216; 64049.615
45967.114175;0.586513; 66050.750
46990.114175;0.586812; 68051.777
48013.114175;0.587109; 70052.181
49036.114175;0.587407; 72052.135
50059.114175;51082.114175;52105.114175;53128.114175;54151.114175;55174.114175;56197.114175;57220.114175;0.445681; -3582.012
58243.114175;0.445520; -4353.085
59266.114175;0.445406; -5124.468
60289.114175;0.445275; -5895.991
61312.114175;0.445160; -6667.909
62335.114175;0.444914; -8447.879
63358.114175;0.444792; -9220.754
64381.114175;0.444661; -9994.024
65404.114175;0.444544; -10767.589
66427.114175;0.444423; -11540.951
67450.114175;0.444296; -12314.500
68473.114175;0.444177; -13088.942
69496.114175;0.444051; -13863.890
70519.114175;0.443929; -14638.828
71542.114175;0.443805; -15414.461
72565.114175;0.443682; -16190.369
73588.114175;0.443559; -16966.428
74611.114175;0.443435; -17742.767
75634.114175;0.443313; -18519.531
76657.114175;0.443189; -19296.714
77680.114175;0.443065; -20074.378
78703.114175;0.442944; -20852.294
79726.114175;0.442819; -21630.502
80749.114175;0.442697; -22409.532
81772.114175;0.442573; -23189.080
82795.114175;0.442449; -23968.745
83818.114175;0.442326; -24748.654
84841.114175;0.442202; -25528.951
85864.114175;0.442079; -26309.646
86887.114175;0.441954; -27090.587
87910.114175;0.441831; -27871.909
88933.114175;0.441707; -28653.531
89956.114175;0.441583; -29435.614
90979.114175;0.441459; -30217.620
92002.114175;0.441334; -30999.934
93025.114175;0.441211; -31782.727
94048.114175;0.441085; -32565.783
95071.114175;0.440962; -33349.106
96094.114175;0.440838; -34132.826
97117.114175;0.440713; -34917.143
98140.114175;0.440588; -35701.942
99163.114175;0.440464; -36487.226
100186.114175;0.440340; -37272.899
101209.114175;0.440214; -38059.104
102232.114175;0.440090; -38845.817
103255.114175;0.439964; -39632.470
104278.114175;0.439840; -40419.383
105301.114175;0.439715; -41206.957
106324.114175;0.439590; -41994.868
107347.114175;0.439466; -42783.090
108370.114175;0.439340; -43571.442
109393.114175;0.439214; -44360.086
110416.114175;0.439090; -45149.025
111439.114175;0.438964; -45937.978
112462.114175;0.438838; -46727.228
113485.114175;0.438714; -47516.945
114508.114175;0.438588; -48306.968
115531.114175;0.438463; -49097.350
116554.114175;0.438338; -49888.104
117577.114175;0.438212; -50679.182
118600.114175;0.438088; -51470.418
119623.114175;0.437961; -52262.079
120646.114175;0.437836; -53054.116
121669.114175;0.437710; -53846.542
122692.114175;0.437583; -54639.201
123715.114175;0.437458; -55432.194
124738.114175;0.437332; -56225.540
125761.114175;0.437206; -57019.224
126784.114175;0.437079; -57813.375
127807.114175;0.436954; -58607.862
128830.114175;0.436827; -59402.802
129853.114175;0.436700; -60198.117
130876.114175;0.436574; -60993.787
131899.114175;0.436448; -61789.470
132922.114175;0.436321; -62585.785
133945.114175;0.436195; -63382.641
134968.114175;0.436069; -64179.895
135991.114175;0.435942; -64977.322
137014.114175;0.435815; -65774.971
138037.114175;0.435689; -66572.990
139060.114175;0.435562; -67371.455
140083.114175;0.435435; -68170.152
141106.114175;0.435309; -68968.949
142129.114175;0.435182; -69768.184
143152.114175;0.435056; -70567.953
144175.114175;0.434929; -71368.113
145198.114175;0.434802; -72168.525
146221.114175;0.434674; -72969.229
147244.114175;0.434548; -73770.145
148267.114175;0.434420; -74571.436
149290.114175;0.434293; -75373.129
150313.114175;0.434165; -76175.169
151336.114175;0.434039; -76977.533
152359.114175;0.433911; -77780.379
153382.114175;0.433783; -78583.666
154405.114175;0.433657; -79387.354
155428.114175;0.433528; -80191.357
156451.114175;0.433401; -80995.496
157474.114175;0.433274; -81800.047
158497.114175;0.433146; -82605.171
159520.114175;0.433018; -83410.833
160543.114175;0.432891; -84216.804
161566.114175;0.432762; -85023.182
162589.114175;0.432635; -85829.938
163612.114175;0.432506; -86637.108
164635.114175;0.432377; -87444.546
165658.114175;0.432249; -88252.048
166681.114175;0.432121; -89060.091
167704.114175;0.431992; -89868.877
168727.114175;0.431864; -90678.150
169750.114175;0.431736; -91487.701
170773.114175;0.431607; -92297.833
171796.114175;0.431479; -93107.993
172819.114175;0.431349; -93919.071
173842.114175;0.431221; -94729.847
174865.114175;0.431092; -95540.731
175888.114175;0.430964; -96352.140
176911.114175;0.430835; -97163.859
177934.114175;0.430707; -97975.887
178957.114175;0.430577; -98788.174
179980.114175;0.430448; -99600.757
181003.114175;0.430319; -100413.940
182026.114175;0.430190; -101227.393
183049.114175;0.430062; -102041.163
184072.114175;0.429931; -102855.331
185095.114175;0.429803; -103669.930
186118.114175;0.429674; -104484.674
187141.114175;0.429544; -105299.837
188164.114175;0.429414; -106115.404
189187.114175;0.429285; -106931.435
190210.114175;0.429156; -107747.603
191233.114175;0.429025; -108564.245
192256.114175;0.428896; -109381.282
193279.114175;0.428766; -110198.564
194302.114175;0.428636; -111015.939
195325.114175;0.428507; -111833.441
196348.114175;0.428378; -112651.313
197371.114175;0.428247; -113469.465
198394.114175;0.428117; -114287.959
199417.114175;0.427987; -115106.720
200440.114175;0.427857; -115925.849
201463.114175;0.427728; -116745.615
202486.114175;0.427598; -117565.445
203509.114175;0.427466; -118385.334
204532.114175;0.427337; -119205.927
205555.114175;0.427206; -120026.991
206578.114175;0.427075; -120848.533
207601.114175;0.426945; -121670.754
208624.114175;0.426814; -122492.966
209647.114175;0.426683; -123315.358
210670.114175;0.426553; -124138.168
211693.114175;0.426423; -124961.084
212716.114175;0.426292; -125784.396
213739.114175;0.426162; -126608.063
214762.114175;0.426030; -127432.138
215785.114175;0.425901; -128256.659
216808.114175;0.425769; -129081.533
217831.114175;0.425638; -129906.789
218854.114175;0.425508; -130732.351
219877.114175;0.425375; -131558.306
220900.114175;0.425244; -132384.643
221923.114175;0.425113; -133211.452
222946.114175;0.424983; -134038.572
223969.114175;0.424851; -134866.087
224992.114175;0.424719; -135693.860
226015.114175;0.424588; -136522.312
227038.114175;0.424456; -137350.692
228061.114175;0.424325; -138179.426
229084.114175;0.424194; -139008.830
230107.114175;0.424063; -139838.357
231130.114175;0.423931; -140668.463
232153.114175;0.423799; -141499.056
233176.114175;0.423668; -142329.928
234199.114175;0.423536; -143161.106
235222.114175;0.423405; -143992.553
236245.114175;0.423272; -144824.254
237268.114175;0.423142; -145656.339
238291.114175;0.423009; -146488.763
239314.114175;0.422876; -147321.275
240337.114175;0.422745; -148154.258
241360.114175;0.422612; -148987.755
242383.114175;0.422479; -149821.841
243406.114175;0.422347; -150655.980
244429.114175;0.422215; -151490.319
245452.114175;0.422082; -152325.218
246475.114175;0.421949; -153160.676
247498.114175;0.421816; -153996.011
248521.114175;0.421684; -154831.479
249544.114175;0.421551; -155667.704
250567.114175;0.421418; -156504.413
251590.114175;0.421284; -157341.171
252613.114175;0.421153; -158178.172
253636.114175;0.421019; -159015.611
254659.114175;0.420887; -159853.452
255682.114175;0.420753; -160691.462
256705.114175;0.420620; -161529.790
257728.114175;0.420487; -162368.853
258751.114175;0.420353; -163208.177
259774.114175;0.420221; -164047.806
260797.114175;0.420087; -164887.615
261820.114175;0.419953; -165727.549
262843.114175;0.419821; -166567.785
263866.114175;0.419687; -167408.236
264889.114175;0.419552; -168249.068
265912.114175;0.419420; -169090.228
266935.114175;0.419285; -169931.890
267958.114175;0.419152; -170773.767
268981.114175;0.419018; -171615.977
270004.114175;0.418884; -172458.463
271027.114175;0.418750; -173301.125
272050.114175;0.418616; -174144.117
273073.114175;0.418483; -174987.462
274096.114175;0.418349; -175831.248
