time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]; bias1[Hz]; bias2[Hz]
575689.956; 12.1572; 6.9503; 4.27231; 3.72529e-09; 3.72529e-09; 0; 0
575690.956; 10.5457; 6.45272; 4.27205; -0.889391; 0.111131; 0; 0
575691.956; 10.5182; 6.04269; 4.27178; 1.14781; 0.0464249; 0; 0
575692.956; 10.6193; 5.94518; 4.27152; 0.874324; 0.0252372; 0; 0
575693.956; 10.8127; 5.73307; 4.27125; 1.22859; 0.293713; 0; 0
575694.956; 10.1011; 5.31078; 4.27099; -1.18657; 0.228823; 0; 0
575695.956; 9.95264; 4.95492; 4.27073; 2.11435; -0.0123873; 0; 0
575696.956; 9.89239; 4.88727; 4.27046; 0.295751; -0.0144187; 0; 0
575697.956; 9.32817; 4.58214; 4.2702; -1.19273; 0.487317; 0; 0
575698.956; 9.20349; 4.37358; 4.26993; 1.85237; -0.11712; 0; 0
575699.956; 8.77331; 4.09892; 4.26967; 1.39979; 0.0110785; 0; 0
575700.956; 8.47043; 3.87671; 4.26941; -1.48646; -0.0611658; 0; 0
575701.956; 8.18026; 3.68028; 4.26914; 1.04813; 0.125979; 0; 0
575702.956; 7.82159; 3.45879; 4.26888; -1.45893; 0.226218; 0; 0
575703.956; 7.6103; 3.35562; 4.26862; -1.99858; 0.271272; 0; 0
575704.956; 7.32968; 3.17734; 4.26836; -2.19475; 0.481859; 0; 0
575705.956; 7.51476; 3.21466; 4.26809; 2.29147; 0.210403; 0; 0
575706.956; 7.37651; 3.1302; 4.26783; -2.41093; 0.444174; 0; 0
575707.956; 7.20039; 3.04247; 4.26757; -1.56564; 0.564996; 0; 0
575708.956; 6.91421; 2.88851; 4.26731; -2.80989; 0.436009; 0; 0
575709.956; 6.80664; 2.79957; 4.26704; -2.06442; 0.0917345; 0; 0
575710.956; 6.46496; 2.56614; 4.26678; 1.95929; 0.367037; 0; 0
575711.956; 6.45684; 2.57799; 4.26652; -1.42198; 0.226829; 0; 0
575712.956; 6.31716; 2.44675; 4.26626; 1.30052; 0.0485746; 0; 0
575713.956; 6.2363; 2.40388; 4.266; -1.37893; 0.0637472; 0; 0
575714.956; 6.12782; 2.34197; 4.26574; 0.981084; -0.281407; 0; 0
575715.956; 5.93928; 2.26025; 4.26548; 1.22555; -0.0750551; 0; 0
575716.956; 5.85722; 2.21707; 4.26522; 1.05844; -0.342257; 0; 0
575717.956; 5.74053; 2.1829; 4.26496; 1.02017; -0.264705; 0; 0
575718.956; 5.57978; 2.13123; 4.2647; -1.33238; -0.189709; 0; 0
575719.956; 5.5414; 2.09519; 4.26444; 0.868054; -0.208825; 0; 0
575720.956; 5.28426; 2.00802; 4.26418; 2.10887; -0.234324; 0; 0
575721.956; 5.21372; 1.9654; 4.26392; -1.95332; 0.0333068; 0; 0
575722.956; 5.14959; 1.98984; 4.26366; -1.17196; -0.03822; 0; 0
575723.956; 5.04913; 1.953; 4.2634; -1.51189; -0.151061; 0; 0
575724.956; 5.07593; 1.97937; 4.26314; 0.528053; -0.209935; 0; 0
575725.956; 5.00504; 1.92106; 4.26288; 0.94109; -0.0917694; 0; 0
575726.956; 4.98717; 1.91387; 4.26262; 1.03034; -0.255482; 0; 0
575727.956; 4.9568; 1.85993; 4.26236; -1.14857; 0.183918; 0; 0
575728.956; 4.92214; 1.84073; 4.2621; 1.07256; -0.331296; 0; 0
575729.956; 4.90839; 1.77349; 4.26184; 1.66222; -0.693741; 0; 0
575730.956; 4.83157; 1.70312; 4.26159; 1.83478; -0.59242; 0; 0
575731.956; 4.75673; 1.64577; 4.26133; 1.38861; -0.47343; 0; 0
575732.956; 4.52923; 1.48937; 4.26107; 3.28779; -0.193475; 0; 0
575733.956; 4.34865; 1.37981; 4.26081; 3.08531; -0.755056; 0; 0
575734.956; 4.24108; 1.30426; 4.26056; 2.10306; -0.472488; 0; 0
575735.956; 4.14645; 1.21469; 4.2603; 2.24525; -0.379523; 0; 0
575736.956; 3.92696; 1.08198; 4.26004; 3.435; -0.523135; 0; 0
575737.956; 3.78876; 0.984549; 4.25978; 3.1935; -0.955124; 0; 0
