tow; prn15; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); res-rg; res-carr 
579777.956; 89; 2194961.22363; -47447.501953125; 47447.501953125; -1.15346e+07; 1.1582e+07; 0; 0; -0; -0; 0; 2146.51; 1602.91; 45301; -1.15367e+07; 1.83122; 0.00375813
579778.956; 89; 2194573.34082; -49507.177734375; 2059.67578125; 2038.34; 21.3378; 0; 0; -0; -0; 0; 2146.18; 1602.67; -86.5027; -107.841; 5.49473; -0.129335
579779.956; 89; 2194181.61816; -51566.06640625; 2058.888671875; 2058.52; 0.372219; 0; 0; -0; -0; 0; 2145.84; 1602.42; -86.956; -87.3282; 5.61715; -0.0376131
579780.956; 89; 2193790.34961; -53624.4248046875; 2058.3583984375; 2056.13; 2.22827; 0; 0; -0; -0; 0; 2145.51; 1602.17; -87.1525; -89.3807; 6.14579; 0.0415723
579781.956; 89; 2193398.83594; -55682.109375; 2057.6845703125; 2057.42; 0.266338; 0; 0; -0; -0; 0; 2145.18; 1601.92; -87.4924; -87.7588; 5.9353; -0.144725
579782.956; 89; 2193005.47363; -57739.6416015625; 2057.5322265625; 2067.13; -9.60064; 0; 0; -0; -0; 0; 2144.84; 1601.67; -87.3109; -77.7103; 4.23066; -0.0146489
579783.956; 89; 2192616.6123; -59797.0927734375; 2057.451171875; 2043.48; 13.9711; 0; 0; -0; -0; 0; 2144.51; 1601.42; -87.0578; -101.029; 6.49837; -0.300919
579784.956; 89; 2192221.67969; -61853.880859375; 2056.7880859375; 2075.38; -18.5968; 0; 0; -0; -0; 0; 2144.18; 1601.17; -87.387; -68.7901; 3.0662; -0.150277
579785.956; 89; 2191830.8291; -63910.5322265625; 2056.6513671875; 2053.93; 2.71768; 0; 0; -0; -0; 0; 2143.84; 1600.92; -87.1894; -89.9071; 3.35894; -0.297688
579786.956; 89; 2191441.44531; -65967.091796875; 2056.5595703125; 2046.23; 10.3339; 0; 0; -0; -0; 0; 2143.51; 1600.67; -86.947; -97.2809; 5.13058; -0.401025
579787.956; 89; 2191047.38477; -68023.287109375; 2056.1953125; 2070.8; -14.6068; 0; 0; -0; -0; 0; 2143.17; 1600.42; -86.9771; -72.3702; 2.44138; -0.257382
579788.956; 89; 2190655.27832; -70079.3974609375; 2056.1103515625; 2060.53; -4.42293; 0; 0; -0; -0; 0; 2142.84; 1600.17; -86.7276; -82.3046; 1.39121; -0.392828
579789.956; 89; 2190264.42773; -72135.158203125; 2055.7607421875; 2053.93; 1.82705; 0; 0; -0; -0; 0; 2142.5; 1599.92; -86.7428; -88.5699; 1.80465; -0.279605
579790.956; 89; 2189873.57812; -74190.44140625; 2055.283203125; 2053.93; 1.35464; 0; 0; -0; -0; 0; 2142.17; 1599.67; -86.8857; -88.2403; 2.05716; -0.245824
579791.956; 89; 2189483.6709; -76245.2626953125; 2054.8212890625; 2048.98; 5.84498; 0; 0; -0; -0; 0; 2141.83; 1599.42; -87.0131; -92.858; 3.27589; -0.120828
579792.956; 89; 2189091.84375; -78300.255859375; 2054.9931640625; 2059.07; -4.0724; 0; 0; -0; -0; 0; 2141.5; 1599.17; -86.5065; -82.4341; 2.33717; -0.2507
579793.956; 89; 2188700.85352; -80354.2646484375; 2054.0087890625; 2054.67; -0.65876; 0; 0; -0; -0; 0; 2141.16; 1598.92; -87.1561; -86.4974; 2.10885; -0.313512
579794.956; 89; 2188305.74609; -82409.0419921875; 2054.77734375; 2076.3; -21.5262; 0; 0; -0; -0; 0; 2140.83; 1598.67; -86.053; -64.5268; -1.81208; -0.12497
579795.956; 89; 2187918.38574; -84463.998046875; 2054.9560546875; 2035.59; 19.3637; 0; 0; -0; -0; 0; 2140.5; 1598.42; -85.5394; -104.903; 1.78036; -0.194848
