time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]; bias1[Hz]; bias2[Hz]
235092.624; 2.01877; 0.541802; 6.99758; 1.09784; -0.00124119; 0; 0
235093.624; 4.20215; 0.938525; 6.99469; -2.13127; 0.325101; 0; 0
235094.624; 9.04078; 3.50499; 6.99178; -2.45958; 0.378342; 0; 0
235095.624; 7.9548; 2.97004; 6.9889; 1.37372; -0.383135; 0; 0
235096.624; 9.50971; 3.70519; 6.986; 1.92435; -0.0424602; 0; 0
235097.624; 10.1708; 4.21953; 6.98311; 1.96024; -0.289599; 0; 0
235098.624; 12.2176; 5.58991; 6.98021; 2.7909; 0.0626152; 0; 0
235099.624; 13.3251; 5.92562; 6.97732; 2.88639; 0.105818; 0; 0
235100.624; 12.6907; 5.5781; 6.97444; -0.998109; 0.264709; 0; 0
235101.624; 14.8502; 6.81528; 6.97154; 5.05695; -0.540023; 0; 0
235102.624; 14.9356; 6.8699; 6.96867; 0.748888; -0.278456; 0; 0
235103.624; 16.9962; 8.17632; 6.96577; 6.79812; -0.718191; 0; 0
235104.624; 17.8828; 8.82575; 6.96289; 3.86177; -0.193076; 0; 0
235105.624; 19.6985; 9.93494; 6.96001; 6.1627; -0.362129; 0; 0
235106.624; 19.9664; 10.229; 6.95713; -2.84969; -0.226211; 0; 0
235107.624; 19.8075; 10.2213; 6.95426; -1.94736; -0.084366; 0; 0
235108.624; 20.3807; 10.655; 6.95138; 3.83585; -0.490925; 0; 0
235109.624; 21.2717; 11.2641; 6.9485; 3.5121; 0.188897; 0; 0
235110.624; 21.1852; 11.2011; 6.94563; -3.3659; 0.31387; 0; 0
235111.624; 21.8961; 11.6043; 6.94275; 2.78317; -0.394954; 0; 0
235112.624; 22.6101; 11.9553; 6.93988; 2.21179; -0.235103; 0; 0
235113.624; 22.9951; 12.1116; 6.93701; 2.8987; 0.184492; 0; 0
235114.624; 23.9849; 12.6029; 6.93413; 3.70473; -0.0504488; 0; 0
235115.624; 24.3052; 12.7265; 6.93127; -1.75292; -0.0874567; 0; 0
235116.624; 24.4499; 12.7763; 6.92841; -2.24368; -0.173089; 0; 0
235117.624; 24.116; 12.4507; 6.92554; -3.82363; 1.19539; 0; 0
235118.624; 23.974; 12.267; 6.92268; 2.97984; 0.187113; 0; 0
235119.624; 23.4359; 11.8812; 6.91982; -3.88917; 0.533614; 0; 0
235120.624; 23.0871; 11.5987; 6.91696; -2.90179; 0.618451; 0; 0
