tow; prn12; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); res-rg; res-carr 
232797.624; 89; 2281829.55078; -13292.69921875; 13292.69921875; -1.19911e+07; 1.20044e+07; 0; 0; -0; -0; 0; 654.115; 488.462; 12638.6; -1.19917e+07; 0; 0
232798.624; 89; 2281717.9834; -13875.75390625; 583.0546875; 586.291; -3.23587; 0; 0; -0; -0; 0; 653.617; 488.091; -70.5625; -67.3266; 0; 0
232799.624; 89; 2281606.11816; -14458.763671875; 583.009765625; 587.856; -4.84601; 0; 0; -0; -0; 0; 653.119; 487.719; -70.1096; -65.2635; 0; 0
232800.624; 89; 2281493.74805; -15041.0966796875; 582.3330078125; 590.509; -8.17594; 0; 0; -0; -0; 0; 652.621; 487.347; -70.2884; -62.1125; 0; 0
232801.624; 89; 2281382.19727; -15622.7958984375; 581.69921875; 586.203; -4.50409; 0; 0; -0; -0; 0; 652.124; 486.975; -70.4244; -65.9203; 0; 0
232802.624; 89; 2281270.89941; -16204.1572265625; 581.361328125; 584.874; -3.51283; 0; 0; -0; -0; 0; 651.626; 486.604; -70.2643; -66.7515; 0; 0
232803.624; 89; 2281159.86426; -16784.84375; 580.6865234375; 583.494; -2.80716; 0; 0; -0; -0; 0; 651.128; 486.232; -70.4412; -67.634; 0; 0
232804.624; 89; 2281049.49121; -17365.3896484375; 580.5458984375; 580.014; 0.531622; 0; 0; -0; -0; 0; 650.63; 485.86; -70.0839; -70.6155; 0; 0
232805.624; 89; 2280937.36523; -17945.40625; 580.0166015625; 589.226; -9.20938; 0; 0; -0; -0; 0; 650.132; 485.488; -70.1152; -60.9058; 0; 0
232806.624; 89; 2280829.00781; -18524.5732421875; 579.1669921875; 569.422; 9.7449; 0; 0; -0; -0; 0; 649.634; 485.116; -70.4668; -80.2117; 0; 0
232807.624; 89; 2280719.12402; -19103.65625; 579.0830078125; 577.443; 1.6398; 0; 0; -0; -0; 0; 649.136; 484.744; -70.0528; -71.6926; 0; 0
232808.624; 89; 2280610.08594; -19681.8486328125; 578.1923828125; 572.999; 5.19337; 0; 0; -0; -0; 0; 648.638; 484.372; -70.4453; -75.6387; 0; 0
232809.624; 89; 2280498.9541; -20260.146484375; 578.2978515625; 584.002; -5.70389; 0; 0; -0; -0; 0; 648.14; 484; -69.8417; -64.1378; 0; 0
232810.624; 89; 2280389.97754; -20837.9765625; 577.830078125; 572.676; 5.15438; 0; 0; -0; -0; 0; 647.642; 483.628; -69.8114; -74.9658; 0; 0
232811.624; 89; 2280282.00488; -21414.82421875; 576.84765625; 567.4; 9.44752; 0; 0; -0; -0; 0; 647.143; 483.256; -70.2957; -79.7433; 0; 0
232812.624; 89; 2280170.6377; -21991.431640625; 576.607421875; 585.239; -8.6311; 0; 0; -0; -0; 0; 646.645; 482.884; -70.0378; -61.4067; 0; 0
232813.624; 89; 2280062.72461; -22567.6669921875; 576.2353515625; 567.087; 9.14826; 0; 0; -0; -0; 0; 646.147; 482.512; -69.9116; -79.0598; 0; 0
232814.624; 89; 2279955.92969; -23142.9736328125; 575.306640625; 561.211; 14.0955; 0; 0; -0; -0; 0; 645.649; 482.14; -70.3421; -84.4377; 0; 0
232815.624; 89; 2279845.88867; -23717.7666015625; 574.79296875; 578.269; -3.47647; 0; 0; -0; -0; 0; 645.15; 481.768; -70.3575; -66.881; 0; 0
