time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]; bias1[Hz]; bias2[Hz]
237859.64; 3.89099; 2.42826; 5.94529; -1.39484; -0.00528079; 0; 0
237860.64; 2.77482; 1.75062; 5.94212; -1.75652; -0.0820546; 0; 0
237861.64; 2.0503; 1.47818; 5.93897; 1.20145; -0.151649; 0; 0
237862.64; 3.3827; 1.84722; 5.93581; -1.76022; 0.115623; 0; 0
237863.64; 3.49493; 1.73539; 5.93266; -1.45062; -0.0860352; 0; 0
237864.64; 3.76731; 1.83125; 5.92951; -1.42573; 0.0354867; 0; 0
237865.64; 4.36075; 2.05023; 5.92636; -3.1749; -0.278385; 0; 0
237866.64; 4.72876; 2.02728; 5.92322; -2.27163; -0.20575; 0; 0
237867.64; 5.27175; 2.34061; 5.92008; -3.07507; -0.241078; 0; 0
237868.64; 5.56775; 2.38442; 5.91694; -2.43577; -0.29062; 0; 0
237869.64; 6.03735; 2.44253; 5.9138; -2.12048; 0.156605; 0; 0
237870.64; 6.07231; 2.42647; 5.91067; 2.26613; -0.151961; 0; 0
237871.64; 6.17032; 2.51682; 5.90754; -1.73679; -0.0876125; 0; 0
237872.64; 6.18392; 2.52198; 5.90441; -2.02738; -0.288453; 0; 0
237873.64; 5.94221; 2.40641; 5.90128; 1.73728; -0.241596; 0; 0
237874.64; 5.47982; 2.14695; 5.89816; 1.74192; -0.337606; 0; 0
237875.64; 5.24568; 2.05113; 5.89504; 2.04992; -0.491675; 0; 0
237876.64; 4.856; 1.91474; 5.89192; 1.46193; -0.24896; 0; 0
237877.64; 4.80001; 1.89356; 5.88881; -3.07131; -0.0809902; 0; 0
237878.64; 4.55701; 1.76118; 5.88569; 1.73101; -0.49315; 0; 0
237879.64; 4.27876; 1.70229; 5.88258; -2.83942; -0.343708; 0; 0
237880.64; 4.40059; 1.78978; 5.87948; -2.47221; -0.267239; 0; 0
