time;bias-band1;bias-band2
237801.64;0;0
237802.64;-140.246288306;0
237803.64;-140.260760177;0
237804.64;-140.324072563;0
237805.64;-140.308620574;0
237806.64;-140.318261709;0
237807.64;-140.330876625;0
237808.64;-140.239389329;0
237809.64;-140.1319517;0
237810.64;-140.145257465;0
237811.64;-140.02223239;0
237812.64;-140.358529294;0
237813.64;-140.146984935;0
237814.64;-140.034774651;0
237815.64;-140.190836076;0
237816.64;-140.019409056;0
237817.64;-139.563839723;0
237818.64;-139.669483149;0
237819.64;-139.88520368;0
237820.64;-139.795264107;0
237821.64;-139.780198412;0
237822.64;-139.831265046;0
237823.64;-139.702039839;0
237824.64;-139.518398194;0
237825.64;-139.583551781;0
237826.64;-139.624636818;0
237827.64;-139.599657869;0
237828.64;-139.467560178;0
237829.64;-139.54646895;0
237830.64;-139.602766034;0
237831.64;-139.568102175;0
237832.64;-139.431181144;0
237833.64;-139.341108878;0
237834.64;-139.41355318;0
237835.64;-139.50719897;0
237836.64;-139.439739798;0
237837.64;-139.180919204;0
237838.64;-139.250703256;0
237839.64;-139.426824404;0
237840.64;-139.495503998;0
237841.64;-139.155533769;0
237842.64;-139.030179343;0
237843.64;-139.037919569;0
237844.64;-139.284724416;0
237845.64;-139.121635018;0
237846.64;-139.191293155;0
237847.64;-139.185014751;0
237848.64;-139.129707858;0
237849.64;-139.01097297;0
237850.64;-138.848290582;0
237851.64;-138.890249986;0
237852.64;-138.662008881;0
237853.64;-138.423525787;0
237854.64;-138.680656473;0
237855.64;-138.853679761;0
237856.64;-138.710229325;0
237857.64;-138.589071695;0
237858.64;-138.529268835;0
237859.64;-138.664553826;0
237860.64;-138.642115165;0
237861.64;-138.391527721;0
237862.64;-138.433516224;0
237863.64;-138.451146542;0
237864.64;-138.254907319;0
237865.64;-138.156219276;0
237866.64;-138.25516806;0
237867.64;-138.280495407;0
237868.64;-138.253474272;0
237869.64;-138.003674154;0
237870.64;-138.279683537;0
237871.64;-138.08363108;0
237872.64;-138.341095719;0
237873.64;-138.079250118;721.533034483
237874.64;-137.875078732;721.892602235
237875.64;-137.671881909;722.236858257
237876.64;-137.740784607;722.581081597
237877.64;-137.866728333;722.925239154
237878.64;-138.012279647;723.269341907
237879.64;-137.887697099;723.613476438
237880.64;-137.722104436;723.957597441
237881.64;-137.787427449;724.301645243
237882.64;-137.98049279;724.645691289
237883.64;-137.971030323;724.989698639
237884.64;-137.93897017;725.333695317
237885.64;-137.770974591;725.677655687
237886.64;-137.982488051;726.021607237
237887.64;-138.008870511;726.365504327
237888.64;-137.581992651;726.709379644
237889.64;-137.949418295;727.053242384
237890.64;-137.689157433;727.397041228
237891.64;-137.726569294;618.189575316
237892.64;-137.793121092;618.551361986
237893.64;-137.573162002;618.907191421
237894.64;-137.645601824;619.2629975
237895.64;-137.745247364;619.618749375
237896.64;-137.632772229;619.974508831
237897.64;-137.554497494;620.330255232
237898.64;-137.46594342;620.685935978
237899.64;-137.407818785;621.041615719
237900.64;-137.359715134;621.396758767
237901.64;-137.36319805;621.752386101
237902.64;-137.445795855;622.1080172
237903.64;-137.410240658;622.463585138
237904.64;-137.281942858;622.819152161
237905.64;-137.298039168;623.174630998
237906.64;-137.267436271;623.530174433
237907.64;-137.237244033;623.885619548
237908.64;-137.134432645;-185.260544046
237909.64;-137.162929591;-185.010822011
237910.64;-137.122261828;-184.750856156
237911.64;-137.145124055;-184.490967477
237912.64;-137.008383067;-184.231011033
237913.64;-136.847525392;-183.97109853
237914.64;-137.093668703;-183.711186288
237915.64;-137.335369488;-183.451324562
237916.64;-137.292103257;-183.191400006
237917.64;-137.318446678;-182.931570697
237918.64;-137.243195892;-182.671670456
237919.64;-137.170170412;-182.411852853
237920.64;-137.157848402;-182.151990678
237921.64;-137.032900927;-181.892172392
237922.64;-136.895283645;-181.632343043
237923.64;-136.703936759;-181.372540092
237924.64;-136.631996607;-181.11273903
237925.64;-136.72721571;-180.85294014
237926.64;-136.843009858;-180.593161687
237927.64;-136.875417353;-180.333381299
237928.64;-136.808037854;-180.073615515
237929.64;-136.839695379;-179.813855714
237930.64;-136.679427841;-179.554141174
237931.64;-136.709776904;-179.294403407
237932.64;-136.867096605;-179.034677825
237933.64;-136.73910231;-178.774986593
237934.64;-136.910557891;-178.515289726
237935.64;-136.924970694;-178.25557475
237936.64;-136.799950672;-177.995887438
237937.64;-136.747432129;-177.736221692
237938.64;-136.500038101;-177.47654314
237939.64;-136.530175535;-177.216906292
237940.64;-136.730488658;-176.957261894
237941.64;-136.785864149;-176.697636569
237942.64;-136.798518527;-176.438031012
237943.64;-136.680911476;-176.178427437
237944.64;-136.600852784;-175.918834244
237945.64;-136.491692333;-175.659249089
237946.64;-136.675504202;-175.399644828
237947.64;-136.665612415;-175.140064603
237948.64;-136.557489587;-174.880513567
237949.64;-136.59295869;-174.620970679
237950.64;-136.515750853;-174.361428716
237951.64;-136.526453348;-174.101911616
237952.64;-136.533088099;-173.842369709
237953.64;-136.397786784;-173.58291835
237954.64;-136.210475739;-173.32338729
237955.64;-136.445709958;-173.063897872
237956.64;-136.480376243;-172.804434979
237957.64;-136.344731925;-172.544970396
237958.64;-136.096620755;-172.28548908
237959.64;-136.16319663;-172.02605979
237960.64;-136.060614014;-171.76662308
237961.64;-136.004207393;-171.50721486
237962.64;-136.03157353;-171.247776847
237963.64;-136.099807855;-170.988391838
237964.64;-136.126046872;-170.728992598
237965.64;-136.052867457;-170.469569743
237966.64;-136.021601983;-170.210243099
237967.64;-136.040289948;-169.950861269
237968.64;-135.936756768;-169.691518704
237969.64;-135.793379042;-169.432145982
237970.64;-135.712562122;-169.17282449
237971.64;-135.693090977;-168.913512027
237972.64;-135.53769502;-168.654201015
237973.64;-135.447925876;-168.394871151
237974.64;-135.348058558;-168.135589816
237975.64;-135.40348596;-167.87632545
237976.64;-135.45191649;-167.617065902
237977.64;-135.262079582;-167.357804083
237978.64;-135.299221294;-167.098585282
237979.64;-135.351194411;-166.83931472
237980.64;-135.428824969;-166.580092021
237981.64;-135.45311479;-166.320854601
237982.64;-135.297585438;-166.061661549
237983.64;-135.323088942;-165.802429738
237984.64;-135.439091573;-165.543278057
237985.64;-135.309758344;-165.284060668
237986.64;-135.356893671;-165.024942437
237987.64;-135.417279715;-164.765763938
237988.64;-135.4687176;-164.506612501
237989.64;-135.425025925;-164.247479771
237990.64;-135.323013636;-163.988363323
237991.64;-135.401481869;-163.729252444
237992.64;-135.362379776;-163.470141981
237993.64;-135.402794598;-163.211031154
237994.64;-135.231321719;-162.951961571
237995.64;-134.948927501;-162.692892715
237996.64;-134.818750883;-162.433857948
237997.64;-134.656298343;-162.174772993
237998.64;-135.099789797;-161.915750046
237999.64;-135.13722007;-161.656717633
238000.64;-135.21182074;-161.397694161
238001.64;-135.23328651;-161.138696371
238002.64;-135.200079954;-160.879669984
238003.64;-134.937052898;-160.620711819
238004.64;-134.788682371;-160.361745945
238005.64;-135.31959207;-160.102764527
238006.64;-134.967162094;-159.843786543
238007.64;-135.025097595;-159.584835263
238008.64;-134.699495447;-159.325913683
238009.64;-134.652782548;-159.066994653
238010.64;-134.827428321;-158.808084793
238011.64;-134.885650633;-158.549181113
238012.64;-134.633382533;-158.290290735
238013.64;-134.644183411;-158.031392241
238014.64;-134.723767728;-157.772515808
238015.64;-134.83269939;-157.513668861
238016.64;-134.793622762;-157.254843307
238017.64;-134.708818164;-156.995981039
238018.64;-134.756080193;-156.737158445
238019.64;-134.666458384;-156.47833213
238020.64;-134.783498521;-156.21951396
238021.64;-134.814275393;-155.960744338
238022.64;-134.561026933;-155.701944614
238023.64;-134.659391192;-155.443172726
238024.64;-134.773635781;-155.184428001
238025.64;-134.674370749;-154.92565198
238026.64;-134.499198432;-154.666923221
238027.64;-134.554270813;-154.408148447
238028.64;-134.415650297;-154.149441819
238029.64;-134.120645771;-153.890746591
238030.64;-134.128363696;-153.63205372
238031.64;-134.232762822;-153.373354346
238032.64;-134.025481165;-153.114667185
238033.64;-133.942077834;-152.856002063
238034.64;-134.007300105;-152.597340787
238035.64;-134.06590169;-152.3386958
238036.64;-133.971442655;-152.080059182
238037.64;-134.209426262;-616.552290363
238038.64;-133.986833459;-616.334172288
238039.64;-133.82991776;-616.116118672
238040.64;-133.886934033;-615.89808171
238041.64;-133.913285401;-615.680027357
238042.64;-133.73883313;-615.461940317
238043.64;-133.863872982;-615.243897741
238044.64;-133.819971421;-615.025834762
238045.64;-134.003071551;-614.8078177
238046.64;-133.630333804;-614.589777782
238047.64;-133.877297852;-614.371705726
238048.64;-134.049518177;-614.153668825
238049.64;-133.672151125;-148.625905967
238050.64;-133.753785438;-148.460281723
238051.64;-134.041304527;-148.201812368
238052.64;-133.824153876;-147.9433424
238053.64;-133.843405705;-147.684926416
238054.64;-133.880568608;-147.426442799
238055.64;-133.948268922;-147.168017806
238056.64;-133.857614082;-146.90963185
238057.64;-133.925954912;-146.651218454
238058.64;-133.61244752;-146.39279135
238059.64;-133.710513893;-146.134407744
238060.64;-133.945901162;-145.876043378
238061.64;-133.816498248;-145.617687776
238062.64;-133.941195411;-145.35933132
238063.64;-133.848161109;-145.100982784
238064.64;-133.87583721;-144.842634426
238065.64;-133.850207396;-144.584308917
238066.64;-133.834237538;-144.326050392
238067.64;-133.72291048;-144.067723853
238068.64;-133.500664155;-143.809433759
238069.64;-133.389810228;-143.551160058
238070.64;-133.512557205;-143.292886725
238071.64;-133.365200892;-143.034619625
238072.64;-133.677672822;-142.776400189
238073.64;-133.428194886;-142.518145942
238074.64;-133.385457113;-142.259940585
238075.64;-133.123525959;-142.001699366
238076.64;-133.059320336;-141.743508355
238077.64;-133.250985514;-141.485314062
238078.64;-133.276876643;-141.22715443
238079.64;-133.394190655;-140.968978304
238080.64;-133.324600907;-140.710837362
238081.64;-133.137260259;-140.452690532
238082.64;-133.215962482;-140.194549896
238083.64;-133.131800442;-139.936412604
238084.64;-133.132620212;-139.678296241
238085.64;-133.098530913;-139.420201801
238086.64;-133.198403052;-139.162083537
238087.64;-133.261994112;-138.904027043
238088.64;-133.056078667;-138.64596844
238089.64;-132.911526632;-138.387899496
238090.64;-133.045325161;-138.129864335
238091.64;-132.93755083;-137.87182999
238092.64;-132.802219513;-137.613809992
238093.64;-132.840977288;-137.355803183
238094.64;-132.970942776;-137.097783975
238095.64;-132.97553859;-136.839800118
238096.64;-132.929380107;-136.581799016
238097.64;-132.991681806;-136.323853875
238098.64;-132.923141612;432.179471303
238099.64;-133.047159608;432.417336564
238100.64;-132.725746288;432.644879251
238101.64;-132.680089543;432.872435288
238102.64;-132.744628143;433.099951974
238103.64;-132.88283968;433.327425427
238104.64;-132.706016217;433.554900976
238105.64;-132.640369142;433.782353815
238106.64;-132.823379508;434.009767118
238107.64;-132.616759131;434.237174593
238108.64;-132.579298709;434.464568136
238109.64;-132.469617269;434.691929619
238110.64;-132.287889063;434.919267283
238111.64;-132.495815645;435.146601475
238112.64;-132.079143516;435.373906307
238113.64;-132.627186612;435.601175062
238114.64;-132.607453242;435.828437793
238115.64;-132.568989939;436.055680035
238116.64;-132.594594919;436.282930242
238117.64;-132.536289327;-131.166834576
238118.64;-132.58186822;-130.909077578
238119.64;-132.645297924;-130.651372169
238120.64;-132.384902043;-130.393688354
238121.64;-132.314360783;-130.13598568
238122.64;-132.259880543;-129.878304393
238123.64;-132.137235403;-129.620610946
238124.64;-132.125943898;-129.362961527
238125.64;-132.321132998;-129.10527702
238126.64;-132.446825676;-128.847646972
238127.64;-132.646161767;-128.590021779
238128.64;-132.499032093;-128.332397888
238129.64;-132.181854413;-128.074800123
238130.64;-132.292193578;-127.817207677
238131.64;-132.341634142;-127.559613742
238132.64;-132.412204056;-127.302047903
238133.64;-132.399176412;-127.044469652
238134.64;-132.392273231;-126.786937052
238135.64;-132.246460638;-126.529369739
238136.64;-132.277273541;-126.271827929
238137.64;-132.32336174;-126.014341498
238138.64;-132.358708874;-125.756831174
238139.64;-132.301890518;-125.499316114
238140.64;-132.135950829;-125.24185568
238141.64;-132.287218325;-124.984419882
238142.64;-132.337097824;-124.726941201
238143.64;-132.256967459;-124.469485617
238144.64;-132.203009631;-124.212045191
238145.64;-132.136768432;-123.954606465
238146.64;-132.281315394;443.107187625
238147.64;-132.235067353;443.316304921
238148.64;-132.14351808;443.542847866
238149.64;-132.295916535;443.769388852
238150.64;-132.49094898;443.995884321
238151.64;-132.303387723;444.222360608
238152.64;-131.983000388;444.448852862
238153.64;-132.002341151;444.675301837
238154.64;-132.062895777;444.901708803
238155.64;-132.200454918;445.128100013
238156.64;-132.397932821;445.354502222
238157.64;-132.299987346;445.580839243
238158.64;-132.235659711;-120.609119388
238159.64;-132.233817992;-120.351844436
238160.64;-132.393554585;-120.094583611
238161.64;-132.405832132;-119.837347942
238162.64;-132.510537475;-119.580104911
238163.64;-132.244959414;-119.322905682
238164.64;-132.11900711;-119.065672
238165.64;-132.113639795;-118.808487511
238166.64;-132.246729866;-118.551264005
238167.64;-132.298668027;-118.294146622
238168.64;-132.223654083;-118.0370096
238169.64;-132.057410855;-117.779838484
238170.64;-132.178144137;-117.522718079
238171.64;-132.243389645;-117.265566282
238172.64;-132.213955576;-117.008452976
238173.64;-132.110522771;-116.751323502
238174.64;-132.067875733;-116.494252715
238175.64;-132.046740767;-116.237188532
238176.64;-131.952351877;-115.980088214
238177.64;-131.86977982;-115.72307562
238178.64;-132.01214228;-115.466009988
238179.64;-131.709274466;-115.20896697
238180.64;-131.743486789;-114.95192684
238181.64;-131.752574436;-114.694939786
238182.64;-131.994274576;-114.437920332
238183.64;-132.080958368;-114.180960292
238184.64;-132.008464114;-113.923977259
238185.64;-131.696751724;-113.667022922
238186.64;-131.495989901;-113.410057865
238187.64;-131.706976178;297.709032776
238188.64;-131.728337674;297.946926118
238189.64;-131.615930542;298.177107511
238190.64;-131.65920363;298.40728894
238191.64;-131.549031603;298.637407734
238192.64;-131.440800496;298.867568299
238193.64;-131.513062448;299.097698372
238194.64;-131.511522009;299.327822778
238195.64;-131.475996825;299.557952388
238196.64;-131.451482731;299.788039426
238197.64;-131.332653357;300.018111809
238198.64;-131.353647221;300.248207941
238199.64;-131.656711741;300.478293961
238200.64;-131.654561739;300.708333297
238201.64;-131.422137807;300.938382202
238202.64;-131.293696226;301.168391173
238203.64;-131.339042419;301.398435531
238204.64;-131.477246697;301.628410245
238205.64;-131.510707673;301.858439944
238206.64;-131.22922371;302.088413961
238207.64;-131.378973139;302.318406972
238208.64;-131.501614496;302.54837758
238209.64;-131.298490564;302.778345191
238210.64;-131.251864988;303.008272815
238211.64;-131.338828979;303.238221283
238212.64;-131.364107499;303.468144753
238213.64;-131.311667487;303.69806349
238214.64;-131.256733117;303.927967061
238215.64;-131.40570265;304.157876983
238216.64;-131.38812813;304.38773258
238217.64;-131.481904354;304.617597561
238218.64;-131.508721787;304.847446202
238219.64;-131.178083431;305.077332089
238220.64;-131.131334384;305.307136225
238221.64;-131.169540092;305.536956521
238222.64;-131.192932734;305.766770407
238223.64;-131.098563097;305.996568432
238224.64;-130.977247449;306.226391309
238225.64;-131.226098484;306.456165976
238226.64;-131.160097783;306.685958424
238227.64;-131.087559434;306.915684748
238228.64;-131.202062552;307.145469168
238229.64;-131.108871418;307.375168201
238230.64;-130.795539264;307.604911363
238231.64;-130.612113852;307.834617338
238232.64;-130.722065777;308.064327505
238233.64;-130.889463096;308.294036152
238234.64;-130.937757692;308.523716504
238235.64;-131.08000731;308.753395615
238236.64;-130.874687608;308.983023318
238237.64;-130.532393867;309.212704563
238238.64;-130.996836049;309.44231491
238239.64;-131.210466762;309.671961749
238240.64;-131.294316668;309.901531727
238241.64;-130.784537814;310.131170882
238242.64;-130.920930361;310.360765082
238243.64;-131.234684565;310.590354035
238244.64;-130.814267663;310.819932321
238245.64;-130.887464456;311.049480592
238246.64;-131.044439094;311.279052988
238247.64;-130.895443155;311.508559326
238248.64;-130.8706525;311.738088247
238249.64;-130.589634235;311.967612025
238250.64;-130.653151302;312.197133397
238251.64;-130.745427299;312.42661774
238252.64;-130.833252655;312.65608956
238253.64;-130.796298295;312.88555324
238254.64;-130.670288662;313.11501117
238255.64;-130.732365045;313.344485661
238256.64;-130.706639862;313.573895034
238257.64;-130.630867184;313.803356991
238258.64;-130.562800581;314.032747756
238259.64;-130.556252955;314.262155776
238260.64;-130.475337079;314.491543352
238261.64;-130.434073391;314.720926621
238262.64;-130.364521311;314.950294824
238263.64;-130.577995511;315.179652732
238264.64;-130.688956658;315.408999875
238265.64;-130.359129592;315.638340083
238266.64;-130.359954657;315.867685696
238267.64;-130.279830973;316.096965087
238268.64;-130.260201371;316.326296299
238269.64;-130.453521984;316.555592194
238270.64;-130.513485767;316.784853029
238271.64;-130.569330806;317.014144695
238272.64;-130.590272425;317.243400497
238273.64;-130.443470113;317.472635636
238274.64;-130.343506332;317.701911752
238275.64;-130.321182172;317.931112689
238276.64;-130.472313902;318.160313993
238277.64;-130.392975472;318.389523508
238278.64;-130.50001345;318.618702999
238279.64;-130.572277074;318.847897175
238280.64;-130.580145394;319.077049378
238281.64;-130.509118975;319.306216226
238282.64;-130.534777289;319.535375785
238283.64;-130.412449341;319.764503729
238284.64;-130.42159765;319.993613314
238285.64;-130.5373677;320.222739202
238286.64;-130.384439398;320.451830286
238287.64;-130.069445753;320.680908481
238288.64;-129.880220121;320.910004266
238289.64;-130.338107983;321.139070458
238290.64;-130.305984452;321.368118545
238291.64;-129.980120046;321.597180869
238292.64;-129.931072664;321.826193469
238293.64;-129.994726519;322.055216324
238294.64;-130.085958606;322.284211287
238295.64;-130.230514273;322.513217863
238296.64;-130.403028878;322.742217372
238297.64;-130.431822925;322.971186668
238298.64;-130.037984768;323.200163828
238299.64;-130.081488251;323.429100418
238300.64;-130.193930425;323.658065935
238301.64;-130.261125824;323.886975998
238302.64;-130.069344484;324.115895888
238303.64;-130.075632397;324.344803573
238304.64;-130.06692112;324.573691897
238305.64;-129.949798448;324.802600832
238306.64;-129.922961091;325.031483335
238307.64;-129.782117243;325.26031461
238308.64;-129.643817526;325.489162943
238309.64;-129.913342754;325.718009422
238310.64;-129.960827994;325.946834983
238311.64;-129.792535976;326.175642005
238312.64;-129.727746334;326.404462083
238313.64;-130.120790123;326.633272161
238314.64;-129.962759486;326.862015131
238315.64;-129.711519677;327.090795918
238316.64;-129.594147629;327.319541734
238317.64;-129.678908705;327.548302021
238318.64;-129.655706438;327.777026397
238319.64;-129.822348751;328.005761429
238320.64;-129.757012973;328.234475781
238321.64;-129.74014189;328.463163179
238322.64;-129.836950421;328.691862156
238323.64;-129.672259968;328.920559221
238324.64;-129.804677538;329.149208882
238325.64;-129.860153595;329.377872105
238326.64;-129.970948183;329.606512056
238327.64;-129.767099241;329.835158529
238328.64;-129.704343689;330.063748278
238329.64;-129.636845351;330.292378295
238330.64;-129.797158139;330.520975304
238331.64;-129.849471092;330.749569592
238332.64;-129.830940843;330.978121748
238333.64;-129.910450001;331.206693028
238334.64;-129.881396939;331.435254733
238335.64;-129.689291533;331.663791758
238336.64;-129.783909672;331.892337173
238337.64;-129.766451995;332.120853231
238338.64;-129.670941985;332.349325422
238339.64;-129.72657534;332.577840179
238340.64;-129.595722524;332.806327719
238341.64;-129.521751998;333.034781187
238342.64;-129.832165423;333.263233376
238343.64;-129.865831946;333.491696774
238344.64;-129.666146441;333.72012973
238345.64;-129.540478868;333.948573907
238346.64;-129.536388386;334.176948553
238347.64;-129.665285947;334.405363099
238348.64;-129.609448792;334.633752828
238349.64;-129.550706036;334.862130354
238350.64;-129.283773058;335.090496597
238351.64;-129.483852561;335.318866808
238352.64;-129.625592407;335.547204308
