tow; prn8; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); res-rg; res-carr 
237802.64; 65; 1062984.33203; 1073.658203125; -1073.658203125; -1070.25; -3.41173; 0; 0; -0; -0; 0; -933.427; -697.04; -140.231; -136.819; -2.86096e+07; 0
237803.64; 65; 1063188.20312; 2147.7880859375; -1074.1298828125; -1071.35; -2.78005; 0; 0; -0; -0; 0; -933.891; -697.386; -140.239; -137.459; -2.86094e+07; 0
237804.64; 65; 1063393.26074; 3222.4599609375; -1074.671875; -1077.59; 2.91318; 0; 0; -0; -0; 0; -934.354; -697.732; -140.318; -143.231; -2.86092e+07; 0
237805.64; 65; 1063597.42773; 4297.564453125; -1075.1044921875; -1072.9; -2.19971; 0; 0; -0; -0; 0; -934.818; -698.078; -140.287; -138.087; -2.8609e+07; 0
237806.64; 65; 1063802.27637; 5373.15234375; -1075.587890625; -1076.49; 0.89894; 0; 0; -0; -0; 0; -935.281; -698.424; -140.307; -141.206; -2.86088e+07; 0
237807.64; 65; 1064006.54004; 6449.2080078125; -1076.0556640625; -1073.41; -2.64282; 0; 0; -0; -0; 0; -935.745; -698.77; -140.311; -137.668; -2.86086e+07; 0
237808.64; 65; 1064210.71582; 7525.646484375; -1076.4384765625; -1072.95; -3.4875; 0; 0; -0; -0; 0; -936.208; -699.116; -140.231; -136.743; -2.86084e+07; 0
237809.64; 65; 1064414.80469; 8602.431640625; -1076.78515625; -1072.49; -4.29092; 0; 0; -0; -0; 0; -936.671; -699.462; -140.114; -135.823; -2.86082e+07; 0
237810.64; 65; 1064619.95801; 9679.697265625; -1077.265625; -1078.09; 0.82235; 0; 0; -0; -0; 0; -937.134; -699.808; -140.131; -140.954; -2.8608e+07; 0
237811.64; 65; 1064825.79199; 10757.294921875; -1077.59765625; -1081.66; 4.06723; 0; 0; -0; -0; 0; -937.598; -700.154; -140; -144.067; -2.86078e+07; 0
237812.64; 65; 1065032.1416; 11835.703125; -1078.408203125; -1084.37; 5.96631; 0; 0; -0; -0; 0; -938.061; -700.5; -140.347; -146.314; -2.86076e+07; 0
237813.64; 65; 1065236.86719; 12914.3564453125; -1078.6533203125; -1075.84; -2.8131; 0; 0; -0; -0; 0; -938.524; -700.846; -140.129; -137.316; -2.86074e+07; 0
237814.64; 65; 1065443.19824; 13993.3662109375; -1079.009765625; -1084.28; 5.26725; 0; 0; -0; -0; 0; -938.987; -701.192; -140.023; -145.29; -2.86072e+07; 0
237815.64; 65; 1065649.19824; 15072.998046875; -1079.6318359375; -1082.54; 2.90547; 0; 0; -0; -0; 0; -939.45; -701.537; -140.182; -143.087; -2.8607e+07; 0
237816.64; 65; 1065855.25098; 16152.9091796875; -1079.9111328125; -1082.81; 2.90329; 0; 0; -0; -0; 0; -939.913; -701.883; -139.998; -142.901; -2.86067e+07; 0
237817.64; 65; 1066060.27344; 17232.8349609375; -1079.92578125; -1077.4; -2.52548; 0; 0; -0; -0; 0; -940.376; -702.229; -139.55; -137.024; -2.86065e+07; 0
237818.64; 65; 1066268.48926; 18313.328125; -1080.4931640625; -1094.18; 13.6884; 0; 0; -0; -0; 0; -940.839; -702.575; -139.654; -153.342; -2.86063e+07; 0
237819.64; 65; 1066473.25; 19394.5009765625; -1081.1728515625; -1076.02; -5.14789; 0; 0; -0; -0; 0; -941.302; -702.92; -139.871; -134.723; -2.86061e+07; 0
237820.64; 65; 1066678.60449; 20476.052734375; -1081.5517578125; -1079.15; -2.40662; 0; 0; -0; -0; 0; -941.765; -703.266; -139.787; -137.38; -2.86059e+07; 0
237821.64; 65; 1066884.78711; 21558.0439453125; -1081.9912109375; -1083.5; 1.50576; 0; 0; -0; -0; 0; -942.228; -703.612; -139.763; -141.269; -2.86057e+07; 0
237822.64; 65; 1067089.67871; 22640.5556640625; -1082.51171875; -1076.71; -5.79909; 0; 0; -0; -0; 0; -942.691; -703.957; -139.821; -134.022; -2.86055e+07; 0
237823.64; 65; 1067294.68457; 23723.38671875; -1082.8310546875; -1077.31; -5.51799; 0; 0; -0; -0; 0; -943.154; -704.303; -139.677; -134.159; -2.86053e+07; 0
237824.64; 65; 1067500.92871; 24806.5048828125; -1083.1181640625; -1083.82; 0.70211; 0; 0; -0; -0; 0; -943.616; -704.649; -139.502; -140.204; -2.86051e+07; 0
237825.64; 65; 1067705.60156; 25890.1513671875; -1083.646484375; -1075.56; -8.08339; 0; 0; -0; -0; 0; -944.079; -704.994; -139.567; -131.484; -2.86049e+07; 0
237826.64; 65; 1067912.0293; 26974.3017578125; -1084.150390625; -1084.79; 0.634675; 0; 0; -0; -0; 0; -944.542; -705.34; -139.609; -140.243; -2.86047e+07; 0
237827.64; 65; 1068118.50879; 28058.88671875; -1084.5849609375; -1085.06; 0.472094; 0; 0; -0; -0; 0; -945.005; -705.685; -139.58; -140.053; -2.86045e+07; 0
237828.64; 65; 1068324.50879; 29143.81640625; -1084.9296875; -1082.54; -2.39238; 0; 0; -0; -0; 0; -945.467; -706.031; -139.463; -137.07; -2.86043e+07; 0
237829.64; 65; 1068531.51172; 30229.2724609375; -1085.4560546875; -1087.81; 2.35168; 0; 0; -0; -0; 0; -945.93; -706.376; -139.526; -141.878; -709198; 0
237830.64; 65; 1068737.30273; 31315.212890625; -1085.9404296875; -1081.44; -4.50134; 0; 0; -0; -0; 0; -946.392; -706.722; -139.548; -135.047; -709206; 0
237831.64; 65; 1068945.43945; 32401.578125; -1086.365234375; -1093.77; 7.4006; 0; 0; -0; -0; 0; -946.855; -707.067; -139.51; -146.911; -709217; 0
237832.64; 65; 1069151.99805; 33488.2724609375; -1086.6943359375; -1085.47; -1.2216; 0; 0; -0; -0; 0; -947.317; -707.412; -139.377; -138.155; -709225; 0
