time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]; bias1[Hz]; bias2[Hz]
564919.756; 6.64521; 2.10192; 5.35712; 0.472592; 0.0028771; 0; 0
564920.756; 8.95334; 3.04616; 5.35516; 0.49256; -0.0230642; 0; 0
564921.756; 8.00326; 2.96325; 5.35319; 1.2113; -0.321558; 0; 0
564922.756; 6.87572; 1.72277; 5.35123; -1.83787; 0.320419; 0; 0
564923.756; 6.07881; 1.48101; 5.34928; 0.932517; 0.07587; 0; 0
564924.756; 5.12731; 1.21422; 5.34732; 1.86155; -0.0800943; 0; 0
564925.756; 4.54869; 1.43996; 5.34536; -1.5581; 0.206376; 0; 0
564926.756; 4.15135; 1.85978; 5.34341; 1.38317; 0.103644; 0; 0
564927.756; 3.95039; 1.84717; 5.34145; 1.01629; -0.0829943; 0; 0
564928.756; 3.87347; 1.72075; 5.3395; 2.59654; -0.0392929; 0; 0
564929.756; 3.57601; 2.0867; 5.33755; 1.72718; -0.242037; 0; 0
564930.756; 3.56269; 2.01366; 5.3356; 1.6762; -0.282139; 0; 0
564931.756; 3.38636; 1.84421; 5.33365; 2.27985; 0.127322; 0; 0
564932.756; 3.10246; 2.03956; 5.3317; -2.28171; -0.0512549; 0; 0
564933.756; 2.89635; 1.9788; 5.32975; 2.63226; -0.0615655; 0; 0
564934.756; 2.73587; 2.19335; 5.3278; -2.75121; 0.3349; 0; 0
564935.756; 2.60107; 2.24158; 5.32586; -2.9427; 0.238677; 0; 0
564936.756; 2.74549; 2.65965; 5.32391; -2.73422; 0.267305; 0; 0
564937.756; 3.05033; 3.05019; 5.32197; -3.70631; 0.720817; 0; 0
564938.756; 3.33499; 3.29536; 5.32003; -3.72737; 0.696391; 0; 0
564939.756; 3.84041; 3.70504; 5.31809; -2.7752; 0.723964; 0; 0
564940.756; 4.1245; 3.88922; 5.31615; -3.03309; 0.331767; 0; 0
564941.756; 4.59937; 4.18546; 5.31421; -3.4327; 0.399302; 0; 0
564942.756; 4.92902; 4.38734; 5.31227; -3.18122; 0.389663; 0; 0
564943.756; 5.36577; 4.7025; 5.31033; 1.83541; 0.298204; 0; 0
564944.756; 5.84472; 5.00919; 5.3084; -2.47235; 0.518925; 0; 0
564945.756; 6.2084; 5.26663; 5.30646; -1.8774; 0.634301; 0; 0
564946.756; 6.5612; 5.51748; 5.30453; -2.39708; 0.225762; 0; 0
564947.756; 7.00733; 5.82345; 5.3026; -2.59519; 0.62563; 0; 0
564948.756; 7.32786; 6.04745; 5.30067; -3.71253; 0.484663; 0; 0
564949.756; 7.47562; 6.16223; 5.29874; -1.90961; 0.392168; 0; 0
564950.756; 7.57702; 6.22055; 5.29681; 2.35603; 0.382696; 0; 0
564951.756; 7.77628; 6.35494; 5.29488; -3.18192; 0.602697; 0; 0
564952.756; 7.99468; 6.53516; 5.29295; -3.15534; 0.0856725; 0; 0
564953.756; 8.131; 6.62994; 5.29103; -3.06085; 0.492865; 0; 0
564954.756; 8.29826; 6.75846; 5.2891; -2.64567; 0.167303; 0; 0
564955.756; 8.3279; 6.80122; 5.28718; -3.393; 0.478691; 0; 0
564956.756; 8.59805; 7.00473; 5.28526; -2.99215; 0.31593; 0; 0
564957.756; 8.59942; 7.01452; 5.28334; -4.25042; 0.283673; 0; 0
564958.756; 8.83944; 7.16547; 5.28141; -3.06282; 0.465576; 0; 0
564959.756; 8.85424; 7.19464; 5.2795; -4.95242; 0.51781; 0; 0
564960.756; 8.9162; 7.25743; 5.27758; -3.62498; 0.441126; 0; 0
564961.756; 8.93527; 7.26929; 5.27566; -1.68237; 0.284387; 0; 0
564962.756; 8.69424; 7.10998; 5.27375; 1.68018; 0.134901; 0; 0
564963.756; 8.61897; 7.06495; 5.27183; -1.63307; 0.195483; 0; 0
564964.756; 8.52036; 7.00411; 5.26992; -1.19505; 0.355982; 0; 0
564965.756; 8.38836; 6.9211; 5.26801; -1.24265; 0.114929; 0; 0
564966.756; 8.25062; 6.83564; 5.2661; 1.45203; -0.0439537; 0; 0
564967.756; 8.1523; 6.76508; 5.26418; 1.8783; 0.145337; 0; 0
564968.756; 8.02281; 6.67681; 5.26227; -2.21648; 0.529021; 0; 0
564969.756; 7.77872; 6.51136; 5.26037; -2.73177; 0.279506; 0; 0
564970.756; 7.5961; 6.41559; 5.25846; 2.66876; 0.180443; 0; 0
564971.756; 7.45046; 6.31531; 5.25655; -1.23619; 0.0673837; 0; 0
564972.756; 7.20793; 6.14194; 5.25465; -2.14441; -0.098025; 0; 0
564973.756; 7.06495; 6.03893; 5.25274; 1.85783; -0.197988; 0; 0
564974.756; 6.93437; 5.95129; 5.25084; -1.11781; -0.305448; 0; 0
564975.756; 6.75737; 5.83549; 5.24894; -1.63102; 0.166975; 0; 0
564976.756; 6.54928; 5.69876; 5.24704; 2.49522; -0.50214; 0; 0
564977.756; 6.31132; 5.53797; 5.24514; 4.4556; -0.565697; 0; 0
