tow; prn8; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); res-rg; res-carr 
568018.756; 71; -218158.852539; 1772.0166015625; -1772.0166015625; -1769.65; -2.36288; 0; 0; -0; -0; 0; -1625.25; -1213.66; -146.765; -144.402; -2.98518e+07; 0
568019.756; 71; -217822.02832; 3544.0595703125; -1772.04296875; -1770.02; -2.01975; 0; 0; -0; -0; 0; -1625.67; -1213.97; -146.376; -144.357; -2.98515e+07; 0
568020.756; 71; -217483.633789; 5316.8046875; -1772.7451171875; -1778.28; 5.53015; 0; 0; -0; -0; 0; -1626.08; -1214.28; -146.664; -152.194; -2.98511e+07; 0
568021.756; 71; -217149.322266; 7090.421875; -1773.6171875; -1756.82; -16.7983; 0; 0; -0; -0; 0; -1626.5; -1214.59; -147.121; -130.323; -2.98508e+07; 0
568022.756; 71; -216808.973633; 8864.1796875; -1773.7578125; -1788.54; 14.7863; 0; 0; -0; -0; 0; -1626.91; -1214.9; -146.847; -161.634; -2.98505e+07; 0
568023.756; 71; -216471.416016; 10638.0537109375; -1773.8740234375; -1773.88; 0.00322757; 0; 0; -0; -0; 0; -1627.32; -1215.21; -146.549; -146.552; -2.98501e+07; 0
568024.756; 71; -216133.650391; 12412.5595703125; -1774.505859375; -1774.97; 0.46448; 0; 0; -0; -0; 0; -1627.74; -1215.52; -146.766; -147.231; -2.98498e+07; 0
568025.756; 71; -215797; 14187.650390625; -1775.0908203125; -1769.11; -5.98108; 0; 0; -0; -0; 0; -1628.15; -1215.83; -146.937; -140.956; -2.98494e+07; 0
568026.756; 71; -215459.338867; 15962.984375; -1775.333984375; -1774.42; -0.912755; 0; 0; -0; -0; 0; -1628.57; -1216.14; -146.766; -145.853; -2.98491e+07; 0
568027.756; 71; -215120.350586; 17738.7392578125; -1775.7548828125; -1781.4; 5.64056; 0; 0; -0; -0; 0; -1628.98; -1216.45; -146.772; -152.413; -2.98488e+07; 0
