tow; prn9; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); res-rg; res-carr 
568137.756; 69; -1546919.08398; -23879.7119140625; 23879.7119140625; 8.12911e+06; -8.10523e+06; 0; 0; -0; -0; 0; 1318.34; 984.472; 22561.4; 8.1278e+06; -3.11526e+07; 0
568138.756; 69; -1547141.29492; -25051.806640625; 1172.0947265625; 1167.73; 4.36837; 0; 0; -0; -0; 0; 1317.87; 984.123; -145.774; -150.143; -3.11528e+07; 0
568139.756; 69; -1547365.00684; -26223.36328125; 1171.556640625; 1175.61; -4.0574; 0; 0; -0; -0; 0; 1317.4; 983.774; -145.845; -141.788; -3.1153e+07; 0
568140.756; 69; -1547586.55469; -27393.0673828125; 1169.7041015625; 1164.24; 5.46228; 0; 0; -0; -0; 0; 1316.93; 983.425; -147.23; -152.692; -3.11533e+07; 0
568141.756; 69; -1547808.10254; -28563.2958984375; 1170.228515625; 1164.24; 5.9867; 0; 0; -0; -0; 0; 1316.47; 983.076; -146.238; -152.225; -3.11535e+07; 0
568142.756; 69; -1548032.58203; -29733.48828125; 1170.1923828125; 1179.65; -9.45531; 0; 0; -0; -0; 0; 1316; 982.726; -145.807; -136.351; -3.11537e+07; 0
568143.756; 69; -1548255.63086; -30903.810546875; 1170.322265625; 1172.13; -1.80724; 0; 0; -0; -0; 0; 1315.53; 982.377; -145.209; -143.402; -3.11539e+07; 0
568144.756; 69; -1548477.28418; -32072.296875; 1168.486328125; 1164.8; 3.69027; 0; 0; -0; -0; 0; 1315.06; 982.028; -146.577; -150.267; -3.11542e+07; 0
568145.756; 69; -1548699.45996; -33240.8310546875; 1168.5341796875; 1167.54; 0.992569; 0; 0; -0; -0; 0; 1314.6; 981.679; -146.062; -147.054; -3.11544e+07; 0
568146.756; 69; -1548922.26465; -34408.7353515625; 1167.904296875; 1170.85; -2.94224; 0; 0; -0; -0; 0; 1314.13; 981.329; -146.224; -143.282; -3.11546e+07; 0
568147.756; 69; -1549144.58008; -35575.5615234375; 1166.826171875; 1168.28; -1.4493; 0; 0; -0; -0; 0; 1313.66; 980.98; -146.834; -145.385; -3.11548e+07; 0
568148.756; 69; -1549365.95312; -36741.91015625; 1166.3486328125; 1163.32; 3.02542; 0; 0; -0; -0; 0; 1313.19; 980.631; -146.844; -149.869; -3.11551e+07; 0
568149.756; 69; -1549589.24609; -37908.49609375; 1166.5859375; 1173.41; -6.82653; 0; 0; -0; -0; 0; 1312.72; 980.281; -146.139; -139.312; -3.11553e+07; 0
568150.756; 69; -1549809.11914; -39074.2724609375; 1165.7763671875; 1155.44; 10.3357; 0; 0; -0; -0; 0; 1312.26; 979.932; -146.481; -156.816; -3.11555e+07; 0
568151.756; 69; -1550030.98145; -40239.66015625; 1165.3876953125; 1165.89; -0.506585; 0; 0; -0; -0; 0; 1311.79; 979.583; -146.401; -145.895; -3.11557e+07; 0
568152.756; 69; -1550253.05273; -41404.65625; 1164.99609375; 1166.99; -1.99641; 0; 0; -0; -0; 0; 1311.32; 979.233; -146.325; -144.329; -3.11559e+07; 0
568153.756; 69; -1550474.28711; -42569.3515625; 1164.6953125; 1162.59; 2.10083; 0; 0; -0; -0; 0; 1310.85; 978.884; -146.158; -148.259; -3.11562e+07; 0
568154.756; 69; -1550696.28809; -43732.89453125; 1163.54296875; 1166.62; -3.08004; 0; 0; -0; -0; 0; 1310.39; 978.534; -146.842; -143.762; -3.11564e+07; 0
