tow; prn11; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); res-rg; res-carr 
568191.756; 60; 1474551.28613; 37791.517578125; -37791.517578125; -7.74882e+06; 7.71103e+06; 0; 0; -0; -0; 0; -1735.65; -1296.1; -36055.9; -7.74708e+06; 3.72529e-09; 3.95812e-09
568192.756; 60; 1474910.09766; 39674.400390625; -1882.8828125; -1885.57; 2.68447; 0; 0; -0; -0; 0; -1736.02; -1296.38; -146.864; -149.548; 0.250771; -0.00508827
568193.756; 60; 1475267.6875; 41557.537109375; -1883.13671875; -1879.15; -3.98941; 0; 0; -0; -0; 0; -1736.39; -1296.65; -146.747; -142.757; -0.448186; -0.110032
568194.756; 60; 1475626.18457; 43440.716796875; -1883.1796875; -1883.91; 0.735132; 0; 0; -0; -0; 0; -1736.76; -1296.93; -146.419; -147.154; -0.237099; -0.0858362
568195.756; 60; 1475984.7168; 45324.5703125; -1883.853515625; -1884.1; 0.246052; 0; 0; -0; -0; 0; -1737.13; -1297.21; -146.721; -146.967; -0.30565; -0.220281
568196.756; 60; 1476342.72559; 47208.923828125; -1884.353515625; -1881.35; -3.00463; 0; 0; -0; -0; 0; -1737.5; -1297.49; -146.85; -143.846; -0.472214; 0.0775205
568197.756; 60; 1476701.71094; 49093.609375; -1884.685546875; -1886.48; 1.79521; 0; 0; -0; -0; 0; -1737.87; -1297.76; -146.811; -148.607; -0.203724; -0.0236552
568198.756; 60; 1477060.31348; 50978.9140625; -1885.3046875; -1884.47; -0.835626; 0; 0; -0; -0; 0; -1738.25; -1298.04; -147.06; -146.224; -0.294762; 0.00369334
568199.756; 60; 1477418.9502; 52864.619140625; -1885.705078125; -1884.65; -1.0564; 0; 0; -0; -0; 0; -1738.62; -1298.32; -147.089; -146.033; -0.215614; 0.230073
568200.756; 60; 1477775.10938; 54750.552734375; -1885.93359375; -1871.63; -14.3045; 0; 0; -0; -0; 0; -1738.99; -1298.59; -146.947; -132.642; -3.03971; -0.186589
568201.756; 60; 1478136.53809; 56637.583984375; -1887.03125; -1899.32; 12.2894; 0; 0; -0; -0; 0; -1739.36; -1298.87; -147.674; -159.963; -0.441064; 0.028324
568202.756; 60; 1478493.91797; 58522.80078125; -1885.216796875; -1878.04; -7.17284; 0; 0; -0; -0; 0; -1739.73; -1299.15; -145.489; -138.316; -1.7038; -0.0205622
568203.756; 60; 1478856.11523; 60409.4775390625; -1886.6767578125; -1903.36; 16.6827; 0; 0; -0; -0; 0; -1740.1; -1299.42; -146.578; -163.261; 0.903382; -0.471735
568204.756; 60; 1479214.19336; 62296.7958984375; -1887.318359375; -1881.71; -5.60511; 0; 0; -0; -0; 0; -1740.47; -1299.7; -146.849; -141.244; -0.192769; -0.477657
568205.756; 60; 1479573.31934; 64183.8916015625; -1887.095703125; -1887.22; 0.124041; 0; 0; -0; -0; 0; -1740.84; -1299.98; -146.256; -146.38; -0.321341; -0.607589
568206.756; 60; 1479932.27051; 66071.5205078125; -1887.62890625; -1886.3; -1.32777; 0; 0; -0; -0; 0; -1741.21; -1300.25; -146.419; -145.091; 0.0290769; -0.000755261
568207.756; 60; 1480289.2666; 67959.669921875; -1888.1494140625; -1876.03; -12.1223; 0; 0; -0; -0; 0; -1741.58; -1300.53; -146.569; -134.447; -2.46385; -0.319141
568208.756; 60; 1480651.25391; 69848.15625; -1888.486328125; -1902.26; 13.7698; 0; 0; -0; -0; 0; -1741.95; -1300.81; -146.535; -160.305; 0.218767; -0.228842
568209.756; 60; 1481008.49512; 71737.1533203125; -1888.9970703125; -1877.32; -11.6818; 0; 0; -0; -0; 0; -1742.32; -1301.08; -146.676; -134.994; -1.5739; 0.109769
568210.756; 60; 1481369.05078; 73626.0576171875; -1888.904296875; -1894.73; 5.82851; 0; 0; -0; -0; 0; -1742.69; -1301.36; -146.213; -152.041; -0.890016; -0.342625
568211.756; 60; 1481729.39844; 75515.6181640625; -1889.560546875; -1893.64; 4.07917; 0; 0; -0; -0; 0; -1743.06; -1301.64; -146.499; -150.578; 0.193655; -0.0227434
568212.756; 60; 1482086.88379; 77405.541015625; -1889.9228515625; -1878.6; -11.3246; 0; 0; -0; -0; 0; -1743.43; -1301.91; -146.491; -135.167; -2.26141; -0.409176
568213.756; 60; 1482446.74219; 79295.5341796875; -1889.9931640625; -1891.07; 1.07548; 0; 0; -0; -0; 0; -1743.8; -1302.19; -146.191; -147.267; -1.49709; 0.0806159
568214.756; 60; 1482807.6123; 81186.88671875; -1891.3525390625; -1896.39; 5.03273; 0; 0; -0; -0; 0; -1744.17; -1302.47; -147.181; -152.214; -1.39816; -0.802583
568215.756; 60; 1483167.2959; 83076.8583984375; -1889.9716796875; -1890.15; 0.178363; 0; 0; -0; -0; 0; -1744.54; -1302.74; -145.43; -145.609; -0.839953; -0.299213
568216.756; 60; 1483526.31738; 84967.1982421875; -1890.33984375; -1886.67; -3.66921; 0; 0; -0; -0; 0; -1744.91; -1303.02; -145.428; -141.759; -1.39015; -0.197153
568217.756; 60; 1483888.47852; 86858.5107421875; -1891.3125; -1903.17; 11.8571; 0; 0; -0; -0; 0; -1745.28; -1303.29; -146.031; -157.889; 0.388064; -0.634368
568218.756; 60; 1484248.33691; 88750.892578125; -1892.3818359375; -1891.07; -1.31319; 0; 0; -0; -0; 0; -1745.65; -1303.57; -146.731; -145.418; 0.0534169; -0.690105
568219.756; 60; 1484606.24121; 90643.90625; -1893.013671875; -1880.8; -12.2139; 0; 0; -0; -0; 0; -1746.02; -1303.85; -146.993; -134.779; -2.19343; -0.665688
568220.756; 60; 1484967.77441; 92536.8251953125; -1892.9189453125; -1899.87; 6.95086; 0; 0; -0; -0; 0; -1746.39; -1304.12; -146.529; -153.48; -0.749525; -0.549866
568221.756; 60; 1485328.95898; 94429.5595703125; -1892.734375; -1898.04; 5.30335; 0; 0; -0; -0; 0; -1746.76; -1304.4; -145.975; -151.278; 0.249531; -0.532444
568222.756; 60; 1485689.09668; 96322.8662109375; -1893.306640625; -1892.54; -0.770278; 0; 0; -0; -0; 0; -1747.13; -1304.67; -146.177; -145.407; -0.180992; -0.795086
568223.756; 60; 1486048.53613; 98216.6455078125; -1893.779296875; -1888.87; -4.91222; 0; 0; -0; -0; 0; -1747.5; -1304.95; -146.281; -141.368; -0.964454; -0.65204
568224.756; 60; 1486409.47656; 100110.908203125; -1894.2626953125; -1896.75; 2.49206; 0; 0; -0; -0; 0; -1747.87; -1305.23; -146.395; -148.887; -0.549793; -0.705364
568225.756; 60; 1486769.05566; 102005.45703125; -1894.548828125; -1889.6; -4.9479; 0; 0; -0; -0; 0; -1748.24; -1305.5; -146.311; -141.364; -1.37647; -0.611479
568226.756; 60; 1487131.63672; 103900.490234375; -1895.033203125; -1905.38; 10.3431; 0; 0; -0; -0; 0; -1748.61; -1305.78; -146.427; -156.77; 0.290616; -0.877646
568227.756; 60; 1487491.4248; 105796.07421875; -1895.583984375; -1890.7; -4.88483; 0; 0; -0; -0; 0; -1748.98; -1306.05; -146.608; -141.723; -0.188965; -0.419634
568228.756; 60; 1487852.99414; 107692.45703125; -1896.3828125; -1900.06; 3.67687; 0; 0; -0; -0; 0; -1749.34; -1306.33; -147.038; -150.715; -0.0670069; -0.971409
568229.756; 60; 1488214.03906; 109588.2109375; -1895.75390625; -1897.3; 1.54996; 0; 0; -0; -0; 0; -1749.71; -1306.6; -146.04; -147.59; 0.469951; -0.697203
568230.756; 60; 1488575.95605; 111485.23828125; -1897.02734375; -1901.89; 4.85929; 0; 0; -0; -0; 0; -1750.08; -1306.88; -146.944; -151.804; 0.563649; -1.47465
568231.756; 60; 1488935.53516; 113381.447265625; -1896.208984375; -1889.6; -6.60805; 0; 0; -0; -0; 0; -1750.45; -1307.16; -145.757; -139.149; 0.328146; -0.432207
568232.756; 60; 1489296.51074; 115278.330078125; -1896.8828125; -1896.94; 0.0566949; 0; 0; -0; -0; 0; -1750.82; -1307.43; -146.062; -146.119; 0.332585; -0.418689
568233.756; 60; 1489658.25391; 117175.833984375; -1897.50390625; -1900.97; 3.46925; 0; 0; -0; -0; 0; -1751.19; -1307.71; -146.314; -149.784; 0.74859; -0.628471
568234.756; 60; 1490017.97266; 119074.08984375; -1898.255859375; -1890.33; -7.92107; 0; 0; -0; -0; 0; -1751.56; -1307.98; -146.697; -138.776; -0.586711; -0.457833
568235.756; 60; 1490380.09961; 120972.390625; -1898.30078125; -1902.99; 4.6892; 0; 0; -0; -0; 0; -1751.93; -1308.26; -146.374; -151.063; 0.146342; -0.598569
568236.756; 60; 1490740.93457; 122870.8134765625; -1898.4228515625; -1896.2; -2.22233; 0; 0; -0; -0; 0; -1752.3; -1308.53; -146.127; -143.905; -0.333801; -0.647176
568237.756; 60; 1491104.87695; 124769.4814453125; -1898.66796875; -1912.53; 13.8622; 0; 0; -0; -0; 0; -1752.66; -1308.81; -146.003; -159.866; 2.33805; -0.548949
568238.756; 60; 1491465.29395; 126668.6240234375; -1899.142578125; -1894; -5.1385; 0; 0; -0; -0; 0; -1753.03; -1309.08; -146.11; -140.971; 1.73178; -0.136097
568239.756; 60; 1491826.47852; 128568.6513671875; -1900.02734375; -1898.04; -1.98962; 0; 0; -0; -0; 0; -1753.4; -1309.36; -146.626; -144.636; 0.970204; -0.487144
568240.756; 60; 1492187.06934; 130468.8408203125; -1900.189453125; -1894.92; -5.2719; 0; 0; -0; -0; 0; -1753.77; -1309.63; -146.42; -141.148; 0.0346682; -0.408805
568241.756; 60; 1492547.7998; 132369.2138671875; -1900.373046875; -1895.65; -4.72164; 0; 0; -0; -0; 0; -1754.14; -1309.91; -146.235; -141.513; -0.686593; -0.238839
568242.756; 60; 1492909.99707; 134270.685546875; -1901.4716796875; -1903.36; 1.8878; 0; 0; -0; -0; 0; -1754.51; -1310.18; -146.965; -148.853; -0.543591; -0.455056
568243.756; 60; 1493272.12402; 136171.2578125; -1900.572265625; -1902.99; 2.41772; 0; 0; -0; -0; 0; -1754.87; -1310.46; -145.697; -148.115; -0.111731; -0.474535
568244.756; 60; 1493635.40234; 138072.490234375; -1901.232421875; -1909.04; 7.80804; 0; 0; -0; -0; 0; -1755.24; -1310.73; -145.989; -153.797; 1.30522; -0.507583
